CTV3Codes,Description
14AB.,H/O: TIA
F4236,Amaurosis fugax
Fyu55,[X]Other transient cerebral ischaemic attacks and related syndromes
G650.,Basilar artery syndrome
G651.,Vertebral artery syndrome
G6510,Vertebrobasilar artery syndrome
G65y.,Other transient cerebral ischaemia
G65z.,Transient cerebral ischaemia NOS
X00DU,Carotid territory transient ischaemic attack
X00DV,Vertebrobasilar territory transient ischaemic attack
X00DW,Vertebrobasilar insufficiency
XaEGK,Transient ischaemic attacks
XaZIY,H/O amaurosis fugax
XE0VK,Transient ischaemic attack
