MedCodeID,Description
4540591000006113,History of transient ischemic attack
251692018,H/O: TIA
300344014,Carotid artery syndrome hemispheric
4778071000006118,Carotid artery syndrome
300362017,Middle cerebral artery syndrome
300363010,Anterior cerebral artery syndrome
300364016,Posterior cerebral artery syndrome
5011511000006114,Carotid territory transient ischemic attack
5011501000006111,Anterior circulation transient ischemic attack
5011491000006115,Anterior circulation transient ischaemic attack
345684012,Carotid territory transient ischaemic attack
5011531000006115,Vertebrobasilar territory transient ischemic attack
5011541000006113,Posterior circulation transient ischemic attack
5011521000006118,Vertebrobasilar territory transient ischaemic attack
5011551000006110,Posterior circulation transient ischaemic attack
395783012,Transient ischaemic attack
11920121000006117,Transient cerebral ischemia
416991000006112,Transient cerebral ischemia
95931000006111,Transient cerebral ischaemia NOS
988951000006117,Transient Ischaemic Attacks
300348012,Other transient cerebral ischaemia
5492171000006112,TIA
5492201000006111,TIA - Transient ischaemic attack
5492181000006110,Temporary cerebral vascular dysfunction
300349016,Transient cerebral ischaemia NOS
5492221000006118,Transient ischemic attack
395788015,Transient cerebral ischaemia
2469365010,Stroke / transient ischaemic attack referral
6837381000006113,Stroke/transient ischemic attack referral
6837371000006110,Stroke / transient ischemic attack referral
7064691000006118,Transient cerebral ischaemia due to atrial fibrillation
7064701000006118,Transient cerebral ischemia due to atrial fibrillation
7289121000006119,Recurrent transient cerebral ischaemic attack
7289131000006116,Recurrent transient cerebral ischemic attack
7599261000006111,Referral to transient ischaemic attack clinic
7599271000006116,Referral to transient ischemic attack clinic
7674181000006111,Transient ischemic attack due to embolism
7674171000006113,Transient ischaemic attack due to embolism
3517034010,Transient ischemic attack clinical management plan
1148331000000111,Transient ischaemic attack clinical management plan
3930501000006113,Amaurosis fugax (one sided temporary vision loss)
145925010,Amaurosis fugax
3930491000006117,Transient monocular blindness
3930461000006113,Momentary blindness
3930481000006115,AFx - Amaurosis fugax
3930471000006118,AF - Amaurosis fugax
106392017,Basilar artery syndrome
499739014,Insufficiency - basilar artery
58046010,Vertebral artery syndrome
67501000006115,Vertebrobasilar artery syndrome
884511000006111,Transient Ischaemic Attacks
2171081000000116,H/O amaurosis fugax
102489017,Drop attack
67511000006117,Vertebro-basilar insufficiency
95961000006119,Transient global amnesia
300352012,Impending cerebral ischaemia
300353019,Intermittent cerebral ischaemia
1667741000000110,[V]Personal history of transient ischaemic attack
