MedCodeID,Description
3011021000006117,Twisting spikes
3011031000006119,"Ventricular tachycardia, polymorphic with Q-T prolongation"
3011011000006113,Torsades de pointes
3011041000006112,Torsade de pointes
7065641000006114,Electrocardiographic torsades de pointes
7065621000006119,"ECG: ventricular tachycardia, polymorphic with long QT interval"
7065611000006110,ECG: torsades de pointes
7065631000006116,EKG: torsades de pointes
7767661000006117,Torsade de pointes short coupled variant
7767651000006119,Torsade de pointes with short coupling interval syndrome
7864941000006119,Torsades de pointe caused by drug
