V2Codes,Description
A1...,Tuberculosis
A10..,Primary tuberculous infection
A100.,Primary tuberculous complex
A101.,Tuberculous pleurisy in primary progressive tuberculosis
A10y.,Other primary progressive tuberculosis
A10z.,Primary tuberculous infection NOS
A11..,Pulmonary tuberculosis
A110.,Infiltrative lung tuberculosis
A111.,Nodular lung tuberculosis
A112.,Tuberculosis of lung with cavitation
A113.,Tuberculosis of bronchus
A114.,Tuberculous fibrosis of lung
A115.,Tuberculous bronchiectasis
A116.,Tuberculous pneumonia
A117.,Tuberculous pneumothorax
A11y.,Other specified pulmonary tuberculosis
A11z.,Pulmonary tuberculosis NOS
A12..,Other respiratory tuberculosis
A1200,Tuberculosis of pleura
A120.,Tuberculous pleurisy
A1201,Tuberculous empyema
A1202,Tuberculous hydrothorax
A120z,Tuberculous pleurisy NOS
A121.,Tuberculosis of intrathoracic lymph nodes
A1210,Tuberculosis of hilar lymph nodes
A1211,Tuberculosis of mediastinal lymph nodes
A1212,Tuberculosis of tracheobronchial lymph nodes
A121z,Tuberculosis of intrathoracic lymph nodes NOS
A122.,Isolated tracheal or bronchial tuberculosis
A1220,Isolated tracheal tuberculosis
A1221,Isolated bronchial tuberculosis
A122z,Isolated tracheal or bronchial tuberculosis NOS
A123.,Tuberculous laryngitis
A124.,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
A1240,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
A1241,"Tuberculosis of lung, confirmed by culture only"
A1242,"Tuberculosis of lung, confirmed histologically"
A1243,"Tuberculosis of lung, confirmed by unspecified means"
A1244,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
A1245,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
A1246,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
A1247,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
A125.,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
A1250,"Tuberculosis of lung, bacteriologically and histologically negative"
A1251,"Tuberculosis of lung, bacteriological and histological examination not done"
