MedCodeID,Description
2667381000006111,Tuberculosis lupus exedens
89011000006116,Tuberculosis - lupus vulgaris
2667361000006118,Tuberculosis cutis luposa
719321000006114,Lupus - tuberculous
18298019,Lupus vulgaris
2667391000006114,Tuberculosis luposa cutis
88991000006119,Tuberculosis - lupus exedens
286303015,Tuberculosis - lupus NOS
2667371000006113,LV - Lupus vulgaris
878961000006118,Tuberculosis - meninges/CNS
286268012,Other specified tuberculosis of central nervous system
89511000006113,Tuberculosis of meninges and central nervous system
288004014,"[X]Tuberculosis of nervous system, unspecified"
286269016,Tuberculosis of central nervous system
9325891000006118,TB (tuberculosis) in childbirth
9325881000006116,Tuberculosis in mother complicating childbirth
18908019,Tuberculous adenitis
2673241000006110,Tuberculosis of lymph node
2673231000006117,Tuberculous lymphadenopathy
8467471000006112,Iridocyclitis due to tuberculosis
8467481000006110,Tuberculous neuritis
4200231000006113,TB - Urinary tuberculosis
286288011,Tuberculosis of urinary organs
2535679015,Tuberculosis of urinary tract
4200221000006110,Urinary tuberculosis
286215018,Primary progressive tuberculosis
2680951000006117,Tuberculosis cutis indurativa
2680981000006113,Bazin's disease
2680961000006115,Tuberculous erythema induratum
2680971000006110,Tuberculous Bazin's disease
20174015,Tuberculous leptomeningitis
4283881000006117,Mycobacterium tuberculosis hominis rRNA
4283891000006119,Mycobacterium tuberculosis hominis ribosomal ribonucleic acid
2701551000006113,Tuberculosis of brain
2706211000006118,Tuberculosis of seminal vesicle
82761000006110,Tuberculosis seminal vesicle
2714971000006111,Tuberculous tenosynovitis
24141013,Tuberculosis of hip
2724731000006119,Tuberculosis of hip
2724741000006112,Tuberculosis of hip joint
24683016,Tuberculous empyema
2730071000006112,Tuberculous pleural empyema
2740961000006115,Tuberculoma
2742351000006115,Tuberculosis of oesophagus
89121000006113,Tuberculosis oesophagus
2742361000006118,Tuberculosis of esophagus
286242017,"Tuberculosis of lung, confirmed by unspecified means"
286221019,Other specified pulmonary tuberculosis
732921000006113,Lung tuberculosis
286252018,Other specified respiratory tuberculosis
286222014,Pulmonary tuberculosis NOS
286223016,Other respiratory tuberculosis
239551014,Pulmonary tuberculosis
4514601000006116,PTB - Pulmonary tuberculosis
286257012,Other specified respiratory tuberculosis NOS
4514611000006118,TB - Pulmonary tuberculosis
2760241000006118,Retroperitoneal tuberculosis
27784014,Tuberculosis of retroperitoneal lymph nodes
2771931000006116,Tuberculosis of knee
2771941000006114,Tuberculosis of knee joint
28980013,Tuberculosis of knee
878981000006111,Tuberculosis - bones/joints
1494889019,Tuberculosis of bones and joints
2780081000006115,Tuberculosis of bones and/or joints
281631019,Disseminated tuberculosis
4711631000006114,Generalised tuberculosis
4711621000006111,Generalized tuberculosis
282858010,TB chemotherapy
4719151000006114,Tuberculosis chemotherapy
4733121000006112,Tuberculosis of adrenal glands
