MedCodeID,Description
9324061000006115,Urinary tract infection due to ectopic pregnancy
9331701000006117,Urinary tract infection due to incomplete miscarriage
9331711000006119,Urinary tract infection due to incomplete spontaneous abortion
8461851000006111,Cystitis due to Chlamydia
8461871000006118,Cystitis caused by Chlamydia
8461861000006113,Chlamydial cystitis
8465911000006117,Infection of lower genitourinary tract co-occurrent with abscess of periurethral gland caused by Gonococcus
2732311000000112,Uncomplicated UTI (urinary tract infection)
2732301000000110,Uncomplicated urinary tract infection
8467211000006116,Salmonella pyelonephritis
4353721000006111,Subacute pyelonephritis
4355491000006117,Focal pyelonephritis
4355501000006113,Acute focal pyelonephritis
4355511000006111,Diffuse pyelonephritis
990791000006113,Kidney infection NOS
177021000006119,Renal infection
304083013,Pyelonephritis and pyonephrosis unspecified
779911000006110,Infectious disorder of kidney
304091016,Kidney infection
22733019,Cystitis cystica
2521781000006115,Miscarriage with urinary tract infection
2521791000006117,Spontaneous abortion with urinary tract infection
2521801000006116,Pregnancy loss with urinary tract infection
3515824016,Pyelonephritis in pregnancy
287036017,Chlamydial infection of lower genitourinary tract
4755681000006118,Infectious disease of genitourinary system
304068015,Acute pyelonephritis without medullary necrosis
304069011,Acute pyelonephritis with medullary necrosis
304070012,Acute pyonephrosis
4789331000006115,Pyelonephritis associated with another disorder
4789351000006110,Secondary pyelonephritis
304087014,Pyelonephritis in diseases EC
304089012,Pyelitis in diseases EC
4789361000006112,Pyelitis associated with another disorder
304153018,Periureteritis
304202014,Cystitis associated with another disorder
304192013,Cystitis in diseases EC
304197019,Cystitis in gonorrhoea
4789801000006116,Cystitis in gonorrhea
4789791000006117,Gonococcal cystitis
4789821000006114,Monilial cystitis
304198012,Cystitis in moniliasis
11812511000006118,Cystitis caused by Candida
11812501000006116,Candida cystitis
4789841000006119,Trichomonal cystitis
304201019,Cystitis in trichomoniasis
304205011,Recurrent cystitis
304276013,Candidal urethritis
216611000006114,Postoperative urinary tract infection
304319014,Recurrent urinary tract infection
183141000006112,Recurrent urinary tract infection
183171000006116,Recurrent urinary tract infection
183161000006111,Recurrent urinary tract infections
4790241000006110,Recurrent UTI - urinary tract infection
304321016,Chronic urinary tract infection
305963015,Asymptomatic bacteriuria in pregnancy - delivered
496701000006119,Asymptomatic bacteriuria in pregnancy - delivered with postnatal complication
305965010,Asymptomatic bacteriuria in pregnancy - not delivered
496751000006115,Asymptomatic bacteriuria in pregnancy with postnatal complication
305972011,Genitourinary tract infection in pregnancy - delivered
308190014,[X]Other genitourinary tract infections following delivery
801221000006116,Genitourinary tract infection in pregnancy - deliv +p/n comp
4795601000006115,Genitourinary tract infection in pregnancy - delivered with postnatal complication
305974012,Genitourinary tract infection in pregnancy - not delivered
801271000006115,Genitourinary tract infection in pregnancy with postnatal complication
305976014,Infections of kidney in pregnancy
4795651000006116,Postpartum urinary tract infection
305977017,Urinary tract infection following delivery
2856271000006115,Acute bacterial tubulointerstitial nephritis
