CTV3Codes,Description
K15..,Cystitis
K150.,Acute cystitis
K155.,Recurrent cystitis
K15z.,Cystitis NOS
K190.,"Urinary tract infection, site not specified"
K1900,"Bacteriuria, site not specified"
K1902,Post operative urinary tract infection
K1903,Recurrent urinary tract infection
K1905,Urinary tract infection
K190z,"Urinary tract infection, site not specified NOS"
1AG..,Recurrent urinary tract infections
SP07Q,Catheter-associated urinary tract infection
K104.,Xanthogranulomatous pyelonephritis
K106.,Candida pyelonephritis
K10y.,Pyelonephritis and pyonephrosis unspecified
K10y0,Pyelonephritis unspecified
K10y1,Pyelitis unspecified
K10y2,Pyonephrosis unspecified
K10y3,Pyelonephritis in diseases EC
K10y4,Pyelitis in diseases EC
K10yz,Unspecified pyelonephritis NOS
K151.,Chronic interstitial cystitis
K1512,Submucous cystitis
K151z,Chronic interstitial cystitis NOS
K152.,Other chronic cystitis
K1520,Subacute cystitis
K152y,Chronic cystitis unspecified
K152z,Other chronic cystitis NOS
K153.,Follicular cystitis
K154.,Cystitis in diseases EC
K1540,Cystitis in actinomycosis
K1541,Cystitis in amoebiasis
K1542,Cystitis in bilharziasis
K1545,Cystitis in gonorrhoea
K1546,Cystitis in moniliasis
K1547,Cystitis in trichomoniasis
K154z,Cystitis in diseases EC NOS
K15y.,Other specified cystitis
K15y0,Cystitis cystica
K15y2,Abscess of bladder
K15yz,Other cystitis NOS
K1901,"Pyuria, site not specified"
K1904,Chronic urinary tract infection
1J4..,Suspected UTI
L166.,Genitourinary tract infections in pregnancy
L1660,Genitourinary tract infection in pregnancy unspecified
L1661,Genitourinary tract infection in pregnancy - delivered
L1665,Infections of kidney in pregnancy
L1666,Urinary tract infection following delivery
L1668,Urinary tract infection complicating pregnancy
L166z,Genitourinary tract infection in pregnancy NOS
K103.,Pyeloureteritis cystica
K105.,Chronic infective interstitial nephritis
K10z.,Infection of kidney NOS
K1510,Hunner's ulcer
K1511,Panmural fibrosis of bladder
K1530,Acute trigonitis
K1531,Chronic trigonitis
K1532,Urethrotrigonitis
K153z,Trigonitis NOS
K1543,Cystitis in echinococcus infestation
K1544,Cystitis in diphtheria
K1548,Cystitis in tuberculosis
K15y1,Irradiation cystitis
K15y3,Malakoplakia of bladder
K1906,Urosepsis
K190X,"Persistent proteinuria, unspecified"
Kyu10,[X]Other chronic tubulo-interstitial nephritis
Kyu1E,"[X]Tubulo-interstitial nephritis, not specified as acute or chronic"
A32y3,diphtheritic cystitis
A9811,acute gonococcal cystitis
