CTV3Codes,Description
13J7.,Unemployed
13J70,Recently unemployed
13J71,Chronic unemployment
ZV620,[V]Unemployment
XaPhf,Benefit agency reports unfit for work
Xabd4,Benefit agency reports unfit for work but fit note no longer required
13J8.,Redundant
13JG.,Voluntarily redundant
Ua2BD,Unfit to return to work
Ua2BE,Physically unfit for work
U12BF,Mentally unfit for work
13JX.,Time off work
XaZHu,ESA113 form paid
XaZHt,ESA113 form sent
XaZHs,ESA113 form received
XaZHj,ESA113 form completed
XaBhC,Employment and support allowance
XacJr,"Not in employment, education or training"
XE0pT,Loss of job
Ua0V9,Dismissed from job
Ua0VA,Unfair dismissal from job
XaClW,IB 113 DLS incapacity for work form paid
XaCIU,IB 113 DLS incapacity for work form sent
XaCIV,IB 113 DLS incapacity for work form received
XaCIT,IB 113 DLS incapacity for work form completed
13JJ.,Unfit for work
13J6.,Medically retired
