CTV3Codes,Description
M28..,Urticaria
M281.,Idiopathic urticaria
Xa8EW,Acute idiopathic urticaria
Xa8EX,Chronic idiopathic urticaria
Xa8EY,Idiopathic micropapular urticaria
XE1BR,Allergic urticaria
X70wI,Chemical-aggravated angio-oedema-urticaria
X70wJ,Azo-dye-induced angio-oedema-urticaria
X70wK,Sodium benzoate-induced angio-oedema-urticaria
X70wL,Latex-induced angio-oedema-urticaria
X70wE,Drug-aggravated angio-oedema-urticaria
X70wF,NSAID-induced angio-oedema-urticaria
X70wG,Aspirin-induced angio-oedema-urticaria
X70wH,ACE inhibitor-aggravated angio-oedema-urticaria
Xa0WK,Penicillin-induced angio-oedema-urticaria
X508P,Physical urticaria
X508S,Delayed pressure urticaria
M285.,Cholinergic urticaria
X508W,Persisting cholinergic urticaria
X508b,Aquagenic urticaria
X5050,Solar urticaria
M2820,Cold urticaria
Xa8Ea,Idiopathic cold urticaria
X508T,Familial cold urticaria
Xa8Eb,Cold urticaria with agglutinins
Xa8Ec,Cold urticaria with cryoglobulins
X508U,Cold reflex urticaria
M2821,Heat urticaria
X70w7,Exercise anaphylaxis
M284.,Vibratory urticaria
X508Z,Reflex urticaria
Xa8Ef,Bullous urticaria
M282.,Urticaria due to cold and heat
M282z,Urticaria due to cold and heat NOS
X508e,Immune complex urticaria
Xa8Eg,Arthus reaction
X506B,Non-immunological contact urticaria
Q47y0,Urticaria neonatorum
X508N,Drug-induced urticaria
Myu40,[X]Other urticaria
XE1BS,Other specified urticaria
M28y0,Urticaria geographica
M28y1,Menstrual urticaria
M28y2,Urticaria persistans
M28yz,Other specified urticaria NOS
XE1BT,Urticaria NOS
Xa6qO,Bullous weal
Xa6qN,Micropapular weal
X75uX,Urticarial rash
SP354,Urticaria due to serum
X705x,Urticarial vasculitis
PH321,Urticaria pigmentosa
SN51.,Urticaria-angio-oedema
X70wD,Food-induced angio-oedema-urticaria
X70wC,Venom-induced angio-oedema-urticaria
X508a,Vibratory angio-oedema
XC0si,Minimal urticarial dose
Myu4.,[X]Urticaria and erythema
Myu42,[X]Other chronic figurate erythema
C3734,Familial febrile urticaria
M2y41,Autoimmune progesterone urticaria
