SNOMEDCTCodes,Description
64305001,Urticaria (morphologic abnormality)
126485001,Urticaria (disorder)
402408009,Acute urticaria (disorder)
402398001,Acute autoimmune urticaria (disorder)
302161006,Acute idiopathic urticaria (disorder)
82741008,Acute immunologic urticaria (disorder)
1251412000,Acute urticaria due to infectious disease (disorder)
1251374005,Acute urticaria due to pseudoallergy (disorder)
877927231000119106,Urticaria multiforme (disorder)
40178009,Allergic urticaria (disorder)
402304007,Allergic contact urticaria (disorder)
1251424007,Disseminated allergic contact urticaria (disorder)
1251425008,Localized allergic contact urticaria (disorder)
1254905001,Occupational allergic contact urticaria (disorder)
402384009,Allergic urticaria caused by ingested food (disorder)
241957001,Food-induced angioedema-urticaria (disorder)
402385005,Allergic urticaria due to bite and/or sting (disorder)
402386006,Allergic urticaria due to inhaled allergen (disorder)
373674001,Anaphylactic urticaria (disorder)
1003756003,Hevea brasiliensis latex protein-induced angioedema-urticaria (disorder)
241956005,Venom-induced angioedema-urticaria (disorder)
402413008,Arthus type urticaria (disorder)
402397006,Autoimmune urticaria (disorder)
402399009,Chronic autoimmune urticaria (disorder)
402400002,Episodic autoimmune urticaria (disorder)
241963005,Azo-dye-induced angioedema-urticaria (disorder)
14907004,Bullous urticaria (disorder)
241962000,Chemical-aggravated angioedema-urticaria (disorder)
73098005,Cholinergic urticaria (disorder)
238690006,Persisting cholinergic urticaria (disorder)
51611005,Chronic urticaria (disorder)
302162004,Chronic idiopathic urticaria (disorder)
402381001,Episodic idiopathic urticaria (disorder)
1251405009,Chronic urticaria due to infectious disease (disorder)
1251403002,Chronic urticaria due to non-allergic hypersensitivity to substance (disorder)
402409001,Episodic urticaria (disorder)
402415001,Schnitzler syndrome (disorder)
402416000,"Urticarial vasculitis with monoclonal immunoglobulin M component, Schnitzler (disorder)"
123584008,Urticaria perstans (disorder)
19364004,Contact urticaria (disorder)
89870006,Aquagenic urticaria (disorder)
403584000,Contact urticaria artefacta (disorder)
402305008,Non-immunological contact urticaria (disorder)
1254899001,Occupational non-allergic contact urticaria (disorder)
735468009,Contact urticaria caused by food (disorder)
7632005,Dermatographic urticaria (disorder)
402412003,Cholinergic dermographism (disorder)
402410006,Symptomatic dermographism (disorder)
51247001,Vibratory urticaria (disorder)
361200005,Familial febrile urticaria (disorder)
400075008,Giant urticaria (disorder)
239945009,Hypocomplementemic urticarial vasculitis (disorder)
42265009,Idiopathic urticaria (disorder)
302165002,Idiopathic cold urticaria (disorder)
302163009,Idiopathic micropapular urticaria (disorder)
238697009,Immune complex urticaria (disorder)
402414002,Urticarial reaction to blood product (disorder)
40370006,Immunologic urticaria (disorder)
201269001,Menstrual urticaria (disorder)
402417009,Neutrophilic urticaria (disorder)
733211007,Occupational contact urticaria (disorder)
277785006,Penicillin-induced angioedema-urticaria (disorder)
402601007,Physical urticaria (disorder)
1252747005,Polymorphic eruption of pregnancy (disorder)
387787005,Pressure urticaria (disorder)
387788000,Delayed pressure urticaria (disorder)
63990000,Psychogenic urticaria (disorder)
238693008,Reflex urticaria (disorder)
10347006,Solar urticaria (disorder)
403625006,Drug-induced solar urticaria (disorder)
74026008,Traumatic urticaria (disorder)
74774004,Urticaria caused by cold (disorder)
238688005,Cold reflex urticaria (disorder)
302166001,Cold urticaria with agglutinins (disorder)
302167005,Cold urticaria with cryoglobulins (disorder)
238687000,Familial cold urticaria (disorder)
201261003,Urticaria caused by cold and heat (disorder)
402393005,Urticaria caused by food additive (disorder)
241964004,Sodium benzoate-induced angioedema-urticaria (disorder)
62211002,Urticaria caused by heat (disorder)
402394004,Urticaria caused by salicylate (disorder)
241960008,Aspirin-induced angioedema-urticaria (disorder)
201268009,Urticaria geographica (disorder)
89322006,Urticaria medicamentosa (disorder)
846758008,Drug-induced angioedema-urticaria (disorder)
241958006,Drug-aggravated angioedema-urticaria (disorder)
241959003,Non-steroid anti-inflammatory drug-induced angioedema-urticaria (disorder)
402403000,Urticaria secondary to infection (disorder)
403130009,Urticaria due to strongyloidiasis (disorder)
213325008,Urticaria caused by serum (disorder)
402656007,Urticarial vasculitis (disorder)
403510002,Lupus erythematosus-associated urticarial vasculitis (disorder)
402855009,Normocomplementemic urticarial vasculitis (disorder)
95394008,Injection site urticaria (disorder)
247472004,Wheal (finding)
298139006,Bullous wheal (finding)
298138003,Micropapular wheal (finding)
