V2Codes,Description
M28..,Dermatographic urticaria
M280.,Allergic urticaria
M281.,Idiopathic urticaria
M282.,Urticaria due to cold and heat
M2820,Cold urticaria
M2821,Thermal urticaria
M282z,Urticaria due to cold and heat NOS
M283.,Dermatographic urticaria
M284.,Vibratory urticaria
M285.,Cholinergic urticaria
M286.,Contact urticaria
M287.,Physical urticaria
M28y.,Other specified urticaria
M28y0,Urticaria geographica
M28y1,Menstrual urticaria
M28y2,Urticaria persistans
M28yz,Other specified urticaria NOS
M28z.,Urticaria NOS
M12A2,Solar urticaria
Q47y0,Urticaria neonatorum
PH321,Urticaria pigmentosa
SP354,Urticaria due to serum
C3734,Familial febrile urticaria
