MedCodeID,Description
18017016,Solar urticaria
2664581000006113,Sunlight-induced angio-oedema-urticaria
2664591000006111,Sunlight-induced angioedema-urticaria
71051000006113,Urticaria perstans
399943019,Urticaria NOS
309206010,Other specified urticaria NOS
399942012,Other specified urticaria
309338015,[X]Other urticaria
106893016,Nettle rash
81555016,Urticaria
2736311000006116,Urticaria vesiculosa
2736321000006112,Vesicular urticaria
2736331000006110,Urticaria bullosa
2736301000006119,Bullous urticaria
2807381000006115,Contact urticaria
4807621000006119,Urticaria caused by cold and heat
309193018,Urticaria due to cold and heat NOS
309192011,Urticaria due to cold and heat
309203019,Urticaria geographica
309204013,Menstrual urticaria
4872961000006114,Urticaria caused by serum
325222010,Urticaria due to serum
5125091000006110,Familial cold urticaria
5125101000006116,Cold reflex urticaria
5125121000006114,Persisting cholinergic urticaria
5125161000006115,Reflex urticaria
5125211000006112,Immune complex urticaria
5141791000006113,Hypocomplementemic urticarial vasculitis
5141801000006114,Anti-C1q vasculitis
5141781000006110,Hypocomplementemic vasculitis
5141771000006112,Hypocomplementaemic vasculitis
5141761000006117,Hypocomplementaemic urticarial vasculitis
5169521000006112,Venom-induced angio-oedema-urticaria
5169531000006110,Venom-induced angioedema-urticaria
5169551000006115,Food-induced angioedema-urticaria
5169541000006117,Food-induced angio-oedema-urticaria
5169601000006118,Drug-induced angioedema-urticaria
5169591000006114,Drug-aggravated angioedema-urticaria
5169581000006111,Drug-induced angio-oedema-urticaria
5169561000006118,Drug-aggravated angio-oedema-urticaria
5169571000006113,Pharmacological-aggravated urticaria
5169641000006116,Non-steroid anti-inflammatory drug (NSAID)-induced angioedema-urticaria
5169611000006115,NSAID-induced angio-oedema-urticaria
5169621000006111,NSAID-induced angioedema-urticaria
5169651000006119,Non-steroid anti-inflammatory drug-induced angioedema-urticaria
5169631000006114,Non-steroid anti-inflammatory drug (NSAID)-induced angio-oedema-urticaria
5169671000006112,Aspirin-induced angioedema-urticaria
5169661000006117,Aspirin-induced angio-oedema-urticaria
5169691000006113,Chemical-induced angio-oedema-urticaria
5169701000006113,Chemical-aggravated angioedema-urticaria
5169711000006111,Chemical-induced angioedema-urticaria
5169681000006110,Chemical-aggravated angio-oedema-urticaria
5169721000006115,Azo-dye-induced angio-oedema-urticaria
5169731000006117,Azo-dye-induced angioedema-urticaria
5169741000006110,Sodium benzoate-induced angio-oedema-urticaria
5169751000006112,Sodium benzoate-induced angioedema-urticaria
5244511000006110,Wheal
5244481000006119,Nettle rash
5244491000006116,Urticarial rash
369546013,Hives
5244521000006119,Welt
5244471000006117,Weal
5604731000006118,Penicillin-induced angio-oedema-urticaria
5604741000006111,Penicillin-induced angioedema-urticaria
5848841000006110,Micropapular wheal
5848831000006117,Micropapular weal
5848851000006112,Bullous weal
5848861000006114,Bullous wheal
5903671000006114,Acute idiopathic urticaria
5903681000006112,Chronic idiopathic urticaria
5903691000006110,Idiopathic micropapular urticaria
5903711000006113,Idiopathic cold urticaria
5903721000006117,Cold urticaria with agglutinins
5903731000006119,Cold urticaria with cryoglobulins
477694012,Familial febrile urticaria
6383981000006111,Anaphylactic urticaria
6477921000006118,Pressure angioedema-urticaria
6477901000006111,Pressure urticaria
6477911000006114,Pressure angio-oedema-urticaria
6477931000006115,Delayed pressure urticaria
6634191000006111,Giant urticaria
63796016,Allergic urticaria
6663481000006112,Allergic contact urticaria
6663491000006110,Non-immunological contact urticaria
32639018,Contact urticaria
6664531000006113,Recurrent idiopathic urticaria
6664521000006110,Episodic idiopathic urticaria
6664581000006114,Allergic urticaria due to ingested food
6664591000006112,Allergic urticaria caused by ingested food
6664601000006116,Allergic urticaria due to bite and/or sting
6664611000006118,Allergic urticaria due to inhaled allergen
6664731000006115,Urticaria due to food additive
6664751000006110,Urticaria caused by salicylate
6664741000006113,Urticaria due to salicylate
6664791000006116,Autoimmune urticaria
6664801000006115,Acute autoimmune urticaria
6664811000006117,Chronic autoimmune urticaria
6664821000006113,Episodic autoimmune urticaria
6664871000006114,Urticaria secondary to infection
6664961000006110,Acute urticaria
6664981000006117,Recurrent urticaria
6664971000006115,Episodic urticaria
13608015,Factitial urticaria
6664991000006119,Symptomatic dermographism
6665001000006114,Factitious urticaria
6665031000006118,Cholinergic dermographism
6665041000006111,Arthus type urticaria
6665051000006113,Arthus reaction
6665061000006110,Urticarial reaction to blood product
6665071000006115,Schnitzler syndrome
6665091000006119,"Urticarial vasculitis with monoclonal immunoglobulin M component, Schnitzler"
6665081000006117,"Urticarial vasculitis with monoclonal IgM component, Schnitzler"
6665101000006113,Neutrophilic urticaria
13612014,Physical urticaria
6668381000006113,Urticarial vasculitis
6670821000006114,Normocomplementemic urticarial vasculitis
6676231000006113,Urticaria due to strongyloidiasis
6682141000006116,Urticarial vasculitis due to lupus erythematosus
6682131000006114,Lupus erythematosus-associated urticarial vasculitis
6683361000006110,Contact urticaria artefacta
6684151000006113,Drug-induced solar urticaria
3149551000006115,Immunologic urticaria
70518019,Idiopathic urticaria
3181131000006111,Idiopathic angioedema-urticaria
3181121000006113,Idiopathic angio-oedema-urticaria
85377012,Vibratory urticaria
3336351000006111,Recurrent periodic urticaria
3336341000006114,Chronic urticaria
103389013,Thermal urticaria
3510681000006118,Urticaria due to heat
819121000006110,Heat urticaria
3510701000006115,Urticaria caused by heat
3540501000006115,Psychogenic urticaria
3546041000006110,Nettle rash
3546011000006111,Wheal
3546021000006115,Welt
3546031000006117,Hive
3546001000006113,Urticaria
3688961000006110,Cholinergic angioedema-urticaria
121407011,Cholinergic urticaria
3688951000006113,Cholinergic angio-oedema-urticaria
7955431000006117,Occupational contact urticaria
