MedCodeID,Description
2796051000006112,Hypomelanosis
2796041000006110,Depigmentation
1783500010,Leucoderma
2866741000006114,Hypomelanosis
2866691000006112,Skin hypopigmented
2866721000006119,Hypopigmentation
309230012,Leucoderma NOS
2866731000006116,Achromoderma
2866711000006110,Leukoderma
2871111000006111,Achromia of skin
2871121000006115,Depigmentation of skin
6667971000006110,Idiopathic vitiligo
6670241000006118,Circumscribed hypomelanosis
6678611000006117,Localized vitiligo
6678601000006115,Localised vitiligo
6678621000006113,Segmental vitiligo
6678641000006118,Generalized vitiligo
6678631000006111,Generalised vitiligo
6678651000006116,Trichrome vitiligo
6678661000006119,Vitiligo due to K̦bnerisation
6678681000006112,K̦bner vitiligo
6678691000006110,Vitiligo due to Kobnerisation
6678671000006114,Vitiligo due to K̦bnerization
94346015,Vitiligo
219371000000110,Hypopigmentation of eyelid
7819271000006119,Vitiligo of eyelid and periocular area
7880651000006116,Autosomal recessive spastic paraplegia type 23
7880671000006114,"Spastic paraparesis, vitiligo, premature graying, characteristic facies syndrome"
7880661000006119,Lison syndrome
7880681000006112,"Spastic paraparesis, vitiligo, premature greying, characteristic facies syndrome"
145353016,Vitiligo of eyelid
3947111000006115,Hypopigmentation
788401000006119,Hypopigmentation disorder
