SNOMEDCTCodes,Description
44600005,Xeroderma pigmentosum (disorder)
56048001,"Xeroderma pigmentosum, group E (disorder)"
25784009,"Xeroderma pigmentosum, group C (disorder)"
36454001,"Xeroderma pigmentosum, group G (disorder)"
1073003,"Xeroderma pigmentosum, group B (disorder)"
68637004,"Xeroderma pigmentosum, group D (disorder)"
42530008,"Xeroderma pigmentosum, group F (disorder)"
43477006,"Xeroderma pigmentosum, group A (disorder)"
73663008,Neurologic xeroderma pigmentosum (disorder)
88877002,"Xeroderma pigmentosum, variant form (disorder)"
7806002,Non-neurologic xeroderma pigmentosum (disorder)
719819004,Xeroderma pigmentosum and Cockayne syndrome complex (disorder)
