CTV3Codes,Description
246b.,NULL
246d.,NULL
246e.,NULL
246N.,NULL
246Q.,NULL
246S.,NULL
246W.,NULL
246Y.,NULL
XaF4F,Average systolic blood pressure
XaF4K,Average night interval systolic blood pressure
XaF4L,Average day interval systolic blood pressure
XaF4O,Average 24 hour systolic blood pressure
XaIwj,Standing systolic blood pressure
XaJ2E,Sitting systolic blood pressure
XaJ2G,Lying systolic blood pressure
XaKFx,Average home systolic blood pressure
XaKjF,Ambulatory systolic blood pressure
XM02X,Systolic blood pressure
