SNOMEDCTCodes,Description
314440001,Average systolic blood pressure
314445006,Average night interval systolic blood pressure (observable entity)
413606001,Average home systolic blood pressure (observable entity)
407554009,Sitting systolic blood pressure
407556006,Lying systolic blood pressure (observable entity)
314449000,Average 24 hour systolic blood pressure (observable entity)
314446007,Average day interval systolic blood pressure
271649006,SAP - Systolic arterial pressure
198081000000101,NA
314438006,Minimum systolic blood pressure
314439003,Maximum systolic blood pressure
314441002,Minimum day interval systolic blood pressure
314442009,Minimum night interval systolic blood pressure
314448008,Maximum 24 hour systolic blood pressure
314464000,24 hour systolic blood pressure
314443004,Maximum night interval systolic blood pressure (observable entity)
314444005,Maximum day interval systolic blood pressure (observable entity)
314447003,Minimum 24 hour systolic blood pressure (observable entity)
251070002,Non-invasive systolic blood pressure
399304008,Systolic blood pressure on admission
163030003,On examination - Systolic blood pressure reading
707303003,Post exercise systolic blood pressure response abnormal
716579001,Baseline systolic blood pressure (observable entity)
18050000,Increased systolic arterial pressure (finding)
18352002,Abnormal systolic arterial pulse pressure
12929001,Normal systolic arterial pressure (finding)
81010002,Decreased systolic arterial pressure (finding)
72313002,Systolic arterial pressure
251071003,Invasive systolic blood pressure
398300007,Systolic blood pressure validity range (observable entity)
140243001,O/E - Systolic BP reading (finding)
707304009,Post exercise systolic blood pressure response normal
708502007,Systolic blood pressure of neonate at birth (observable entity)
