SNOMEDCTCodes,Description
29747111000001101,Orencia ClickJect 125mg/1ml solution for injection pre-filled pens (Bristol-Myers Squibb Pharmaceuticals Ltd)
29747211000001107,Orencia ClickJect 125mg/1ml solution for injection pre-filled pens (Bristol-Myers Squibb Pharmaceuticals Ltd) 4 pre-filled disposable injection
11753911000001100,Orencia 250mg powder for concentrate for solution for infusion vials (Bristol-Myers Squibb Pharmaceuticals Ltd)
11754111000001101,Orencia 250mg powder for concentrate for solution for infusion vials (Bristol-Myers Squibb Pharmaceuticals Ltd) 1 vial
37217211000001104,Orencia 50mg/0.4ml solution for injection pre-filled syringes (Imported (Germany))
37217311000001107,Orencia 50mg/0.4ml solution for injection pre-filled syringes (Imported (Germany)) 4 pre-filled disposable injection
37216911000001105,Orencia 87.5mg/0.7ml solution for injection pre-filled syringes (Imported (Germany))
37217011000001109,Orencia 87.5mg/0.7ml solution for injection pre-filled syringes (Imported (Germany)) 4 pre-filled disposable injection
21699611000001106,Orencia 125mg/1ml solution for injection pre-filled syringes (Bristol-Myers Squibb Pharmaceuticals Ltd)
21699711000001102,Orencia 125mg/1ml solution for injection pre-filled syringes (Bristol-Myers Squibb Pharmaceuticals Ltd) 4 pre-filled disposable injection
29767011000001106,Abatacept 125mg/1ml solution for injection pre-filled disposable devices
29747011000001102,Abatacept 125mg/1ml solution for injection pre-filled disposable devices 4 pre-filled disposable injection
11762011000001101,Abatacept 250mg powder for solution for infusion vials
37223011000001109,Abatacept 50mg/0.4ml solution for injection pre-filled syringes
37217111000001105,Abatacept 50mg/0.4ml solution for injection pre-filled syringes 4 pre-filled disposable injection
21704711000001107,Abatacept 125mg/1ml solution for injection pre-filled syringes
21699511000001107,Abatacept 125mg/1ml solution for injection pre-filled syringes 4 pre-filled disposable injection
37223111000001105,Abatacept 87.5mg/0.7ml solution for injection pre-filled syringes
37216811000001100,Abatacept 87.5mg/0.7ml solution for injection pre-filled syringes 4 pre-filled disposable injection
11753711000001102,Abatacept 250mg powder for solution for infusion vials 1 vial
