ProdCodeId,Description
10267941000033110,benadryl allergy relief plus decongestant capsules (mcneil products ltd)
10268041000033113,pseudoephedrine 60mg / acrivastine 8mg capsules
1268441000033110,semprex 8mg capsules (glaxosmithkline uk ltd)
2131541000033114,benadryl allergy relief 8mg capsules (mcneil products ltd)
2617141000033115,benadryl plus capsules
2971541000033114,benadryl skin allergy relief lotion (pfizer consumer healthcare ltd)
2971641000033110,benadryl skin allergy relief cream (mcneil products ltd)
3078241000033117,benadryl allergy 1mg/ml oral solution (mcneil products ltd)
3841000033110,acrivastine 8mg capsules
8887341000033119,benadryl allergy liquid release 10mg capsules (mcneil products ltd)
