ProdCodeId,Description
11692941000033118,adalimumab 40mg/0.4ml solution for injection pre-filled syringes
11693041000033111,adalimumab 40mg/0.4ml solution for injection pre-filled disposable devices
11693141000033110,humira 40mg/0.4ml solution for injection pre-filled syringes (abbvie ltd)
11693241000033115,humira 40mg/0.4ml solution for injection pre-filled pens (abbvie ltd)
12512241000033119,adalimumab 20mg/0.2ml solution for injection pre-filled syringes
12512541000033117,humira 20mg/0.2ml solution for injection pre-filled syringes (abbvie ltd)
12683741000033114,amgevita 40mg/0.8ml solution for injection pre-filled pens (amgen ltd)
12685541000033117,amgevita 40mg/0.8ml solution for injection pre-filled syringes (amgen ltd)
12712841000033116,adalimumab 20mg/0.4ml solution for injection pre-filled syringes
12712941000033112,amgevita 20mg/0.4ml solution for injection pre-filled syringes (amgen ltd)
12873041000033113,adalimumab 80mg/0.8ml solution for injection pre-filled disposable devices
12873141000033112,adalimumab 80mg/0.8ml solution for injection pre-filled syringes
12873241000033117,humira 80mg/0.8ml solution for injection pre-filled pens (abbvie ltd)
12873341000033110,humira 80mg/0.8ml solution for injection pre-filled syringes (abbvie ltd)
12873441000033116,hyrimoz 40mg/0.8ml solution for injection pre-filled pens (sandoz ltd)
12873541000033115,hyrimoz 40mg/0.8ml solution for injection pre-filled syringes (sandoz ltd)
12873641000033119,imraldi 40mg/0.8ml solution for injection pre-filled pens (biogen idec ltd)
12873741000033111,imraldi 40mg/0.8ml solution for injection pre-filled syringes (biogen idec ltd)
12873941000033114,hulio 40mg/0.8ml solution for injection pre-filled pens (mylan)
12874041000033111,hulio 40mg/0.8ml solution for injection pre-filled syringes (mylan)
13479441000033116,idacio 40mg/0.8ml solution for injection vials (fresenius kabi ltd)
13479841000033118,idacio 40mg/0.8ml solution for injection pre-filled pens (fresenius kabi ltd)
13480141000033112,idacio 40mg/0.8ml solution for injection pre-filled syringes (fresenius kabi ltd)
2994741000033113,adalimumab 40mg/0.8ml solution for injection pre-filled syringes
2994841000033115,humira 40mg/0.8ml solution for injection pre-filled syringes (abbvie ltd)
4042541000033115,adalimumab 40mg/0.8ml solution for injection pre-filled disposable devices
4042641000033119,humira 40mg/0.8ml solution for injection pre-filled pens (abbvie ltd)
6467741000033115,adalimumab 40mg/0.8ml solution for injection vials
6467841000033113,humira 40mg/0.8ml solution for injection vials (abbvie ltd)
