SNOMEDCTCodes,Description
37337911000001105,Alimemazine 10mg tablets (Advanz Pharma)
37338011000001107,Alimemazine 10mg tablets (Advanz Pharma) 28 tablet
16164711000001104,Alimemazine 10mg tablets (Alliance Healthcare (Distribution) Ltd)
16164811000001107,Alimemazine 10mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet
16724511000001108,Alimemazine 30mg/5ml oral solution (Alliance Healthcare (Distribution) Ltd)
16724611000001107,Alimemazine 30mg/5ml oral solution (Alliance Healthcare (Distribution) Ltd) 100 ml
35726011000001105,Alimemazine 7.5mg/5ml oral solution (Thame Laboratories Ltd)
35726111000001106,Alimemazine 7.5mg/5ml oral solution (Thame Laboratories Ltd) 100 ml
16589411000001103,Alimemazine 7.5mg/5ml oral solution (Zentiva Pharma UK Ltd)
16589511000001104,Alimemazine 7.5mg/5ml oral solution (Zentiva Pharma UK Ltd) 100 ml
39562511000001101,Alimemazine 7.5mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)
39562611000001102,Alimemazine 7.5mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) 100 ml
39257411000001102,Alimemazine 7.5mg/5ml oral solution sugar free (Zentiva Pharma UK Ltd)
39257611000001104,Alimemazine 7.5mg/5ml oral solution sugar free (Zentiva Pharma UK Ltd) 100 ml
19703111000001101,Alimemazine 10mg tablets (DE Pharmaceuticals)
22588011000001100,Alimemazine 10mg tablets (DE Pharmaceuticals) 25 tablet
19703211000001107,Alimemazine 10mg tablets (DE Pharmaceuticals) 28 tablet
38774111000001108,Alimemazine 30mg/5ml oral solution (Medihealth (Northern) Ltd)
38774211000001102,Alimemazine 30mg/5ml oral solution (Medihealth (Northern) Ltd) 100 ml
36943911000001106,Alimemazine 7.5mg/5ml oral solution (Advanz Pharma)
36944011000001109,Alimemazine 7.5mg/5ml oral solution (Advanz Pharma) 100 ml
22587811000001107,Alimemazine 7.5mg/5ml oral solution (DE Pharmaceuticals)
22587911000001102,Alimemazine 7.5mg/5ml oral solution (DE Pharmaceuticals) 100 ml
42120011000001104,Alimemazine 30mg/5ml oral solution sugar free (Teva UK Ltd)
42121711000001105,Alimemazine 30mg/5ml oral solution sugar free (Teva UK Ltd) 100 ml
39258311000001105,Alimemazine 30mg/5ml oral solution sugar free (Zentiva Pharma UK Ltd)
39258611000001100,Alimemazine 30mg/5ml oral solution sugar free (Zentiva Pharma UK Ltd) 100 ml
39610511000001108,Alimemazine 7.5mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)
39610611000001107,Alimemazine 7.5mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd) 100 ml
16441511000001103,Alimemazine 10mg tablets (A A H Pharmaceuticals Ltd)
16441611000001104,Alimemazine 10mg tablets (A A H Pharmaceuticals Ltd) 28 tablet
38774511000001104,Alimemazine 10mg tablets (Medihealth (Northern) Ltd)
38774611000001100,Alimemazine 10mg tablets (Medihealth (Northern) Ltd) 25 tablet
39841411000001104,Alimemazine 10mg tablets (Medihealth (Northern) Ltd) 28 tablet
22200711000001106,Alimemazine 10mg tablets (Phoenix Healthcare Distribution Ltd)
22200811000001103,Alimemazine 10mg tablets (Phoenix Healthcare Distribution Ltd) 28 tablet
37715011000001108,Alimemazine 10mg tablets (Pilsco Ltd)
37715111000001109,Alimemazine 10mg tablets (Pilsco Ltd) 25 tablet
37715311000001106,Alimemazine 10mg tablets (Pilsco Ltd) 50 tablet
16031911000001104,Alimemazine 10mg tablets (Zentiva Pharma UK Ltd)
16032011000001106,Alimemazine 10mg tablets (Zentiva Pharma UK Ltd) 28 tablet
30997811000001106,Alimemazine 10mg/5ml oral solution (Special Order)
30997911000001101,Alimemazine 10mg/5ml oral solution (Special Order) 1 ml
36943711000001109,Alimemazine 30mg/5ml oral solution (Advanz Pharma)
36943811000001101,Alimemazine 30mg/5ml oral solution (Advanz Pharma) 100 ml
35726211000001100,Alimemazine 30mg/5ml oral solution (Thame Laboratories Ltd)
35726311000001108,Alimemazine 30mg/5ml oral solution (Thame Laboratories Ltd) 100 ml
11644211000001100,Alimemazine 5mg/5ml oral solution (Special Order)
11644311000001108,Alimemazine 5mg/5ml oral solution (Special Order) 1 ml
16724311000001102,Alimemazine 7.5mg/5ml oral solution (Alliance Healthcare (Distribution) Ltd)
16724411000001109,Alimemazine 7.5mg/5ml oral solution (Alliance Healthcare (Distribution) Ltd) 100 ml
36583411000001103,Alimemazine 1.5mg/5ml oral solution (Special Order)
36583511000001104,Alimemazine 1.5mg/5ml oral solution (Special Order) 1 ml
37029911000001101,Alimemazine 30mg/5ml oral solution (Mawdsley-Brooks & Company Ltd)
37030111000001107,Alimemazine 30mg/5ml oral solution (Mawdsley-Brooks & Company Ltd) 100 ml
16589211000001102,Alimemazine 30mg/5ml oral solution (Zentiva Pharma UK Ltd)
16589311000001105,Alimemazine 30mg/5ml oral solution (Zentiva Pharma UK Ltd) 100 ml
36582511000001106,Alimemazine 5mg/5ml oral suspension (Special Order)
36582611000001105,Alimemazine 5mg/5ml oral suspension (Special Order) 1 ml
37029611000001107,Alimemazine 7.5mg/5ml oral solution (Mawdsley-Brooks & Company Ltd)
37029711000001103,Alimemazine 7.5mg/5ml oral solution (Mawdsley-Brooks & Company Ltd) 100 ml
42121811000001102,Alimemazine 7.5mg/5ml oral solution (Teva UK Ltd)
42121911000001107,Alimemazine 7.5mg/5ml oral solution (Teva UK Ltd) 100 ml
40083011000001102,Alimemazine 10mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)
40083111000001101,Alimemazine 10mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) 100 ml
39487411000001108,Alimemazine 30mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)
39487511000001107,Alimemazine 30mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd) 100 ml
39486911000001103,Alimemazine 7.5mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)
39487011000001104,Alimemazine 7.5mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd) 100 ml
21838011000001107,Alimemazine 10mg tablets (Cubic Pharmaceuticals Ltd)
21838111000001108,Alimemazine 10mg tablets (Cubic Pharmaceuticals Ltd) 28 tablet
21262711000001108,Alimemazine 10mg tablets (Sigma Pharmaceuticals Plc)
21262811000001100,Alimemazine 10mg tablets (Sigma Pharmaceuticals Plc) 28 tablet
21508211000001105,Alimemazine 10mg tablets (Waymade Healthcare Plc)
21508311000001102,Alimemazine 10mg tablets (Waymade Healthcare Plc) 25 tablet
11643611000001101,Alimemazine 15mg/5ml oral solution (Special Order)
11643811000001102,Alimemazine 15mg/5ml oral solution (Special Order) 1 ml
16730111000001106,Alimemazine 30mg/5ml oral solution (A A H Pharmaceuticals Ltd)
16730211000001100,Alimemazine 30mg/5ml oral solution (A A H Pharmaceuticals Ltd) 100 ml
30025711000001109,Alimemazine 30mg/5ml oral solution (DE Pharmaceuticals)
