ProdCodeId,Description
4507661000006112,Doxazosin 4mg m/r tablet
4507671000006117,Doxazosin 4mg modified-release tablet
4507651000006110,Doxazosin 4mg modified-release tablets
4511711000006112,Doxazosin 8mg m/r tablet
4511701000006114,Doxazosin 8mg modified-release tablets
4511721000006116,Doxazosin 8mg modified-release tablet
11872041000006119,Product containing only indoramin 20 mg/1 each oral tablet
6072881000006119,Product containing indoramin 20 mg/1 each oral tablet
6072871000006117,Indoramin 20mg tablets
12229271000006115,Product containing precisely indoramin 20 milligram/1 each conventional release oral tablet
6072891000006116,Indoramin 20 mg oral tablet
6072901000006117,Indoramin 25mg tablets
11872051000006117,Product containing only indoramin 25 mg/1 each oral tablet
6072921000006110,Indoramin 25 mg oral tablet
12229281000006117,Product containing precisely indoramin 25 milligram/1 each conventional release oral tablet
6072911000006119,Product containing indoramin 25 mg/1 each oral tablet
11780031000006119,Product containing only prazosin hydrochloride 0.5 milligram/1 each oral tablet
6073081000006116,Prazosin 500microgram tablets
12229321000006111,Product containing precisely prazosin (as prazosin hydrochloride) 500 microgram/1 each conventional release oral tablet
6073091000006118,Prazosin hydrochloride 0.5 mg oral tablet
12229311000006115,Prazosin (as prazosin hydrochloride) 500 microgram oral tablet
6073101000006112,Product containing prazosin hydrochloride 0.5 milligram/1 each oral tablet
12229331000006114,Prazosin (as prazosin hydrochloride) 1 mg oral tablet
11780041000006112,Product containing only prazosin hydrochloride 1 mg/1 each oral tablet
6073121000006119,Product containing prazosin hydrochloride 1 mg/1 each oral tablet
6073131000006116,Prazosin hydrochloride 1 mg oral tablet
12229341000006116,Product containing precisely prazosin (as prazosin hydrochloride) 1 milligram/1 each conventional release oral tablet
6073111000006110,Prazosin 1mg tablets
6073161000006113,Prazosin hydrochloride 2 mg oral tablet
12229361000006117,Prazosin (as prazosin hydrochloride) 2 mg oral tablet
6073141000006114,Prazosin 2mg tablets
11812061000006113,Product containing only prazosin hydrochloride 2 mg/1 each oral tablet
12229351000006119,Product containing precisely prazosin (as prazosin hydrochloride) 2 milligram/1 each conventional release oral tablet
6073151000006111,Product containing prazosin hydrochloride 2 mg/1 each oral tablet
12229371000006112,Product containing precisely prazosin (as prazosin hydrochloride) 5 milligram/1 each conventional release oral tablet
6073181000006115,Product containing prazosin hydrochloride 5 mg/1 each oral tablet
6073191000006117,Prazosin hydrochloride 5 mg oral tablet
12229381000006110,Prazosin (as prazosin hydrochloride) 5 mg oral tablet
11812071000006118,Product containing only prazosin hydrochloride 5 mg/1 each oral tablet
6073171000006118,Prazosin 5mg tablets
11780051000006114,Product containing only terazosin 5 mg/1 each oral tablet
6073211000006116,Product containing terazosin 5 mg/1 each oral tablet
6073221000006112,Terazosin 5 mg oral tablet
12229401000006110,Product containing precisely terazosin (as terazosin hydrochloride) 5 milligram/1 each conventional release oral tablet
12229391000006113,Terazosin (as terazosin hydrochloride) 5 mg oral tablet
6073201000006119,Terazosin 5mg tablets
12229421000006117,Product containing precisely terazosin (as terazosin hydrochloride) 10 milligram/1 each conventional release oral tablet
6073251000006115,Terazosin 10 mg oral tablet
12229411000006113,Terazosin (as terazosin hydrochloride) 10 mg oral tablet
6073231000006110,Terazosin 10mg tablets
11780871000006111,Product containing only terazosin 10 mg/1 each oral tablet
6073241000006117,Product containing terazosin 10 mg/1 each oral tablet
