ProdCodeId,Description
10741641000033113,isavuconazole 100mg capsules
10745241000033112,isavuconazole 200mg powder for solution for infusion vials
11896941000033111,voriconazole 1% eye drops preservative free
12395941000033116,fluconazole 400mg/200ml infusion bags
12930641000033116,fluconazole 100mg/50ml solution for infusion vials
12986641000033111,voriconazole 100mg tablets
13055841000033111,azocan 50mg capsules (fdc international ltd)
13055941000033115,azocan 150mg capsules (fdc international ltd)
13056041000033113,azocan 200mg capsules (fdc international ltd)
13304541000033117,grisol 1% spray (transdermal ltd)
1368041000033113,sporanox-pulse 100mg capsules (janssen-cilag ltd)
1368441000033116,sporanox 100mg capsules (janssen-cilag ltd)
1370941000033119,sporanox 50mg/5ml oral solution (janssen-cilag ltd)
1846441000033113,hydrocortisone 1% / miconazole 2% cream
1846541000033114,hydrocortisone 1% / miconazole 2% ointment
2266241000033111,ancotil 2.5g/250ml solution for infusion bottles (mylan)
2290341000033118,itraconazole 250mg/25ml solution for infusion ampoules and diluent
2290441000033112,sporanox i.v. 250mg/25ml solution for infusion ampoules and diluent (janssen-cilag ltd)
2616941000033115,diflucan one 150mg capsules (mcneil products ltd)
2762541000033118,caspofungin msd powder for concentrate for solution for infusion 50 mg
2762641000033117,caspofungin msd powder for concentrate for solution for infusion 70 mg
2797141000033110,voriconazole 50mg tablets
2797241000033115,voriconazole 200mg tablets
2797341000033113,voriconazole 200mg powder for solution for infusion vials
2797441000033119,vfend 50mg tablets (pfizer ltd)
2797541000033118,vfend 200mg tablets (pfizer ltd)
2797641000033117,vfend 200mg powder for solution for infusion vials (pfizer ltd)
2827241000033114,miconazole nitrate vaginal capsules 400 mg
2945341000033115,dandrazol 2% shampoo (transdermal ltd)
2972141000033113,dandrazol anti-dandruff 2% shampoo (transdermal ltd)
3155041000033110,voriconazole 200mg/5ml oral suspension
3155141000033114,vfend 40mg/ml oral suspension (pfizer ltd)
3189641000033111,acorvio 2% cream (ferndale pharmaceuticals ltd)
3189741000033119,acorvio plus cream (ferndale pharmaceuticals ltd)
3309341000033112,griseofulvin 1% spray
3309441000033118,grisol af 1% spray (transdermal ltd)
3310941000033119,caspofungin 50mg powder for solution for infusion vials
3311141000033111,caspofungin 70mg powder for solution for infusion vials
3311341000033114,cancidas 50mg powder for solution for infusion vials (merck sharp & dohme ltd)
3311441000033115,cancidas 70mg powder for solution for infusion vials (merck sharp & dohme ltd)
3836941000033110,miconazole 2% / fluprednidene 0.1% cream
3905741000033115,posaconazole 40mg/ml oral suspension
3905841000033113,noxafil 40mg/ml oral suspension (merck sharp & dohme ltd)
3939741000033112,fluconazole 200mg/100ml infusion bags
3956541000033113,abelcet 100mg/20ml concentrate for suspension for infusion vials (teva uk ltd)
3962141000033114,fluconazole 150mg capsule and clotrimazole 2% cream
400441000033113,daktacort 2%/1% cream (janssen-cilag ltd)
400541000033114,daktarin 2% cream (janssen-cilag ltd)
402641000033114,daktarin 2% powder (mcneil products ltd)
403841000033117,daktarin 20mg/g oromucosal gel (janssen-cilag ltd)
405841000033116,daktacort ointment (janssen-cilag ltd)
4089641000033119,daktarin aktiv 0.16% spray powder (johnson & johnson ltd)
4202141000033112,flucytosine 2.5g/250ml solution for infusion bottles
4293641000033113,"amphotericin b (lipid formulation) suspension for infusion 5 mg/ml, 20 ml vial"
4293741000033116,amphotericin b (lipid formulation) powder for solution for infusion 50 mg vial
4293841000033114,amphotericin b (lipid formulation) powder for solution for infusion 100 mg vial
437941000033113,diflucan 150mg capsules (pfizer ltd)
438041000033111,diflucan 50mg capsules (pfizer ltd)
439241000033111,diflucan 200mg capsules (pfizer ltd)
4401941000033115,anidulafungin 100mg powder and solvent for solution for infusion vials
4402041000033114,ecalta 100mg powder and solvent for concentrate for solution for infusion vials (pfizer ltd)
4423441000033117,daktarin aktiv 2% cream (johnson & johnson ltd)
449941000033115,diflucan 200mg/100ml solution for infusion vials (pfizer ltd)
4500841000033112,miconazole 50mg muco-adhesive buccal tablets sugar free
4500941000033116,loramyc 50mg muco-adhesive buccal tablets (laboratoires bioalliance pharma)
450141000033111,diflucan 50mg/25ml solution for infusion vials (pfizer ltd)
455541000033110,diflucan 200mg/5ml oral suspension (pfizer ltd)
455641000033111,diflucan 50mg/5ml oral suspension (pfizer ltd)
4570841000033116,micafungin 50mg powder for solution for infusion vials
4570941000033112,micafungin 100mg powder for solution for infusion vials
4571041000033119,mycamine 50mg powder for solution for infusion vials (astellas pharma ltd)
4571141000033115,mycamine 100mg powder for solution for infusion vials (astellas pharma ltd)
4593541000033117,daktarin aktiv 2% powder (mcneil products ltd)
46341000033115,amphotericin b cream 3 %
48941000033115,ambisome liposomal 50mg powder for dispersion for infusion vials (gilead sciences ireland uc)
49041000033112,amphotericin (liposomal) injection 50 mg/vial
49141000033111,amphocil 100mg powder for solution for infusion vials (beacon pharmaceuticals ltd)
49241000033116,amphocil 50mg powder for solution for infusion vials (beacon pharmaceuticals ltd)
49341000033114,amphotericin (colloidal) injection 100 mg/vial
49441000033115,amphotericin (colloidal) injection 50 mg/vial
49541000033119,amphotericin (in lipid complex) injection 5 mg/ml
50241000033112,amphotericin b 50mg powder for solution for infusion vials
51641000033119,amphotericin b 10mg lozenges sugar free
52541000033113,amphotericin b ointment 3 %
5405241000033119,anidulafungin 100mg powder for solution for infusion vials
5405341000033112,ecalta 100mg powder for concentrate for solution for infusion vials (pfizer ltd)
55041000033111,amphotericin b 100mg/ml oral suspension sugar free
57841000033112,amphotericin b 100mg tablets
579341000033113,fluconazole 150mg capsules
579441000033119,fluconazole 50mg capsules
579641000033117,fluconazole 200mg capsules
5835541000033115,griseofulvin oral suspension sugar free 125 mg/5 ml
587441000033118,flucytosine intravenous infusion 10 mg/ml
588041000033114,fluconazole 50mg/25ml solution for infusion vials
588141000033113,fluconazole 200mg/100ml solution for infusion vials
590041000033110,fluconazole 200mg/5ml oral suspension
590141000033114,fluconazole 50mg/5ml oral suspension
595241000033111,flucytosine tablets 500 mg
5969341000033111,griseofulvin 175mg/5ml oral suspension
6063541000033110,amphotericin b 0.15% eye drops
6067441000033115,amphotericin b 0.15% eye drops preservative free
617341000033116,fungizone 50mg powder for concentrate for solution for infusion vials (cheplapharm arzneimittel gmbh)
617541000033111,fungilin 10mg lozenges (bristol-myers squibb pharmaceuticals ltd)
618441000033111,fungilin 100mg/ml oral suspension (bristol-myers squibb pharmaceuticals ltd)
619041000033110,fungilin 100mg tablets (bristol-myers squibb pharmaceuticals ltd)
653341000033117,griseofulvin 125mg/5ml oral suspension
653441000033111,griseofulvin 125mg tablets
653541000033112,griseofulvin 500mg tablets
653641000033113,grisovin 125mg tablets (glaxosmithkline uk ltd)
653741000033116,grisovin 500mg tablets (glaxosmithkline uk ltd)
656341000033114,gyno-daktarin 2% vaginal cream (janssen-cilag ltd)
656941000033113,gyno-daktarin 1200mg vaginal capsules (janssen-cilag ltd)
657241000033118,gyno-daktarin 100mg pessaries (janssen-cilag ltd)
788341000033112,itraconazole 100mg capsules
788441000033118,itraconazole 50mg/5ml oral solution sugar free
798241000033118,ketoconazole 2% cream
802641000033118,ketoconazole 2% shampoo
802941000033113,ketoconazole 100mg/5ml oral suspension
803741000033117,ketoconazole 200mg tablets
8112641000033119,amphotericin b liposomal 50mg powder for dispersion for infusion vials
8177841000033112,amphotericin b phospholipid complex 100mg/20ml suspension for infusion vials
8492541000033115,voriconazole 200mg powder and solvent for solution for infusion vials
8492641000033119,vfend 200mg powder and solvent for solution for infusion vials (pfizer ltd)
8618441000033119,fluconazole 100mg/50ml solution for infusion bottles
8618541000033118,fluconazole 200mg/100ml solution for infusion bottles
906641000033110,miconazole 100mg pessaries and miconazole 2% cream
906741000033118,miconazole 2% cream
907241000033110,miconazole denture lacquer 5 %
907341000033117,miconazole 2% powder
910941000033115,miconazole 20mg/g oromucosal gel sugar free
912541000033113,miconazole 2% vaginal cream
914341000033112,miconazole intravenous solution 10 mg/ml
916341000033117,miconazole 1.2g vaginal capsules
916641000033113,miconazole 100mg pessaries
917241000033113,miconazole 0.16% dry powder spray
917841000033112,miconazole tablets 250 mg
920541000033115,miconazole nitrate tampons 100 mg
922441000033117,miconazole nitrate twin pack
