CTV3Codes,Description
ehez.,ANIDULAFUNGIN 100mg powder and solvent for solution for injection
ehe1.,ECALTA 100mg powder and solvent for solution for injection
ehe2.,ECALTA 100mg powder for concentrate for soln for infusion
ehey.,ANIDULAFUNGIN 100mg powder for conc for soln for infusion
x01IS,Oral amphotericin
lc1y.,Amphotericin 10mg lozenge
lc11.,Fungilin 10mg lozenge
eh1x.,Amphotericin 100mg tablet
eh11.,Fungilin 100mg tablet
eh1y.,Amphotericin 100mg/mL s/f suspension
eh12.,Fungilin 100mg/mL s/f suspension
lc12.,Fungilin 100mg/mL suspension 12mL
lc1z.,Amphotericin 100mg/mL suspension
eh1z.,Amphotericin 50mg i-v infusion (pdr for recon)
eh15.,Amphocil 50mg i-v infusion (pdr for recon)
eh13.,Fungizone 50mg i-v infusion (pdr for recon)
x00Q3,Amphotericin (liposomal) 50mg i-v infusion (pdr for recon)
eh14.,AmBisome 50mg infusion (pdr for recon)
eh1w.,Amphotericin 100mg intravenous infusion
eh16.,Amphocil 100mg intravenous infusion
eh1u.,Amphotericin 50mg/10mL intravenous infusion
eh18.,Abelcet 50mg/10mL intravenous infusion
eh1v.,Amphotericin 100mg/20mL intravenous infusion concentrate
eh17.,Abelcet 100mg/20mL intravenous infusion concentrate
eh31.,Griseofulvin 125mg tablet
eh33.,Fulcin 125mg tablet
eh36.,Grisovin 125mg tablet
eh32.,Griseofulvin 500mg tablet
eh34.,Fulcin 500mg tablet
eh37.,Grisovin 500mg tablet
eh3z.,Griseofulvin 125mg/5mL oral suspension
eh35.,Fulcin 125mg/5mL oral suspension
eh39.,FULSOVIN 125mg/5mL oral suspension
lc5z.,Natamycin 10mg/mL suspension
eh6z.,Natamycin 500mg/20mL suspension
eh61.,Pimafucin 500mg/20mL suspension
lc52.,Pimafucin 2.5% suspension 20mL
lc5y.,Natamycin 2.5% suspension
x01IY,Pimafucin 1% suspension
lc51.,Pimafucin 1% suspension 5mL
x01IZ,Oral nystatin
eh71.,"Nystatin 100,000units/mL oral suspension"
x03do,"Infestat 100,000units/mL suspension"
lc67.,"Infestat 100,000units/mL suspension 30mL"
eh73.,"Nystan 100,000units/mL oral suspension"
lc63.,"Nystan 100,000units/mL suspension 30mL"
eh75.,"Nystatin Dome 100,000units/mL oral suspension"
lc65.,"Nystatin Dome 100,000units/mL suspension 30mL"
eh77.,"Nystatin GF/LF/SF 100,000units/mL suspension"
eh74.,"Nystan 100,000units/mL s/f g/f l/f oral suspension"
lc64.,Nystan sf suspension 24mL
eh78.,"Nystamont 100,000units/mL s/f suspension"
lc66.,"Nystamont 100,000units/mL sugar free oral suspension 30mL"
lc6x.,Nystatin s/f granules for suspension 24mL
lc6w.,"Nystatin 100,000units pastille"
lc62.,"Nystan 100,000units pastille"
eh76.,"Nystatin 500,000units tablet"
eh72.,"Nystan 500,000units tablet"
eh4y.,Ketoconazole 200mg tablet
eh41.,Nizoral 200mg tablet
eh4z.,Ketoconazole 100mg/5mL oral suspension
eh42.,Nizoral 100mg/5mL suspension
x01Im,Oral miconazole
eh5y.,Miconazole 250mg tablet
eh5z.,Miconazole 200mg/20mL intravenous infusion
eh53.,Daktarin 200mg/20mL intravenous infusion
eh81.,Fluconazole 50mg capsule
eh83.,Diflucan 50mg capsule
eh82.,Fluconazole 150mg capsule
eh8g.,Canesten Fluconazole 150mg capsule
eh8l.,Care Fluconazole 150mg capsule
eh84.,Diflucan 150mg capsule
eh8f.,Diflucan One 150mg capsule
eh8h.,Galpharm Single Dose Thrush Treatment 150mg capsule
eh8k.,Vantage Fluconazole 150mg capsule
eh85.,Diflucan 200mg capsule
eh86.,Fluconazole 200mg capsule
eh8d.,Fluconazole 50mg/5mL oral suspension
x025n,Diflucan 50mg/5mL oral suspension
eh8b.,Diflucan 50mg/5mL suspension 35mL
eh8e.,Fluconazole 200mg/5mL oral suspension
x025o,Diflucan 200mg/5mL oral suspension
eh8c.,Diflucan 200mg/5mL suspension 35mL
eh89.,Fluconazole 50mg/25mL intravenous infusion
eh87.,Diflucan 50mg/25mL intravenous infusion
eh8a.,Fluconazole 200mg/100mL intravenous infusion
eh88.,Diflucan 200mg/100mL intravenous infusion
eh8m.,AZOCAN-P 150mg capsules
eh91.,Itraconazole 100mg capsule
eh92.,Sporanox 100mg capsule
eh93.,Sporanox-Pulse 100mg capsule
eh94.,Itraconazole 10mg/mL s/f oral solution
x03h5,Sporanox 10mg/mL s/f oral solution
eh95.,Sporanox 10mg/mL s/f oral solution 150mL
eh9z.,Itraconazole 250mg/25mL infusion concentrate
eh96.,Sporanox IV 250mg/25mL infusion concentrate
ehdz.,Posaconazole 40mg/mL oral suspension
ehd1.,Noxafil 40mg/mL oral suspension
ehd2.,NOXAFIL 100mg gastro-resistant tablets
ehd3.,NOXAFIL 300mg/16.7mL concentrate for solution for infusion
ehd4.,POSACONAZOLE 300mg/16.7mL concentrate for soln for injection
ehdy.,POSACONAZOLE 100mg gastro-resistant tablets
ehc1.,Voriconazole 50mg tablet
ehc4.,Vfend 50mg tablet
ehc2.,Voriconazole 200mg tablet
ehc5.,Vfend 200mg tablet
ehc7.,Voriconazole 40mg/mL oral suspension
