V2Codes,Description
eh1..,AMPHOTERICIN [ANTI FUNGAL]
eh11.,*FUNGILIN 100mg tablets
eh12.,FUNGILIN 100mg/mL sugar free suspension
eh13.,FUNGIZONE 50mg intravenous infusion
eh14.,AMBISOME 50mg/vial intravenous infusion
eh15.,AMPHOCIL 50mg intravenous infusion
eh16.,AMPHOCIL 100mg intravenous infusion
eh17.,ABELCET 100mg/20mL intravenous infusion concentrate
eh18.,ABELCET 50mg/10mL intravenous infusion
eh1u.,AMPHOTERICIN 50mg/10mL intravenous infusion
eh1v.,AMPHOTERICIN 100mg/20mL intravenous infusion concentrate
eh1w.,AMPHOTERICIN 100mg intravenous infusion
eh1x.,*AMPHOTERICIN 100mg tablets
eh1y.,AMPHOTERICIN 100mg/mL sugar free suspension
eh1z.,AMPHOTERICIN 50mg intravenous infusion
eh2..,FLUCYTOSINE
eh21.,*ALCOBON 500mg tablets
eh22.,ALCOBON 2.5g/250mL intravenous infusion
eh23.,ANCOTIL 500mg tablets
eh2y.,FLUCYTOSINE 500mg tablets
eh2z.,FLUCYTOSINE 2.5g intravenous infusion
eh3..,GRISEOFULVIN
eh31.,GRISEOFULVIN 125mg tablets
eh32.,GRISEOFULVIN 500mg tablets
eh33.,*FULCIN 125mg tablets
eh34.,*FULCIN 500mg tablets
eh35.,FULCIN 125mg/5mL oral suspension
eh36.,*GRISOVIN 125mg tablets
eh37.,*GRISOVIN 500mg tablets
eh39.,FULSOVIN 125mg/5mL oral suspension
eh3z.,GRISEOFULVIN 125mg/5mL oral suspension
eh41.,*NIZORAL 200mg tablets
eh42.,NIZORAL 100mg/5mL oral suspension
eh4y.,KETOCONAZOLE 200mg tablets
eh4z.,KETOCONAZOLE 100mg/5mL oral suspension
eh51.,*DAKTARIN 250mg tablets
eh53.,DAKTARIN 200mg/20mL intravenous solution
eh5y.,*MICONAZOLE 250mg tablets
eh5z.,MICONAZOLE 200mg/20mL intravenous solution
eh61.,PIMAFUCIN 500mg/20mL suspension
eh6z.,NATAMYCIN 500mg/20mL suspension
eh71.,"NYSTATIN 100,000units/mL suspension"
eh72.,"*NYSTAN 500,000units tablets"
eh73.,"NYSTAN 100,000units/mL suspension"
eh74.,"NYSTAN GF LF SF 100,000units/mL suspension"
eh75.,"NYSTATIN-DOME 100,000units/mL suspension"
eh76.,"*NYSTATIN 500,000units tablets"
eh77.,"NYSTATIN 100,000units/mL sugar free suspension"
eh78.,"NYSTAMONT 100,000units/mL sugar free oral suspension"
eh81.,FLUCONAZOLE 50mg capsules
eh82.,FLUCONAZOLE 150mg capsules
eh83.,DIFLUCAN 50mg capsules
eh84.,DIFLUCAN 150mg capsules
eh85.,DIFLUCAN 200mg capsules
eh86.,FLUCONAZOLE 200mg capsules
eh87.,*DIFLUCAN 50mg/25mL infusion
eh88.,DIFLUCAN 200mg/100mL infusion
eh89.,FLUCONAZOLE 50mg/25mL infusion
eh8a.,FLUCONAZOLE 200mg/100mL infusion
eh8b.,DIFLUCAN 50mg/5mL suspension 35mL
eh8c.,DIFLUCAN 200mg/5mL suspension 35mL
