CTV3Codes,Description
x01J8,Aminoquinoline antimalarial
ej1..,Amodiaquine
ej12.,Amodiaquine 200mg tablet
ej11.,Camoquin 200mg tablet
x02M2,Chloroquine
ej26.,Chloroquine phosphate 250mg tablet
ej2w.,Chloroquine phosphate 80mg/5mL syrup
ej22.,Malarivon 80mg/5mL syrup
x02I5,Chloroquine sulphate 200mg tablet
ej23.,Nivaquine 200mg tablet
ej2x.,Chloroquine 200mg tablet
x02I6,Chloroquine sulphate 68mg/5mL syrup
ej24.,Nivaquine 68mg/5mL syrup
ej2y.,Chloroquine 68mg/5mL syrup
ej2z.,Chloroquine 200mg/5mL injection
ej25.,Nivaquine 200mg/5mL injection
ej2..,Chloroquine [anti-malarial]
x01J9,Hydroxychloroquine
j54z.,Hydroxychloroquine sulphate 200mg tablet
j541.,Plaquenil 200mg tablet
ej3..,Hydroxychloroquine sulphate [anti malarial]
ej41.,Primaquine 7.5mg tablet
ej4..,Primaquine
ejC..,Proguanil hydrochloride+chloroquine phosphate
ejC1.,Proguanil hydrochloride tablet+chloroquine phosphate tablet 100mg/250mg pack
ejC2.,Paludrine tablet+Avloclor tablet 100mg/250mg anti-malarial travel pack
x05dD,Artemisinin antimalarial
ejD..,Artemether+lumefantrine
ejD1.,Artemether+lumefantrine 20mg/120mg tablet
ejD2.,Riamet 20mg/120mg tablet
x01JA,Biguanide antimalarial
ejB3.,Atovaquone+proguanil hyrdochloride 62.5mg/25mg tablet
ejB..,Atovaquone+proguanil hydrochloride
ejB4.,Malarone Paediatric tablet
ejB1.,Atovaquone+proguanil hydrochloride 250mg/100mg tablet
ejB2.,Malarone tablet
ejB5.,REPRAPOG 250mg/100mg tablets
ejB6.,REPRAPOG 62.5mg/25mg tablets
x01JB,Proguanil
ej5z.,Proguanil hydrochloride 100mg tablet
ej51.,Paludrine 100mg tablet
ej5..,Proguanil hydrochloride
x01JC,Cinchona antimalarial
ej7..,Quinine
ej74.,Quinine sulphate 125mg tablet
ej75.,Quinine sulphate 200mg tablet
ej76.,Quinine sulphate 300mg tablet
ej71.,Quinine bisulphate 300mg tablet
ej73.,Quinine hydrochloride 300mg tablet
ej72.,Quinine dihydrochloride 300mg tablet
ej77.,Quinine dihydrochloride 300mg/1mL intravenous infusion
ej78.,Quinine dihydrochloride 600mg/2mL intravenous infusion
x01JD,Halofantrine
ej91.,Halofantrine hydrochloride 250mg tablet
ej92.,Halfan 250mg tablet
ej9..,Halofantrine HCl
ej8..,Mefloquine product
ej81.,Mefloquine 250mg tablet
ej82.,Lariam 250mg tablet
x01JE,Mepacrine
ejA1.,Mepacrine hydrochloride 100mg tablet
ejA..,Mepacrine hydrochloride
ej6..,Pyrimethamine product
ej6z.,Pyrimethamine 12.5mg tablet
ej6y.,Pyrimethamine 25mg tablet
ej61.,Daraprim 25mg tablet
ej6x.,Pyrimethamine+sulfadoxine 25mg/500mg tablet
ej62.,Fansidar tablet
ej6w.,Pyrimethamine+dapsone 12.5mg/100mg tablet
ej63.,Maloprim tablet
ejE..,PIPERAQUINE+DIHYDROARTEMISININ
ejE1.,EURARTESIM 320mg/40mg tablets
ejE2.,PIPERAQUINE TETRAPHOSPH+DIHYDROARTEMISININ 320mg/40mg tablet
x01Hu,Oral metronidazole
ef11.,Metronidazole 200mg tablet
ef1c.,Flagyl 200mg tablet
ef1l.,Metrolyl 200mg tablet
ef1r.,Nidazol 200mg tablet
ef1s.,Vaginyl 200mg tablet
ef1u.,Zadstat 200mg tablet
ef12.,Metronidazole 400mg tablet
ef1d.,Flagyl 400mg tablet
ef1m.,Metrolyl 400mg tablet
ef1t.,Vaginyl 400mg tablet
ef1D.,Metronidazole 500mg tablet
ef1A.,Metronidazole 200mg/5mL suspension
x025m,Flagyl S 200mg/5mL suspension
ef1g.,FLAGYL S suspension 100mL
ef1j.,Flagyl S suspension 50mL
x00eV,Norzol 200mg/5mL suspension
ef13.,Metronidazole 100mg/20mL infusion
ef1e.,Flagyl 100mg/20mL infusion
ef1f.,Flagyl bottle 0.5g/100mL intravenous infusion
ef16.,Metronidazole 500mg/100mL infusion bag
ef19.,Elyzol 500mg/100mL intravenous infusion
ef1y.,Flagyl 500mg/100mL infusion
ef1o.,Metrolyl 500mg/100mL intravenous infusion bag
ef1C.,Metrovex 500mg/100mL infusion bag
ef1z.,Metrozol 500mg/100mL infusion
ef1v.,Zadstat 500mg/100mL infusion
ef15.,Metronidazole 500mg/100mL infusion
