ProdCodeId,Description
10010341000033117,sofosbuvir 400mg / ledipasvir 90mg tablets
10010441000033111,harvoni 90mg/400mg tablets (gilead sciences ireland uc)
10015241000033118,darunavir 800mg / cobicistat 150mg tablets
10015341000033111,rezolsta 800mg/150mg tablets (janssen-cilag ltd)
10041000033114,aciclovir 200mg/5ml oral suspension sugar free
10141000033113,aciclovir 400mg/5ml oral suspension sugar free
10202241000033119,viekirax 12.5mg/75mg/50mg tablets (abbvie ltd)
10211141000033115,exviera 250mg tablets (abbvie ltd)
10492341000033111,raltegravir 100mg granules sachets
10492441000033117,isentress 100mg granules sachets (merck sharp & dohme ltd)
10601941000033119,atazanavir 300mg / cobicistat 150mg tablets
10602041000033113,evotaz 300mg/150mg tablets (bristol-myers squibb pharmaceuticals ltd)
10616441000033119,synagis 50mg/0.5ml solution for injection vials (abbvie ltd)
10616541000033118,synagis 100mg/1ml solution for injection vials (abbvie ltd)
10641000033115,aciclovir 800mg dispersible tablets
10950941000033116,genvoya 150mg/150mg/200mg/10mg tablets (gilead sciences ireland uc)
1155841000033111,retrovir 100mg capsules (viiv healthcare uk ltd)
1155941000033115,retrovir 250mg capsules (viiv healthcare uk ltd)
1157941000033111,retrovir infusion 200 mg/10 ml
1158541000033116,retrovir iv 200mg/20ml concentrate for solution for infusion vials (viiv healthcare uk ltd)
1164341000033110,retrovir 100mg/10ml oral solution (viiv healthcare uk ltd)
1165141000033113,retrovir tablets 300 mg
11662641000033110,tenofovir and emtricitabine tablets 10 mg + 200 mg
11662741000033118,tenofovir and emtricitabine tablets 25 mg + 200 mg
11662841000033111,descovy 200mg/25mg tablets (gilead sciences ireland uc)
11662941000033115,descovy 200mg/10mg tablets (gilead sciences ireland uc)
11695241000033119,daclatasvir 90mg tablets
11695341000033112,daklinza 90mg tablets (bristol-myers squibb pharmaceuticals ltd)
11704141000033119,ritonavir 100mg oral powder sachets sugar free
11704241000033114,norvir 100mg oral powder sachets (abbvie ltd)
1171041000033117,ritonavir 100mg capsules
11717141000033112,odefsey 200mg/25mg/25mg tablets (gilead sciences ireland uc)
1174441000033112,ritonavir 80mg/1ml oral solution sugar free
11799641000033111,emtricitabine 200mg / tenofovir alafenamide 10mg tablets
11799741000033119,emtricitabine 200mg / tenofovir alafenamide 25mg tablets
11800541000033117,sofosbuvir 400mg / velpatasvir 100mg tablets
11800641000033116,epclusa 400mg/100mg tablets (gilead sciences ireland uc)
12194141000033110,dolutegravir 10mg tablets
12194241000033115,dolutegravir 25mg tablets
12194341000033113,tivicay 10mg tablets (viiv healthcare uk ltd)
12194441000033119,tivicay 25mg tablets (viiv healthcare uk ltd)
1222141000033112,saquinavir mesylate capsules 200 mg
12396441000033117,raltegravir 600mg tablets
12396541000033116,isentress 600mg tablets (merck sharp & dohme ltd)
12408441000033110,vosevi 400mg/100mg/100mg tablets (gilead sciences ireland uc)
12410841000033114,symtuza 800mg/150mg/200mg/10mg tablets (janssen-cilag ltd)
12423641000033114,maraviroc 20mg/ml oral solution sugar free
12423741000033117,celsentri 20mg/ml oral solution (viiv healthcare uk ltd)
12423841000033110,maraviroc 25mg tablets
12423941000033119,maraviroc 75mg tablets
12424041000033117,celsentri 25mg tablets (viiv healthcare uk ltd)
12424141000033118,celsentri 75mg tablets (viiv healthcare uk ltd)
12457441000033119,tenofovir alafenamide 25mg tablets
12457541000033118,vemlidy 25mg tablets (gilead sciences ireland uc)
12461741000033110,efavirenz 600mg / emtricitabine 200mg / tenofovir disoproxil 245mg tablets
12541000033117,aciclovir 200mg tablets
12592841000033116,dolutegravir 50mg / rilpivirine 25mg tablets
12592941000033112,juluca 50mg/25mg tablets (viiv healthcare uk ltd)
12634041000033117,biktarvy 50mg/200mg/25mg tablets (gilead sciences ireland uc)
12685241000033119,ictastan 200mg/245mg tablets (actavis uk ltd)
13010141000033119,delstrigo 100mg/300mg/245mg tablets (merck sharp & dohme ltd)
13041000033118,aciclovir 400mg tablets
13132741000033119,dolutegravir 50mg / lamivudine 300mg tablets
13132841000033112,dovato 50mg/300mg tablets (viiv healthcare uk ltd)
13283741000033118,lamivudine 300mg / tenofovir disoproxil 245mg tablets
13735341000033117,ebilfumin 75mg capsules (teva uk ltd)
1376941000033117,stavudine 15mg capsules
1377041000033116,stavudine 20mg capsules
1377141000033117,stavudine 30mg capsules
1377241000033112,stavudine 40mg capsules
1382341000033111,stavudine 1mg/ml oral solution
1399241000033110,symmetrel 100mg capsules (alliance pharmaceuticals ltd)
1402941000033119,symmetrel 50mg/5ml syrup (alliance pharmaceuticals ltd)
1503641000033110,valtrex 500mg tablets (glaxosmithkline uk ltd)
1503741000033118,valaciclovir 500mg tablets
1516741000033114,vidarabine eye ointment 3 %
1518441000033115,vistide 375mg/5ml solution for infusion vials (gilead sciences ireland uc)
1519141000033117,vira-a injection 200 mg/ml
1519541000033114,vidarabine injection 200 mg/ml
1523141000033112,videx tablets 100 mg
1523241000033117,videx 25mg chewable dispersible tablets (bristol-myers squibb pharmaceuticals ltd)
1523541000033115,virovir 200mg tablets (opus pharmaceuticals ltd)
1523641000033119,virovir 400mg tablets (opus pharmaceuticals ltd)
1523741000033111,virovir 800mg tablets (opus pharmaceuticals ltd)
1524541000033118,videx 150mg chewable dispersible tablets (bristol-myers squibb pharmaceuticals ltd)
1550141000033117,zalcitabine 375microgram tablets
1550241000033112,zalcitabine 750microgram tablets
1551041000033113,zerit 15mg capsules (bristol-myers squibb pharmaceuticals ltd)
1551141000033112,zerit 20mg capsules (bristol-myers squibb pharmaceuticals ltd)
1551241000033117,zerit 30mg capsules (bristol-myers squibb pharmaceuticals ltd)
1551341000033110,zerit 40mg capsules (bristol-myers squibb pharmaceuticals ltd)
1551441000033116,zerit 1mg/ml oral solution (bristol-myers squibb pharmaceuticals ltd)
1553241000033116,zidovudine 250mg capsules
1553641000033118,zidovudine 100mg capsules
1554541000033117,zidovudine infusion 200 mg/10 ml
1554641000033116,zidovudine 200mg/20ml solution for infusion vials
1557241000033113,zidovudine 10mg/1ml oral solution sugar free
1557841000033112,zidovudine tablets 300 mg
1559541000033116,zovirax 5% cream (glaxosmithkline uk ltd)
1559641000033115,zovirax 200mg dispersible tablets (glaxosmithkline uk ltd)
1559741000033112,zovirax 400mg dispersible tablets (glaxosmithkline uk ltd)
1559841000033119,zovirax 3% ophthalmic ointment (glaxosmithkline uk ltd)
1560641000033119,zovirax i.v. 250mg powder for solution for infusion vials (glaxosmithkline uk ltd)
1561041000033116,zovirax i.v. 500mg powder for solution for infusion vials (glaxosmithkline uk ltd)
1561641000033110,zovirax suspension 400 mg/5 ml
1561841000033111,zovirax 200mg/5ml oral suspension (glaxosmithkline uk ltd)
1562741000033112,zovirax tablets 200 mg
1563041000033117,zovirax 800mg dispersible tablets (glaxosmithkline uk ltd)
1563341000033115,zovirax tablets 400 mg
1567241000033116,aciclovir 800mg tablets
1593741000033116,combivir 150mg/300mg tablets (viiv healthcare uk ltd)
1609741000033110,famvir 500mg tablets (phoenix labs ltd)
1609841000033117,famciclovir 500mg tablets
1659241000033113,nelfinavir mesylate oral powder 50 mg/gram
1659341000033115,nevirapine 200mg tablets
1659441000033114,nelfinavir mesylate tablets 250 mg
1706541000033117,viracept 50mg/g oral powder (roche products ltd)
1706641000033116,viramune 200mg tablets (boehringer ingelheim ltd)
1706741000033113,viracept 250mg tablets (roche products ltd)
1781141000033116,saquinavir 200mg capsules
1781241000033111,fortovase 200mg capsules (roche products ltd)
1795041000033116,virasorb cold sore 5% cream (thornton & ross ltd)
1833641000033116,efavirenz 50mg capsules
1833741000033113,efavirenz 100mg capsules
1833841000033115,efavirenz 200mg capsules
1833941000033111,sustiva 50mg capsules (bristol-myers squibb pharmaceuticals ltd)
1834041000033113,sustiva 100mg capsules (bristol-myers squibb pharmaceuticals ltd)
1834141000033112,sustiva 200mg capsules (bristol-myers squibb pharmaceuticals ltd)
1842241000033113,abacavir 300mg tablets
1842341000033115,abacavir 20mg/ml oral solution sugar free
1842441000033114,ziagen 300mg tablets (viiv healthcare uk ltd)
