CTV3Codes,Description
eij..,MARAVIROC
eij2.,CELSENTRI 300mg tablets
eijz.,MARAVIROC 150mg tablets
eij1.,CELSENTRI 150mg tablets
eijy.,MARAVIROC 300mg tablets
eil..,RALTEGRAVIR
eilz.,RALTEGRAVIR 400mg tablets
eil1.,ISENTRESS 400mg tablets
eil2.,ISENTRESS 25mg chewable tablets
eil3.,ISENTRESS 100mg chewable tablets
eil4.,ISENTRESS 100mg granules for oral suspension
eilw.,RALTEGRAVIR 100mg granules for oral suspension
eilx.,RALTEGRAVIR 100mg chewable tablets
eily.,RALTEGRAVIR 25mg chewable tablets
eik..,EFAVIRENZ/EMTRICITABINE/TENOFOVIR
eik2.,EFAVIRENZ/EMTRICITABINE/TENOFOVIR DISOPROXIL 600mg/200mg/245mg tablets
eik1.,ATRIPLA 600mg/200mg/245mg tablets
eii..,TELBIVUDINE
eiiz.,TELBIVUDINE 600mg tablets
eii1.,SEBIVO 600mg tablets
eiP..,Abacavir
eiPy.,Abacavir 300mg tablet
eiP1.,Ziagen 300mg tablet
eiPz.,Abacavir 20mg/mL oral solution
eiP2.,Ziagen 20mg/mL oral solution
eih..,DARUNAVIR
eih1.,DARUNAVIR 300mg tablets
eih2.,PREZISTA 300mg tablets
eih3.,PREZISTA 400mg tablets
eih4.,DARUNAVIR 400mg tablets
eih5.,PREZISTA 600mg tablets
eih6.,DARUNAVIR 600mg tablets
eih7.,PREZISTA 75mg tablets
eih8.,DARUNAVIR 75mg tablets
eih9.,PREZISTA 150mg tablets
eihA.,DARUNAVIR 150mg tablets
eihB.,PREZISTA 800mg tablets
eihC.,DARUNAVIR 800mg tablets
eihD.,PREZISTA 100mg/mL oral suspension 200mL
eihE.,DARUNAVIR 100mg/mL oral suspension 200mL
eig..,ENTECAVIR
eig1.,ENTECAVIR 1mg tablets
eig2.,BARACLUDE 1mg tablets
eigz.,ENTECAVIR 50micrograms/mL s/f oral solution
eig5.,BARACLUDE 50micrograms/mL s/f oral solution
eig3.,ENTECAVIR 500micrograms tablets
eig4.,BARACLUDE 500micrograms tablets
x01It,Oral aciclovir
ei15.,Aciclovir 200mg tablet
ei1t.,Ranovir 200mg tablet
ei1m.,Virovir 200 tablet
ei11.,Zovirax 200mg tablet
ei1h.,Aciclovir 200mg dispersible tablet
ei1j.,Zovirax 200mg dispersible tablet
ei18.,Aciclovir 400mg tablet
ei1u.,Ranovir 400mg tablet
ei1n.,Virovir 400 tablet
ei14.,Zovirax 400mg tablet
ei1a.,Zovirax CP 400mg tablets
ei1k.,Aciclovir 400mg dispersible tablet
ei1l.,Zovirax 400mg dispersible tablet
ei1o.,Aciclovir 800mg tablet
ei1p.,Virovir 800 tablet
ei1d.,Aciclovir 800mg dispersible tablet
ei1c.,Zovirax Shingles Pack 800mg dispersible tablet
ei19.,Zovirax Shingles CP 800mg tablets
ei16.,Aciclovir 200mg/5mL s/f suspension
ei12.,Zovirax 200mg/5mL s/f suspension
ei1g.,Aciclovir 400mg/5mL suspension
ei1f.,Zovirax Double Strength 400mg/5mL suspension
x01Iu,Parenteral aciclovir
ei17.,Aciclovir 250mg i-v infusion (pdr for recon)
ei13.,Zovirax 250mg i-v infusion (pdr for recon)
