SNOMEDCTCodes,Description
28770911000001102,Otezla 10mg tablets (Amgen Ltd)
28771011000001105,Otezla 10mg tablets (Amgen Ltd) 4 tablet
28770611000001108,Otezla 30mg tablets (Amgen Ltd)
28771511000001102,Otezla 30mg tablets (Amgen Ltd) 19 tablet
28770711000001104,Otezla 30mg tablets (Amgen Ltd) 56 tablet 4 x 14 tablets
28771211000001100,Otezla 20mg tablets (Amgen Ltd)
28771311000001108,Otezla 20mg tablets (Amgen Ltd) 4 tablet
28789011000001101,Apremilast 10mg tablets
28770811000001107,Apremilast 10mg tablets 4 tablet
28789211000001106,Apremilast 30mg tablets
28771411000001101,Apremilast 30mg tablets 19 tablet
28770511000001109,Apremilast 30mg tablets 56 tablet
28789111000001100,Apremilast 20mg tablets
28771111000001106,Apremilast 20mg tablets 4 tablet
