CTV3Codes,Description
hh1..,Rituximab
hh11.,Rituximab 100mg/10mL infusion concentrate
hh13.,Mabthera 100mg/10mL infusion concentrate
hh12.,Rituximab 500mg/50mL infusion concentrate
hh14.,Mabthera 500mg/50mL infusion concentrate
hhR..,OFATUMUMAB
hhR1.,OFATUMUMAB 100mg/5mL concentrate for solution for infusion
hhR2.,ARZERRA 100mg/5mL concentrate for solution for infusion
hhR3.,ARZERRA 1g/50mL concentrate for solution for infusion
hhR4.,OFATUMUMAB 1g/50mL concentrate for solution for infusion
hh3..,Alemtuzumab
hh3y.,Alemtuzumab 30mg/1mL infusion concentrate
hh32.,MabCampath 30mg/1mL infusion concentrate
hh3z.,Alemtuzumab 30mg/3mL infusion concentrate
hh31.,MabCampath 30mg/3mL infusion concentrate
hh3x.,ALEMTUZUMAB 12mg concentrate for solution for injection
h8K..,BELIMUMAB
h8K1.,BENLYSTA 120mg powder for concentrate for soln for infusion
h8K2.,BELIMUMAB 120mg powder for conc for solution for injection
h8K3.,BENLYSTA 400mg powder for concentrate for soln for infusion
h8K4.,BELIMUMAB 400mg powder for conc for solution for injection
hhm..,OBINUTUZUMAB
hhm1.,GAZYVARO 1000mg/40mL concentrate for solution for infusion
hhm2.,OBINUTUZUMAB 1000mg/40mL concentrate for soln for injection
hhy..,BLINATUMOMAB
hhy1.,BLINCYTO 38.5mcg pdr for concentrate for soln for infusion
hhy2.,BLINATUMOMAB 38.5micrograms powder for soln for injection
hhp..,IBRUTINIB
hhp1.,IMBRUVICA 140mg capsules
hhp2.,IBRUTINIB 140mg capsules
x05sE,Ibritumomab tiuxetan
x05sF,Ibritumomab tiuxetan 1.6mg/mL radiopharmaceutical infusion kit
x05sG,Zevalin 1.6mg/mL radiopharmaceutical infusion kit
