V2Codes,Description
hh1..,RITUXIMAB
hh11.,RITUXIMAB 100mg/10mL infusion concentrate
hh12.,RITUXIMAB 500mg/50mL infusion concentrate
hh13.,MABTHERA 100mg/10mL infusion concentrate
hh14.,MABTHERA 500mg/50mL infusion concentrate
hhR..,OFATUMUMAB
hhR1.,OFATUMUMAB 100mg/5mL concentrate for solution for infusion
hhR2.,ARZERRA 100mg/5mL concentrate for solution for infusion
hhR3.,ARZERRA 1g/50mL concentrate for solution for infusion
hhR4.,OFATUMUMAB 1g/50mL concentrate for solution for infusion
hh3..,ALEMTUZUMAB
hh31.,MABCAMPATH 30mg/3mL infusion concentrate
hh32.,MABCAMPATH 30mg/1mL infusion concentrate
hh33.,LEMTRADA 12mg concentrate for solution for infusion
hh3x.,ALEMTUZUMAB 12mg concentrate for solution for injection
hh3y.,ALEMTUZUMAB 30mg/1mL infusion concentrate
hh3z.,ALEMTUZUMAB 30mg/3mL infusion concentrate
h8D..,ANTITHYMOCYTE IMMUNOGLOBULIN
h8D1.,THYMOGLOBULINE 25mg powder for solution for injection
h8D2.,ANTITHYMOCYTE IMMUNOGLOBULIN (RABBIT) 25mg powder for solution for injection
h8K..,BELIMUMAB
h8K1.,BENLYSTA 120mg powder for concentrate for soln for infusion
h8K2.,BELIMUMAB 120mg powder for conc for solution for injection
h8K3.,BENLYSTA 400mg powder for concentrate for soln for infusion
h8K4.,BELIMUMAB 400mg powder for conc for solution for injection
hhm..,OBINUTUZUMAB
hhm1.,GAZYVARO 1000mg/40mL concentrate for solution for infusion
hhm2.,OBINUTUZUMAB 1000mg/40mL concentrate for soln for injection
hhp..,IBRUTINIB
hhp1.,IMBRUVICA 140mg capsules
hhp2.,IBRUTINIB 140mg capsules
