SNOMEDCTCodes,Description
37817311000001101,Rituximab (Rixathon) 500mg/500ml in Sodium chloride 0.9% infusion bags (Special Order)
37817511000001107,Rituximab (Rixathon) 500mg/500ml in Sodium chloride 0.9% infusion bags (Special Order) 1 bag
37820311000001107,Rituximab (Rixathon) 700mg/500ml in Sodium chloride 0.9% infusion bags (Special Order)
37820411000001100,Rituximab (Rixathon) 700mg/500ml in Sodium chloride 0.9% infusion bags (Special Order) 1 bag
37821511000001108,Rituximab (Rixathon) 800mg/500ml in Sodium chloride 0.9% infusion bags (Special Order)
37821611000001107,Rituximab (Rixathon) 800mg/500ml in Sodium chloride 0.9% infusion bags (Special Order) 1 bag
37807111000001101,Rituximab (MabThera) 1000mg/500ml in Sodium chloride 0.9% infusion bags (Special Order)
37809211000001101,Rituximab (MabThera) 1000mg/500ml in Sodium chloride 0.9% infusion bags (Special Order) 1 bag
37820511000001101,Rituximab (Truxima) 700mg/500ml in Sodium chloride 0.9% infusion bags (Special Order)
37820711000001106,Rituximab (Truxima) 700mg/500ml in Sodium chloride 0.9% infusion bags (Special Order) 1 bag
37824811000001108,Rituximab (Rixathon) 900mg/500ml in Sodium chloride 0.9% infusion bags (Special Order)
37824911000001103,Rituximab (Rixathon) 900mg/500ml in Sodium chloride 0.9% infusion bags (Special Order) 1 bag
37809611000001104,Rituximab (Rixathon) 1000mg/500ml in Sodium chloride 0.9% infusion bags (Special Order)
37809711000001108,Rituximab (Rixathon) 1000mg/500ml in Sodium chloride 0.9% infusion bags (Special Order) 1 bag
37817011000001104,Rituximab (MabThera) 500mg/500ml in Sodium chloride 0.9% infusion bags (Special Order)
37817111000001103,Rituximab (MabThera) 500mg/500ml in Sodium chloride 0.9% infusion bags (Special Order) 1 bag
37824411000001106,Rituximab (MabThera) 900mg/500ml in Sodium chloride 0.9% infusion bags (Special Order)
37824611000001109,Rituximab (MabThera) 900mg/500ml in Sodium chloride 0.9% infusion bags (Special Order) 1 bag
37809311000001109,Rituximab (Truxima) 1000mg/500ml in Sodium chloride 0.9% infusion bags (Special Order)
37809411000001102,Rituximab (Truxima) 1000mg/500ml in Sodium chloride 0.9% infusion bags (Special Order) 1 bag
37819311000001106,Rituximab (Rixathon) 600mg/500ml in Sodium chloride 0.9% infusion bags (Special Order)
37819411000001104,Rituximab (Rixathon) 600mg/500ml in Sodium chloride 0.9% infusion bags (Special Order) 1 bag
37819511000001100,Rituximab (Truxima) 600mg/500ml in Sodium chloride 0.9% infusion bags (Special Order)
37819611000001101,Rituximab (Truxima) 600mg/500ml in Sodium chloride 0.9% infusion bags (Special Order) 1 bag
37817711000001102,Rituximab (Truxima) 500mg/500ml in Sodium chloride 0.9% infusion bags (Special Order)
37817811000001105,Rituximab (Truxima) 500mg/500ml in Sodium chloride 0.9% infusion bags (Special Order) 1 bag
37819111000001109,Rituximab (MabThera) 600mg/500ml in Sodium chloride 0.9% infusion bags (Special Order)
