CTV3Codes,Description
bd2..,Acebutolol
bd2w.,Acebutolol 100mg capsule
bd2z.,Acebutolol 10mg/2mL injection
bd2x.,Acebutolol 200mg capsule
bd2y.,Acebutolol 400mg tablet
bd15.,Angilol 10mg tablet
bd18.,Angilol 160mg tablet
bd16.,Angilol 40mg tablet
bd17.,Angilol 80mg tablet
bd3b.,Antipressan 100mg tablet
bd3l.,Antipressan 25mg tablet
bd3a.,Antipressan 50mg tablet
bd19.,Apsolol 10mg tablet
bd88.,Apsolox 160mg tablet
bd85.,Apsolox 20mg tablet
bd86.,Apsolox 40mg tablet
bd87.,Apsolox 80mg tablet
bd6d.,Arbralene 100mg tablet
bd6c.,Arbralene 50mg tablet
bd3g.,Atenix 100mg tablet
bd3z.,Atenix 25mg tablet
bd3f.,Atenix 50mg tablet
bd3..,Atenolol
bd36.,Atenolol 100mg tablet
bd3j.,Atenolol 25mg tablet
bd3x.,Atenolol 25mg/5mL syrup
bd35.,Atenolol 50mg tablet
bd3y.,Atenolol 5mg/10mL injection
x00Tb,Avlocardyl Retard 160mg m/r capsule
bd1d.,Bedranol 10mg tablet
bd1e.,Bedranol 40mg tablet
bd1f.,Bedranol 80mg tablet
bd1g.,Bedranol SR 160mg m/r capsule
bdn2.,Bedranol SR 80mg m/r capsule
bd1h.,Berkolol 10mg tablet
bd1k.,Berkolol 160mg tablet
bd1i.,Berkolol 40mg tablet
bd1j.,Berkolol 80mg tablet
bdc3.,Beta-Cardone 200mg tablet
bdc1.,Beta-Cardone 40mg tablet
bdc2.,Beta-Cardone 80mg tablet
bd1G.,Beta-Prograne 160mg m/r capsule
bda4.,Betadren 15mg tablet
bda3.,Betadren 5mg tablet
bd1F.,Betadur CR 160mg m/r capsule
bd62.,Betaloc 100mg tablet
bd61.,Betaloc 50mg tablet
bd63.,Betaloc 5mg/5mL injection
bd64.,Betaloc-SA 200mg Durule
bdd1.,Betim 10mg tablet
bdfG.,Bipranix 10mg tablet
bdfF.,Bipranix 5mg tablet
x01C1,Bisoprolol
bdf..,Bisoprolol fumarate
bdfw.,Bisoprolol fumarate 1.25mg tablet
bdf2.,Bisoprolol fumarate 10mg tablet
