ProdCodeId,Description
12228271000006114,Product containing precisely propranolol hydrochloride 10 milligram/1 each conventional release oral tablet
6069841000006111,Propranolol 10mg tablets
6069861000006110,Propranolol hydrochloride 10 mg oral tablet
6069851000006113,Product containing propranolol hydrochloride 10 mg/1 each oral tablet
11779191000006119,Product containing only propranolol hydrochloride 10 mg/1 each oral tablet
6069871000006115,Propranolol 40mg tablets
6069891000006119,Propranolol hydrochloride 40 mg oral tablet
12228281000006112,Product containing precisely propranolol hydrochloride 40 milligram/1 each conventional release oral tablet
6069881000006117,Product containing propranolol hydrochloride 40 mg/1 each oral tablet
11811871000006115,Product containing only propranolol hydrochloride 40 mg/1 each oral tablet
11871901000006113,Product containing only propranolol hydrochloride 80 mg/1 each oral tablet
6069901000006115,Propranolol 80mg tablets
6069911000006117,Product containing propranolol hydrochloride 80 mg/1 each oral tablet
12228291000006110,Product containing precisely propranolol hydrochloride 80 milligram/1 each conventional release oral tablet
6069921000006113,Propranolol hydrochloride 80 mg oral tablet
12228301000006111,Product containing precisely propranolol hydrochloride 160 milligram/1 each conventional release oral tablet
6069931000006111,Propranolol 160mg tablets
11811881000006117,Product containing only propranolol hydrochloride 160 mg/1 each oral tablet
6069951000006116,Propranolol hydrochloride 160 mg oral tablet
6069941000006118,Product containing propranolol hydrochloride 160 mg/1 each oral tablet
6070051000006115,Propranolol 160mg modified-release capsules
6070061000006118,Propranolol hydrochloride 160mg m/r capsule
6070081000006111,Propranolol hydrochloride 80mg m/r capsule
6070071000006113,Propranolol 80mg modified-release capsules
6070091000006114,Acebutolol 100mg capsules
11779201000006116,Product containing only acebutolol 100 mg/1 each oral capsule
12228311000006114,Product containing precisely acebutolol 100 milligram/1 each conventional release oral capsule
6070111000006117,Acebutolol 100 mg/1 each oral capsule
6070101000006115,Product containing acebutolol 100 mg/1 each oral capsule
12228321000006118,Acebutolol 100 mg oral capsule
12228341000006113,Acebutolol 200 mg oral capsule
6070121000006113,Acebutolol 200mg capsules
11871911000006111,Product containing only acebutolol 200 mg/1 each oral capsule
12228331000006115,Product containing precisely acebutolol 200 milligram/1 each conventional release oral capsule
6070141000006118,Product containing acebutolol 200 mg/1 each oral capsule
6070131000006111,Acebutolol 200 mg/1 each oral capsule
11811891000006119,Product containing only acebutolol 400 mg/1 each oral tablet
6070171000006114,Acebutolol 400 mg oral tablet
12228351000006110,Product containing precisely acebutolol 400 milligram/1 each conventional release oral tablet
6070161000006119,Product containing acebutolol 400 mg/1 each oral tablet
6070151000006116,Acebutolol 400mg tablets
6070181000006112,Atenolol 50mg tablets
11871921000006115,Product containing only atenolol 50 mg/1 each oral tablet
12228361000006112,Product containing precisely atenolol 50 milligram/1 each conventional release oral tablet
6070201000006113,Atenolol 50 mg oral tablet
6070191000006110,Product containing atenolol 50 mg/1 each oral tablet
6070211000006111,Atenolol 100mg tablets
6070221000006115,Product containing atenolol 100 mg/1 each oral tablet
11779211000006118,Product containing only atenolol 100 mg/1 each oral tablet
12228371000006117,Product containing precisely atenolol 100 milligram/1 each conventional release oral tablet
6070231000006117,Atenolol 100 mg oral tablet
12228381000006119,Product containing precisely atenolol 25 milligram/1 each conventional release oral tablet
6070251000006112,Product containing atenolol 25 mg/1 each oral tablet
6070261000006114,Atenolol 25 mg oral tablet
11779221000006114,Product containing only atenolol 25 mg/1 each oral tablet
6070241000006110,Atenolol 25mg tablets
12228401000006119,Product containing precisely labetalol hydrochloride 100 milligram/1 each conventional release oral tablet
11778841000006111,Product containing only labetalol hydrochloride 100 mg/1 each oral tablet
6070401000006114,Labetalol hydrochloride 100 mg oral tablet
6070391000006112,Product containing labetalol hydrochloride 100 mg/1 each oral tablet
6070381000006114,Labetalol 100mg tablets
6070421000006116,Product containing labetalol hydrochloride 200 mg/1 each oral tablet
6070431000006118,Labetalol hydrochloride 200 mg oral tablet
11811901000006115,Product containing only labetalol hydrochloride 200 mg/1 each oral tablet
12228411000006116,Product containing precisely labetalol hydrochloride 200 milligram/1 each conventional release oral tablet
6070411000006112,Labetalol 200mg tablets
6070451000006113,Product containing labetalol hydrochloride 400 mg/1 each oral tablet
12228421000006112,Product containing precisely labetalol hydrochloride 400 milligram/1 each conventional release oral tablet
6070441000006111,Labetalol 400mg tablets
11778851000006113,Product containing only labetalol hydrochloride 400 mg/1 each oral tablet
6070461000006110,Labetalol hydrochloride 400 mg oral tablet
11779851000006118,Product containing only labetalol hydrochloride 50 mg/1 each oral tablet
12228431000006110,Product containing precisely labetalol hydrochloride 50 milligram/1 each conventional release oral tablet
6070471000006115,Labetalol 50mg tablets
6070481000006117,Product containing labetalol hydrochloride 50 mg/1 each oral tablet
6070491000006119,Labetalol hydrochloride 50 mg oral tablet
6070561000006111,Metoprolol tartrate 100 mg oral tablet
12228441000006117,Product containing precisely metoprolol tartrate 100 milligram/1 each conventional release oral tablet
11779231000006112,Product containing only metoprolol tartrate 100 mg/1 each oral tablet
6070541000006112,Metoprolol 100mg tablets
6070551000006114,Product containing metoprolol tartrate 100 mg/1 each oral tablet
6070581000006118,Product containing metoprolol tartrate 50 mg/1 each oral tablet
6070591000006115,Metoprolol tartrate 50 mg oral tablet
11779241000006119,Product containing only metoprolol tartrate 50 mg/1 each oral tablet
6070571000006116,Metoprolol 50mg tablets
12228451000006115,Product containing precisely metoprolol tartrate 50 milligram/1 each conventional release oral tablet
6070661000006112,Nadolol 40mg tablets
6070671000006117,Product containing nadolol 40 mg/1 each oral tablet
