SNOMEDCTCodes,Description
18749211000001104,Ilaxten 20mg tablets (A. Menarini Farmaceutica Internazionale SRL)
18749311000001107,Ilaxten 20mg tablets (A. Menarini Farmaceutica Internazionale SRL) 30 tablet 3 x 10 tablets
38919311000001109,Ilaxten 2.5mg/ml oral solution (A. Menarini Farmaceutica Internazionale SRL)
38919411000001102,Ilaxten 2.5mg/ml oral solution (A. Menarini Farmaceutica Internazionale SRL) 120 ml
38919711000001108,Ilaxten 10mg orodispersible tablets (A. Menarini Farmaceutica Internazionale SRL)
38919811000001100,Ilaxten 10mg orodispersible tablets (A. Menarini Farmaceutica Internazionale SRL) 30 tablet 3 x 10 tablets
18759311000001105,Bilastine 20mg tablets
18749111000001105,Bilastine 20mg tablets 30 tablet
39046111000001101,Bilastine 2.5mg/ml oral solution sugar free
38919211000001101,Bilastine 2.5mg/ml oral solution sugar free 120 ml
39046011000001102,Bilastine 10mg orodispersible tablets sugar free
38919611000001104,Bilastine 10mg orodispersible tablets sugar free 30 tablet
