SNOMEDCTCodes,Description
7305311000001108,Amlodipine 5mg tablets (A A H Pharmaceuticals Ltd)
7305711000001107,Amlodipine 5mg tablets (IVAX Pharmaceuticals UK Ltd)
7333311000001100,Amlodipine 5mg tablets (Teva UK Ltd)
7376311000001107,Amlodipine 5mg tablets (Sandoz Ltd)
7378711000001105,Amlodipine 5mg tablets (Kent Pharmaceuticals Ltd)
7391211000001101,Amlodipine 5mg tablets (Mylan)
7535711000001103,Amlodipine 5mg tablets (Sterwin Medicines)
8038211000001107,Amlodipine 5mg tablets (Actavis UK Ltd)
9557111000001102,Amlodipine 5mg tablets (Zentiva)
10287111000001103,Amlodipine 5mg tablets (Advanz Pharma)
10378211000001106,Amlodipine 5mg tablets (Arrow Generics Ltd)
11008811000001105,Amlodipine 5mg tablets (Dr Reddy's Laboratories (UK) Ltd)
11398511000001109,Amlodipine 5mg tablets (Almus Pharmaceuticals Ltd)
13764411000001106,Amlodipine 5mg tablets (Apotex UK Ltd)
14112311000001100,Amlodipine 5mg tablets (Consilient Health Ltd)
14768911000001108,Amlodipine 5mg tablets (Wockhardt UK Ltd)
15064611000001101,Amlodipine 5mg tablets (Sigma Pharmaceuticals Plc)
15981411000001105,Amlodipine 5mg tablets (Bristol Laboratories Ltd)
17779111000001100,Amlodipine 5mg tablets (Phoenix Healthcare Distribution Ltd)
18458011000001107,Amlodipine 5mg tablets (Accord Healthcare Ltd)
19164711000001109,Amlodipine 5mg tablets (Somex Pharma)
19705311000001103,Amlodipine 5mg tablets (DE Pharmaceuticals)
19833111000001106,Amlodipine 5mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd)
22080611000001107,Amlodipine 5mg tablets (Waymade Healthcare Plc)
29992111000001103,Amlodipine 5mg tablets (Mawdsley-Brooks & Company Ltd)
35134611000001100,Amlodipine 5mg tablets (Aurobindo Pharma Ltd)
36837111000001108,Amlodipine 5mg tablets (Torrent Pharma (UK) Ltd)
37565711000001108,Amlodipine 5mg tablets (FDC Pharma)
37893211000001101,Amlodipine 5mg tablets (Dawa Ltd)
7304811000001100,Amlodipine 10mg tablets (Alliance Healthcare (Distribution) Ltd)
7305011000001105,Amlodipine 10mg tablets (A A H Pharmaceuticals Ltd)
7308711000001100,Amlodipine 10mg tablets (IVAX Pharmaceuticals UK Ltd)
7333511000001106,Amlodipine 10mg tablets (Teva UK Ltd)
7376511000001101,Amlodipine 10mg tablets (Sandoz Ltd)
7378911000001107,Amlodipine 10mg tablets (Kent Pharmaceuticals Ltd)
7391311000001109,Amlodipine 10mg tablets (Mylan)
7536011000001109,Amlodipine 10mg tablets (Sterwin Medicines)
8038411000001106,Amlodipine 10mg tablets (Actavis UK Ltd)
9557311000001100,Amlodipine 10mg tablets (Zentiva)
10286711000001100,Amlodipine 10mg tablets (Advanz Pharma)
10378511000001109,Amlodipine 10mg tablets (Arrow Generics Ltd)
11009211000001104,Amlodipine 10mg tablets (Dr Reddy's Laboratories (UK) Ltd)
11399011000001106,Amlodipine 10mg tablets (Almus Pharmaceuticals Ltd)
13764211000001107,Amlodipine 10mg tablets (Apotex UK Ltd)
14113111000001108,Amlodipine 10mg tablets (Consilient Health Ltd)
14769111000001103,Amlodipine 10mg tablets (Wockhardt UK Ltd)
15064211000001103,Amlodipine 10mg tablets (Sigma Pharmaceuticals Plc)
15981211000001106,Amlodipine 10mg tablets (Bristol Laboratories Ltd)
17779511000001109,Amlodipine 10mg tablets (Phoenix Healthcare Distribution Ltd)
18457811000001100,Amlodipine 10mg tablets (Accord Healthcare Ltd)
19164911000001106,Amlodipine 10mg tablets (Somex Pharma)
19704911000001101,Amlodipine 10mg tablets (DE Pharmaceuticals)
19833311000001108,Amlodipine 10mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd)
22080811000001106,Amlodipine 10mg tablets (Waymade Healthcare Plc)
29992411000001108,Amlodipine 10mg tablets (Mawdsley-Brooks & Company Ltd)
35134811000001101,Amlodipine 10mg tablets (Aurobindo Pharma Ltd)
36837811000001101,Amlodipine 10mg tablets (Torrent Pharma (UK) Ltd)
37565411000001102,Amlodipine 10mg tablets (FDC Pharma)
37892911000001103,Amlodipine 10mg tablets (Dawa Ltd)
8247211000001104,Amlodipine 5mg/5ml oral suspension (Special Order)
13882511000001104,Amlodipine 5mg/5ml oral solution (Special Order)
8247711000001106,Amlodipine 10mg/5ml oral suspension (Special Order)
20428411000001100,Amlodipine 10mg/5ml oral solution (Special Order)
11686811000001104,Amlodipine 50mg/5ml oral suspension (Special Order)
11687411000001104,Amlodipine 50mg/5ml oral solution (Special Order)
8246411000001102,Amlodipine 2.5mg/5ml oral suspension (Special Order)
29780711000001109,Amlodipine 5mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)
29781211000001108,Amlodipine 5mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)
29932511000001100,Amlodipine 5mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)
30216911000001104,Amlodipine 5mg/5ml oral solution sugar free (Thame Laboratories Ltd)
