SNOMEDCTCodes,Description
17316011000001102,Cimzia 200mg/1ml solution for injection pre-filled syringes (UCB Pharma Ltd)
17316111000001101,Cimzia 200mg/1ml solution for injection pre-filled syringes (UCB Pharma Ltd) 2 syringe
33511811000001109,Cimzia 200mg/1ml solution for injection pre-filled pens (UCB Pharma Ltd)
33511911000001104,Cimzia 200mg/1ml solution for injection pre-filled pens (UCB Pharma Ltd) 2 pre-filled disposable injection
37847011000001107,Cimzia 200mg/1ml solution for injection in a dose-dispenser cartridge (UCB Pharma Ltd)
37847111000001108,Cimzia 200mg/1ml solution for injection in a dose-dispenser cartridge (UCB Pharma Ltd) 2 cartridge
37854811000001107,Certolizumab pegol 200mg/1ml solution for injection cartridges
37846711000001106,Certolizumab pegol 200mg/1ml solution for injection cartridges 2 cartridge
17315811000001100,Certolizumab pegol 200mg/1ml solution for injection pre-filled syringes
17315911000001105,Certolizumab pegol 200mg/1ml solution for injection pre-filled syringes 2 syringe
33523711000001105,Certolizumab pegol 200mg/1ml solution for injection pre-filled disposable devices
33511711000001101,Certolizumab pegol 200mg/1ml solution for injection pre-filled disposable devices 2 pre-filled disposable injection
