V2Codes,Description
c8n1.,CETIRIZINE 10mg tablets
c8nM.,CETIRIZINE 10mg capsules
c8n..,CETIRIZINE DIHYDROCHLORIDE
c8n2.,ZIRTEK 10mg tablets
c8n3.,CETIRIZINE 1mg/1mL sugar free liquid
c8n4.,ZIRTEK 1mg/1mL sugar free liquid
c8n5.,*CETIROCOL 10mg tablets
c8n6.,PIRITEZE 10mg tablets
c8n8.,GALPHARM HAYFEVER AND ALLERGY RELIEF tablets
c8n9.,*ZIRTEK ALLERGY 10mg tablets
c8nA.,ZIRTEK ALLERGY RELIEF 10mg tablets
c8nB.,BENADRYL ONE A DAY 10mg tablets
c8nC.,CETIRIZINE 10MG ALLERGY RELIEF ONE A DAY tablets
c8nD.,CARE CETIRIZINE HAYFEVER RELIEF 10mg tablets
c8nE.,BENADRYL ALLERGY 1mg/mL sugar free oral solution
c8nF.,ZIRTEK ALLERGY 1mg/mL sugar free oral solution
c8nG.,NUMARK HAYFEVER AND ALLERGY RELIEF 10mg tablets
c8nH.,PIRITEZE ALLERGY SYRUP 1mg/1mL oral solution
c8nI.,GALPHARM ALLERGY RELIEF 1mg/1mL s/f oral solution
c8nJ.,VANTAGE PHARMACY HAYFEVER AND ALLERGY RELIEF 10mg tablets
c8nK.,POLLENSHIELD HAYFEVER RELIEF 10mg tablets
c8nL.,BENADRYL ALLERGY LIQUID RELEASE 10mg capsules
