ProdCodeId,Description
1556941000033118,zirtek sugar-free oral solution 5 mg/5 ml
1558341000033116,zirtek 10mg tablets (ucb pharma ltd)
230241000033118,cetirizine 1mg/ml oral solution sugar free
235541000033112,cetirizine 10mg tablets
2644141000033115,levocetirizine 5mg tablets
2644241000033110,xyzal 5mg tablets (ucb pharma ltd)
2752841000033112,cetirocol 10mg tablets (teva uk ltd)
2864141000033115,zirtek allergy 10mg tablets (ucb pharma ltd)
2905541000033116,zirtek allergy 1mg/ml oral solution (ucb pharma ltd)
2968441000033112,piriteze allergy 10mg tablets (glaxosmithkline consumer healthcare)
3077741000033112,piriteze allergy 1mg/ml syrup (glaxosmithkline consumer healthcare)
4187341000033114,levocetirizine 500micrograms/ml oral solution sugar free
4187441000033115,xyzal 0.5mg/ml oral solution (ucb pharma ltd)
8887241000033112,cetirizine 10mg capsules
