V2Codes,Description
c84..,CHLORPHENAMINE MALEATE
c841.,CHLORPHENAMINE MALEATE 4mg tablets
c842.,*ALUNEX 4mg tablets
c843.,PIRITON 4mg tablets
c844.,*PIRITON 12mg m/r tablets
c845.,PIRITON 2mg/5mL syrup
c846.,*PIRITON 10mg/1mL injection
c847.,POLLENASE ANTIHISTAMINE 4mg tablets
c848.,RHINO-SYRUP ALLERGY 2mg/5mL sugar free syrup
c849.,POLLENASE ALLERGY SYRUP 2mg/5mL sugar free syrup
c84A.,ALLERIEF 2mg/5mL sugar free oral solution
c84B.,VANTAGE ANTIHISTAMINE 4mg tablets
c84C.,HAYLEVE 4mg tablets
c84D.,ALLERGY RELIEF ANTIHISTAMINE 4mg tablets
c84E.,ALLERCALM 4mg tablets
c84v.,CHLORPHENAMINE MALEATE 2mg/5mL sugar free oral solution
c84w.,CHLORPHENAMINE MALEATE 2mg/5mL sugar free syrup
c84x.,CHLORPHENIRAMINE MALEATE 12mg m/r tablets
c84y.,CHLORPHENAMINE MALEATE 2mg/5mL syrup
c84z.,CHLORPHENAMINE MALEATE 10mg/1mL injection
