ProdCodeId,Description
1090541000033115,piriton 2mg/5ml syrup (glaxosmithkline consumer healthcare)
1091541000033114,piriton 4mg tablets (glaxosmithkline consumer healthcare)
12910041000033116,ephedrine hydrochloride 15mg / chlorphenamine 10mg tablets
2779741000033111,allerief 2mg/5ml oral solution (crescent pharma ltd)
3085841000033117,chlorphenamine 10mg/1ml solution for injection ampoules
3085941000033113,chlorphenamine 2mg/5ml oral solution
3086041000033115,chlorphenamine 2mg/5ml oral solution sugar free
3086141000033116,chlorphenamine 4mg tablets
3978241000033112,pseudoephedrine 30mg/5ml / chlorphenamine 2mg/5ml oral solution sugar free
4158641000033114,hayleve 4mg tablets (genesis pharmaceuticals ltd)
4593941000033111,allercalm allergy relief 4mg tablets (actavis uk ltd)
624141000033116,galpseud plus linctus (thornton & ross ltd)
663141000033113,haymine tablets (chemidex pharma ltd)
