SNOMEDCTCodes,Description
8411211000001102,Cyproheptadine 2mg/5ml oral solution (Special Order)
8411611000001100,Cyproheptadine 2mg/5ml oral solution (Special Order) 1 ml
8412211000001109,Cyproheptadine 2mg/5ml oral suspension (Special Order)
8412311000001101,Cyproheptadine 2mg/5ml oral suspension (Special Order) 1 ml
8411411000001103,Cyproheptadine 4mg/5ml oral solution (Special Order)
8411511000001104,Cyproheptadine 4mg/5ml oral solution (Special Order) 1 ml
18765411000001106,Cyproheptadine 4mg tablets (Special Order)
18765511000001105,Cyproheptadine 4mg tablets (Special Order) 1 tablet
8411811000001101,Cyproheptadine 4mg/5ml oral suspension (Special Order)
8411911000001106,Cyproheptadine 4mg/5ml oral suspension (Special Order) 1 ml
146411000001106,Periactin 4mg tablets (Teva UK Ltd)
2357911000001107,Periactin 4mg tablets (Teva UK Ltd) 30 tablet 3 x 10 tablets
8451511000001105,Cyproheptadine 2mg/5ml oral solution
8411111000001108,Cyproheptadine 2mg/5ml oral solution 1 ml
8451611000001109,Cyproheptadine 2mg/5ml oral suspension
8412011000001104,Cyproheptadine 2mg/5ml oral suspension 1 ml
8451711000001100,Cyproheptadine 4mg/5ml oral solution
8411311000001105,Cyproheptadine 4mg/5ml oral solution 1 ml
42187511000001104,Cyproheptadine 4mg tablets
320718000,Cyproheptadine 4mg tablets
18763811000001109,Cyproheptadine 4mg tablets 1 tablet
1316711000001103,Cyproheptadine 4mg tablets 30 tablet
8451811000001108,Cyproheptadine 4mg/5ml oral suspension
8411711000001109,Cyproheptadine 4mg/5ml oral suspension 1 ml
