SNOMEDCTCodes,Description
23967211000001108,Desloratadine 5mg tablets (DE Pharmaceuticals)
23967411000001107,Desloratadine 5mg tablets (DE Pharmaceuticals) 30 tablet
14224811000001108,Desloratadine 5mg tablets (Sigma Pharmaceuticals Plc)
14224911000001103,Desloratadine 5mg tablets (Sigma Pharmaceuticals Plc) 20 tablet
14225011000001103,Desloratadine 5mg tablets (Sigma Pharmaceuticals Plc) 30 tablet
10528211000001109,Desloratadine 5mg tablets (Waymade Healthcare Plc)
10528311000001101,Desloratadine 5mg tablets (Waymade Healthcare Plc) 20 tablet
15170611000001106,Desloratadine 5mg tablets (Waymade Healthcare Plc) 30 tablet
22048611000001104,Desloratadine 5mg tablets (Waymade Healthcare Plc)
22048711000001108,Desloratadine 5mg tablets (Waymade Healthcare Plc) 30 tablet
19625011000001100,Desloratadine 5mg tablets (Krka UK Ltd)
19625111000001104,Desloratadine 5mg tablets (Krka UK Ltd) 30 tablet 3 x 10 tablets
20175211000001108,Desloratadine 5mg tablets (Accord-UK Ltd)
20175311000001100,Desloratadine 5mg tablets (Accord-UK Ltd) 30 tablet 3 x 10 tablets
23653811000001108,Desloratadine 5mg tablets (Phoenix Healthcare Distribution Ltd)
23653911000001103,Desloratadine 5mg tablets (Phoenix Healthcare Distribution Ltd) 30 tablet
31257711000001104,Desloratadine 2.5mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)
31257811000001107,Desloratadine 2.5mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd) 150 ml
37236611000001105,Desloratadine 2.5mg/5ml oral solution sugar free (DE Pharmaceuticals)
37602511000001103,Desloratadine 2.5mg/5ml oral solution sugar free (DE Pharmaceuticals) 100 ml
37236711000001101,Desloratadine 2.5mg/5ml oral solution sugar free (DE Pharmaceuticals) 150 ml
27974811000001101,Desloratadine 5mg tablets (Lupin Healthcare (UK) Ltd)
27974911000001106,Desloratadine 5mg tablets (Lupin Healthcare (UK) Ltd) 30 tablet
16098011000001104,Neoclarityn 2.5mg/5ml oral solution (Organon Pharma (UK) Ltd)
16299411000001109,Neoclarityn 2.5mg/5ml oral solution (Organon Pharma (UK) Ltd) 100 ml
16098111000001103,Neoclarityn 2.5mg/5ml oral solution (Organon Pharma (UK) Ltd) 150 ml
16098211000001109,Neoclarityn 2.5mg/5ml oral solution (Organon Pharma (UK) Ltd) 225 ml
20343311000001109,Midetorin 2.5mg/5ml oral solution (Actavis UK Ltd)
20343411000001102,Midetorin 2.5mg/5ml oral solution (Actavis UK Ltd) 100 ml
282711000001107,Neoclarityn 2.5mg/5ml syrup (Schering-Plough Ltd)
2646911000001103,Neoclarityn 2.5mg/5ml syrup (Schering-Plough Ltd) 100 ml
69711000001105,Neoclarityn 5mg tablets (Organon Pharma (UK) Ltd)
2163211000001108,Neoclarityn 5mg tablets (Organon Pharma (UK) Ltd) 30 tablet 3 x 10 tablets
14338411000001105,Neoclarityn 2.5mg/5ml syrup (Sigma Pharmaceuticals Plc)
14338811000001107,Neoclarityn 2.5mg/5ml syrup (Sigma Pharmaceuticals Plc) 100 ml
22380411000001108,Midetorin 2.5mg/5ml oral solution (Arrow Generics Ltd)
22380511000001107,Midetorin 2.5mg/5ml oral solution (Arrow Generics Ltd) 100 ml
13936211000001101,Neoclarityn 5mg tablets (DE Pharmaceuticals)
13936311000001109,Neoclarityn 5mg tablets (DE Pharmaceuticals) 30 tablet
18203611000001102,Neoclarityn 5mg tablets (Mawdsley-Brooks & Company Ltd)
18203711000001106,Neoclarityn 5mg tablets (Mawdsley-Brooks & Company Ltd) 30 tablet
32065011000001107,Desloratadine 2.5mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)
32065211000001102,Desloratadine 2.5mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd) 150 ml
34019911000001100,Desloratadine 2.5mg/5ml oral solution sugar free (Crescent Pharma Ltd)
34020211000001108,Desloratadine 2.5mg/5ml oral solution sugar free (Crescent Pharma Ltd) 150 ml
33581811000001107,Desloratadine 5mg tablets (Viatris UK Healthcare Ltd)
33581911000001102,Desloratadine 5mg tablets (Viatris UK Healthcare Ltd) 30 tablet
38865611000001109,Desloratadine 5mg tablets (Medihealth (Northern) Ltd)
38866011000001106,Desloratadine 5mg tablets (Medihealth (Northern) Ltd) 30 tablet
13157911000001107,Desloratadine 5mg tablets (Dowelhurst Ltd)
13158011000001109,Desloratadine 5mg tablets (Dowelhurst Ltd) 30 tablet
40836411000001107,Desloratadine 5mg tablets (Bristol Laboratories Ltd)
40836511000001106,Desloratadine 5mg tablets (Bristol Laboratories Ltd) 30 tablet 3 x 10 tablets
20569111000001101,Desloratadine 5mg tablets (Arrow Generics Ltd)
20569211000001107,Desloratadine 5mg tablets (Arrow Generics Ltd) 30 tablet 2 x 15 tablets
19794311000001104,Desloratadine 5mg tablets (Alliance Healthcare (Distribution) Ltd)
19794411000001106,Desloratadine 5mg tablets (Alliance Healthcare (Distribution) Ltd) 30 tablet 3 x 10 tablets
19668711000001102,Desloratadine 5mg tablets (A A H Pharmaceuticals Ltd)
20964311000001105,Desloratadine 5mg tablets (A A H Pharmaceuticals Ltd) 28 tablet
19668811000001105,Desloratadine 5mg tablets (A A H Pharmaceuticals Ltd) 30 tablet
22392211000001109,Desloratadine 2.5mg/5ml oral solution sugar free (Waymade Healthcare Plc)
22392311000001101,Desloratadine 2.5mg/5ml oral solution sugar free (Waymade Healthcare Plc) 100 ml
31990211000001100,Desloratadine 2.5mg/5ml oral solution sugar free (Ennogen Healthcare Ltd)
31990311000001108,Desloratadine 2.5mg/5ml oral solution sugar free (Ennogen Healthcare Ltd) 100 ml
32895711000001107,Desloratadine 2.5mg/5ml oral solution sugar free (Actavis UK Ltd)
32896211000001106,Desloratadine 2.5mg/5ml oral solution sugar free (Actavis UK Ltd) 100 ml
32897011000001103,Desloratadine 2.5mg/5ml oral solution sugar free (Actavis UK Ltd) 150 ml
35689611000001108,Desloratadine 2.5mg/5ml oral solution sugar free (Accord-UK Ltd)
35689711000001104,Desloratadine 2.5mg/5ml oral solution sugar free (Accord-UK Ltd) 100 ml
14225111000001102,Desloratadine 2.5mg/5ml oral solution (Sigma Pharmaceuticals Plc)
14225211000001108,Desloratadine 2.5mg/5ml oral solution (Sigma Pharmaceuticals Plc) 120 ml
10497811000001105,Desloratadine 2.5mg/5ml oral solution (Dowelhurst Ltd)
10498011000001103,Desloratadine 2.5mg/5ml oral solution (Dowelhurst Ltd) 100 ml
29801711000001102,Desloratadine 5mg tablets (Sigma Pharmaceuticals Plc)
29801911000001100,Desloratadine 5mg tablets (Sigma Pharmaceuticals Plc) 30 tablet
16255111000001108,Desloratadine 5mg tablets (Mawdsley-Brooks & Company Ltd)
16255211000001102,Desloratadine 5mg tablets (Mawdsley-Brooks & Company Ltd) 30 tablet
13863411000001105,Desloratadine 5mg tablets (DE Pharmaceuticals)
13863511000001109,Desloratadine 5mg tablets (DE Pharmaceuticals) 30 tablet
34107211000001107,Desloratadine 5mg tablets (Crescent Pharma Ltd)
34107311000001104,Desloratadine 5mg tablets (Crescent Pharma Ltd) 30 tablet 3 x 10 tablets
20468711000001103,Desloratadine 5mg tablets (Aspire Pharma Ltd)
20468811000001106,Desloratadine 5mg tablets (Aspire Pharma Ltd) 30 tablet 3 x 10 tablets
20499711000001109,Desloratadine 2.5mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)
20499811000001101,Desloratadine 2.5mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) 100 ml
32682811000001104,Desloratadine 2.5mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) 150 ml
10843711000001107,Desloratadine 2.5mg/5ml oral solution (Waymade Healthcare Plc)
