SNOMEDCTCodes,Description
30927211000001100,Diphenhydramine 25mg tablets (DE Pharmaceuticals)
30927311000001108,Diphenhydramine 25mg tablets (DE Pharmaceuticals) 20 tablet
31991011000001101,Diphenhydramine 50mg tablets (Ennogen Healthcare Ltd)
31991111000001100,Diphenhydramine 50mg tablets (Ennogen Healthcare Ltd) 20 tablet
39838911000001102,Diphenhydramine 50mg tablets (Flamingo Pharma (UK) Ltd)
39839011000001106,Diphenhydramine 50mg tablets (Flamingo Pharma (UK) Ltd) 20 tablet
29002711000001105,Diphenhydramine 25mg tablets (Crescent Pharma Ltd)
29002811000001102,Diphenhydramine 25mg tablets (Crescent Pharma Ltd) 20 tablet 2 x 10 tablets
29000511000001101,Diphenhydramine 50mg tablets (Colorama Pharmaceuticals Ltd)
29000611000001102,Diphenhydramine 50mg tablets (Colorama Pharmaceuticals Ltd) 20 tablet
29002911000001107,Diphenhydramine 50mg tablets (Crescent Pharma Ltd)
29003011000001104,Diphenhydramine 50mg tablets (Crescent Pharma Ltd) 20 tablet 2 x 10 tablets
30927411000001101,Diphenhydramine 50mg tablets (DE Pharmaceuticals)
30927511000001102,Diphenhydramine 50mg tablets (DE Pharmaceuticals) 20 tablet
31990511000001102,Diphenhydramine 25mg tablets (Ennogen Healthcare Ltd)
31990611000001103,Diphenhydramine 25mg tablets (Ennogen Healthcare Ltd) 20 tablet
27689311000001103,Diphenhydramine 10mg/5ml oral solution (Special Order)
27689611000001108,Diphenhydramine 10mg/5ml oral solution (Special Order) 1 ml
29000311000001107,Diphenhydramine 25mg tablets (Colorama Pharmaceuticals Ltd)
29000411000001100,Diphenhydramine 25mg tablets (Colorama Pharmaceuticals Ltd) 20 tablet
39838711000001104,Diphenhydramine 25mg tablets (Flamingo Pharma (UK) Ltd)
39838811000001107,Diphenhydramine 25mg tablets (Flamingo Pharma (UK) Ltd) 20 tablet
38873311000001105,Diphenhydramine 25mg tablets (Medihealth (Northern) Ltd)
38873511000001104,Diphenhydramine 25mg tablets (Medihealth (Northern) Ltd) 20 tablet
38873611000001100,Diphenhydramine 50mg tablets (Medihealth (Northern) Ltd)
38873711000001109,Diphenhydramine 50mg tablets (Medihealth (Northern) Ltd) 20 tablet
