CTV3Codes,Description
m25T.,HYDROMOL BATH & SHOWER EMOLLIENT bath additive 50mL
m25R.,ZEROLATUM EMOLLIENT MEDICINAL bath oil 500mL
m25Q.,DOUBLEBASE EMOLLIENT bath additive 500mL
m25a.,Hydromol Emollient bath additive 150mL
m21S.,Cetraben Emollient bath additive 500mL
m25M.,Hydromol Emollient bath additive 500mL
m25b.,Hydromol Emollient bath additive 350mL
m291.,LPL 63.4 emollient bath additive 500mL
m258.,Oilatum Emollient bath additive 150mL
m21h.,Emulsiderm emollient emulsion 1 litre
m25k.,Oilatum Emollient bath additive 500mL
m259.,Oilatum Emollient bath additive 350mL
m25j.,Oilatum Emollient bath additive 250mL
m25N.,DOUBLEBASE EMOLLIENT shower gel 200g
m21x.,Emulsiderm emollient emulsion 300mL
m275.,Oilatum Plus bath emollient 1 litre
m28z.,ALHYDRAN cream 250mL
m28y.,ALHYDRAN cream 100mL
m28x.,ALHYDRAN cream 30mL
m28w.,CETRABEN lotion 500mL
m28v.,CETRABEN lotion 200mL
m28u.,DIPROBASE lotion 300mL
m28t.,DIPROBASE lotion 50mL
m28s.,AVEENO lotion 500mL
m28r.,AQUAMAX wash 250g
m28q.,AQUAMAX wash 30g
m28p.,AQUAMAX cream 500g
m28o.,AQUAMAX cream 100g
m28n.,AQUAMAX cream 30g
m28m.,DEXERYL cream 500g
m28l.,ARIPRO mousse 250mL
m28k.,DOUBLEBASE DAYLEVE gel 100g
m28j.,DOUBLEBASE DAYLEVE gel 500g
m28i.,AQUAMOL cream 500g pump
m28h.,AQUAMOL cream 50g
m28g.,EVOLVE PLUS spray 150mL
m28f.,CARE VIRASOOTHE COOLING gel 75g
m28e.,CARE VIRASOOTHE COOLING gel 50g
m28d.,AKNICARE cream 50mL
m28c.,EMOLLIN aerosol 150mL
m28b.,EPADERM cream 500g
m28a.,EPADERM cream 50g
m289.,AVEENO cream 300mL
m288.,DOUBLEBASE EMOLLIENT gel 200g
m287.,DEXERYL cream 250g
m286.,EPADERM ointment 1kg
m285.,ATOPICLAIR lotion 120mL
m28..,EMOLLIENTS/BARRIER CREAMS:A-E (1)
m25E.,Oilatum gel shower emollient 150g
m25h.,Oilatum gel shower emollient 125g
m274.,Oilatum Plus bath emollient 500mL
m273.,Dermol 200 shower emollient 200mL
m22n.,Hydromol bath Emollient 1 litre
x00D0,Hydromol emollient bath additive
