SNOMEDCTCodes,Description
424511000001102,Emulsiderm emollient - Dermal Laboratories Ltd
2258011000001104,Emulsiderm emollient 300 ml - Dermal Laboratories Ltd
2258111000001103,Emulsiderm emollient 1000 ml - Dermal Laboratories Ltd
25035311000001104,imuDERM emollient - CliniSupplies Ltd
25035411000001106,imuDERM emollient 500 gram - CliniSupplies Ltd
34892911000001108,Clinisan emollient skin cleansing foam - Vernacare Ltd
34893011000001100,Clinisan emollient skin cleansing foam 200 ml - Vernacare Ltd
34893111000001104,Clinisan emollient skin cleansing foam 400 ml - Vernacare Ltd
4275411000001109,E45 emollient shower cream - Reckitt Benckiser Healthcare (UK) Ltd
18784311000001100,ZeroAQS emollient cream - Thornton & Ross Ltd
18784411000001107,ZeroAQS emollient cream 100 gram - Thornton & Ross Ltd
18784511000001106,ZeroAQS emollient cream 500 gram - Thornton & Ross Ltd
3646411000001101,Polytar Emollient - GlaxoSmithKline Consumer Healthcare UK Ltd
3646511000001102,Polytar Emollient 500 ml - GlaxoSmithKline Consumer Healthcare UK Ltd
8012311000001108,Chymol emollient balm ointment - Herbal Concepts Ltd
8012411000001101,Chymol emollient balm ointment 40 gram - Herbal Concepts Ltd
420611000001105,Dermol 200 shower emollient - Dermal Laboratories Ltd
2257711000001103,Dermol 200 shower emollient 200 ml - Dermal Laboratories Ltd
862311000001102,E45 emollient bath oil - Forum Health Products Ltd
2645511000001103,E45 emollient bath oil 250 ml - Forum Health Products Ltd
2645611000001104,E45 emollient bath oil 500 ml - Forum Health Products Ltd
919911000001102,Dermol 600 bath emollient - Dermal Laboratories Ltd
2257411000001109,Dermol 600 bath emollient 600 ml - Dermal Laboratories Ltd
696111000001108,E45 emollient wash cream - Forum Health Products Ltd
1814911000001106,E45 emollient wash cream 250 ml - Forum Health Products Ltd
8093111000001104,Cetraben emollient 82.8% bath additive - Genus Pharmaceuticals Ltd
8093211000001105,Cetraben emollient 82.8% bath additive 500 ml - Genus Pharmaceuticals Ltd
20945011000001101,Clinisan emollient wash cream - Vernacare Ltd
20945111000001100,Clinisan emollient wash cream 500 ml - Vernacare Ltd
19172611000001103,Dermol Wash cutaneous emulsion - Dermal Laboratories Ltd
19172711000001107,Dermol Wash cutaneous emulsion 200 ml - Dermal Laboratories Ltd
3774111000001107,Ashbourne Emollient Medicinal bath oil - Ashbourne Pharmaceuticals Ltd
3774211000001101,Ashbourne Emollient Medicinal bath oil 250 ml - Ashbourne Pharmaceuticals Ltd
3774311000001109,Ashbourne Emollient Medicinal bath oil 500 ml - Ashbourne Pharmaceuticals Ltd
3004211000001107,Hydromol Bath & Shower emollient - Alliance Pharmaceuticals Ltd
3004511000001105,Hydromol Bath & Shower emollient 150 ml - Alliance Pharmaceuticals Ltd
3004611000001109,Hydromol Bath & Shower emollient 350 ml - Alliance Pharmaceuticals Ltd
9529611000001104,Hydromol Bath & Shower emollient 500 ml - Alliance Pharmaceuticals Ltd
3004711000001100,Hydromol Bath & Shower emollient 1000 ml - Alliance Pharmaceuticals Ltd
14694211000001101,Zerolatum Emollient bath additive - Thornton & Ross Ltd
14694311000001109,Zerolatum Emollient bath additive 500 ml - Thornton & Ross Ltd
15441611000001101,Doublebase emollient wash gel - Dermal Laboratories Ltd
15441711000001105,Doublebase emollient wash gel 200 gram - Dermal Laboratories Ltd
15620411000001108,Cetraben emollient cream - Waymade Healthcare Plc
15620511000001107,Cetraben emollient cream 500 gram - Waymade Healthcare Plc
3979411000001108,Dermalo bath emollient - Dermal Laboratories Ltd
3979811000001105,Dermalo bath emollient 500 ml - Dermal Laboratories Ltd
159411000001102,Oilatum Emollient - Thornton & Ross Ltd
2266911000001107,Oilatum Emollient 250 ml - Thornton & Ross Ltd
2267011000001106,Oilatum Emollient 500 ml - Thornton & Ross Ltd
15441211000001103,Oilatum Emollient 600 ml - Thornton & Ross Ltd
22659911000001108,LPL 63.4 bath additive and emollient - Huxley Europe Ltd
22660011000001105,LPL 63.4 bath additive and emollient 500 ml - Huxley Europe Ltd
37934111000001105,MyriBase emollient shower gel - Galen Ltd
37934211000001104,MyriBase emollient shower gel 200 ml - Galen Ltd
32476311000001104,"Bell's Emollient 50 ointment - Bell,Sons & Co (Druggists) Ltd"
32476411000001106,"Bell's Emollient 50 ointment 250 gram - Bell,Sons & Co (Druggists) Ltd"
32476511000001105,"Bell's Emollient 50 ointment 500 gram - Bell,Sons & Co (Druggists) Ltd"
13141811000001107,Doublebase emollient bath additive - Dermal Laboratories Ltd
13141911000001102,Doublebase emollient bath additive 500 ml - Dermal Laboratories Ltd
11497611000001104,Doublebase emollient shower gel - Dermal Laboratories Ltd
5016379193002,Doublebase emollient shower gel 200 gram - Dermal Laboratories Ltd
3045411000001103,Diprobath bath emollient - Organon Pharma (UK) Ltd
3045611000001100,Diprobath bath emollient 500 ml - Organon Pharma (UK) Ltd
35278211000001107,A-Derma Exomega emollient cream - Pierre Fabre Dermo-Cosmetique
35278311000001104,A-Derma Exomega emollient cream 200 ml - Pierre Fabre Dermo-Cosmetique
35278411000001106,A-Derma Exomega emollient cream 400 ml - Pierre Fabre Dermo-Cosmetique
11349511000001108,SensiCare emollient cream - ConvaTec Ltd
11349611000001107,SensiCare emollient cream 85 gram - ConvaTec Ltd
28390111000001105,AproDerm emollient cream - Fontus Health Ltd
28390211000001104,AproDerm emollient cream 45 gram - Fontus Health Ltd
33780611000001102,AproDerm emollient cream 50 gram - Fontus Health Ltd
28390311000001107,AproDerm emollient cream 450 gram - Fontus Health Ltd
33780811000001103,AproDerm emollient cream 500 gram - Fontus Health Ltd
4277611000001100,Allergenics emollient cream - Optima Consumer Health Ltd
4277711000001109,Allergenics emollient cream 50 ml - Optima Consumer Health Ltd
4277811000001101,Allergenics emollient cream 100 ml - Optima Consumer Health Ltd
17084211000001100,Evolve Plus emollient spray - Intelligent Therapeutics Ltd
17084311000001108,Evolve Plus emollient spray 150 ml - Intelligent Therapeutics Ltd
3465711000001106,Generic Emulsiderm emollient
1179811000001103,Generic Emulsiderm emollient 300 ml
1288211000001103,Generic Emulsiderm emollient 1000 ml
25035111000001101,Generic imuDERM emollient
25035211000001107,Generic imuDERM emollient 500 gram
4282411000001108,Generic E45 emollient shower cream
4275311000001102,Generic E45 emollient shower cream 200 ml
34908011000001103,Generic Clinisan emollient skin cleansing foam
34892711000001106,Generic Clinisan emollient skin cleansing foam 200 ml
34892811000001103,Generic Clinisan emollient skin cleansing foam 400 ml
18852611000001109,Generic ZeroAQS emollient cream
18784111000001102,Generic ZeroAQS emollient cream 100 gram
18784211000001108,Generic ZeroAQS emollient cream 500 gram
8010911000001105,Generic Chymol emollient balm ointment
8012211000001100,Generic Chymol emollient balm ointment 40 gram
3655111000001102,Generic Polytar Emollient
3646311000001108,Generic Polytar Emollient 500 ml
3395311000001103,Generic Dermol 200 shower emollient
1133311000001107,Generic Dermol 200 shower emollient 200 ml
3422311000001105,Generic E45 emollient bath oil
1277611000001109,Generic E45 emollient bath oil 250 ml
1057511000001100,Generic E45 emollient bath oil 500 ml
3395511000001109,Generic Dermol 600 bath emollient
1025911000001103,Generic Dermol 600 bath emollient 600 ml
3422511000001104,Generic E45 emollient wash cream
1230311000001103,Generic E45 emollient wash cream 250 ml
4282311000001101,Generic Allergenics emollient cream
4277311000001105,Generic Allergenics emollient cream 50 ml
4277411000001103,Generic Allergenics emollient cream 100 ml
17174511000001102,Generic Evolve Plus emollient spray
17083811000001102,Generic Evolve Plus emollient spray 150 ml
28389811000001106,Generic AproDerm emollient cream
28389911000001101,Generic AproDerm emollient cream 45 gram
33780411000001100,Generic AproDerm emollient cream 50 gram
28390011000001109,Generic AproDerm emollient cream 450 gram
33780511000001101,Generic AproDerm emollient cream 500 gram
35299111000001104,Generic A-Derma Exomega emollient cream
35278011000001102,Generic A-Derma Exomega emollient cream 200 ml
35278111000001101,Generic A-Derma Exomega emollient cream 400 ml
11359311000001104,Generic SensiCare emollient cream
11349411000001109,Generic SensiCare emollient cream 85 gram
3486011000001103,Liquid paraffin light 46% / Isopropyl myristate 39% bath emollient
3045211000001102,Liquid paraffin light 46% / Isopropyl myristate 39% bath emollient 500 ml
13174211000001107,Liquid paraffin 65% bath additive
13141711000001104,Liquid paraffin 65% bath additive 500 ml
331384006,White soft paraffin 50% / Liquid paraffin 50% ointment
2914611000001105,White soft paraffin 50% / Liquid paraffin 50% ointment 250 gram
2914811000001109,White soft paraffin 50% / Liquid paraffin 50% ointment 500 gram
3655311000001100,Isopropyl myristate 15% / Liquid paraffin 15% gel
3640811000001101,Isopropyl myristate 15% / Liquid paraffin 15% gel 100 gram
37933811000001101,Isopropyl myristate 15% / Liquid paraffin 15% gel 200 ml
11497511000001103,Isopropyl myristate 15% / Liquid paraffin 15% gel 200 gram
23463711000001108,Isopropyl myristate 15% / Liquid paraffin 15% gel 475 gram
36506611000001107,Isopropyl myristate 15% / Liquid paraffin 15% gel 500 ml
3640911000001106,Isopropyl myristate 15% / Liquid paraffin 15% gel 500 gram
35100211000001104,Isopropyl myristate 15% / Liquid paraffin 15% gel 1000 gram
3486111000001102,Liquid paraffin light 63.4% bath additive
1241511000001103,Liquid paraffin light 63.4% bath additive 150 ml
1050511000001104,Liquid paraffin light 63.4% bath additive 250 ml
1210011000001108,Liquid paraffin light 63.4% bath additive 300 ml
1212711000001109,Liquid paraffin light 63.4% bath additive 500 ml
15441111000001109,Liquid paraffin light 63.4% bath additive 600 ml
9181111000001109,Liquid paraffin light 63.4% bath additive 1000 ml
3776411000001105,Liquid paraffin 65% / Acetylated wool alcohols 5% bath oil
3773811000001103,Liquid paraffin 65% / Acetylated wool alcohols 5% bath oil 250 ml
3773911000001108,Liquid paraffin 65% / Acetylated wool alcohols 5% bath oil 500 ml
3485911000001106,Liquid paraffin light 37.8% / Isopropyl myristate 13% bath additive
3002911000001107,Liquid paraffin light 37.8% / Isopropyl myristate 13% bath additive 150 ml
3003011000001104,Liquid paraffin light 37.8% / Isopropyl myristate 13% bath additive 350 ml
9529511000001103,Liquid paraffin light 37.8% / Isopropyl myristate 13% bath additive 500 ml
3003111000001103,Liquid paraffin light 37.8% / Isopropyl myristate 13% bath additive 1000 ml
3376211000001105,White soft paraffin 13.2% / Liquid paraffin light 10.5% cream
2961511000001105,White soft paraffin 13.2% / Liquid paraffin light 10.5% cream 50 gram
34916511000001107,White soft paraffin 13.2% / Liquid paraffin light 10.5% cream 100 gram
2961711000001100,White soft paraffin 13.2% / Liquid paraffin light 10.5% cream 125 gram
12883211000001102,White soft paraffin 13.2% / Liquid paraffin light 10.5% cream 150 gram
2960511000001103,White soft paraffin 13.2% / Liquid paraffin light 10.5% cream 500 gram
13432011000001109,White soft paraffin 13.2% / Liquid paraffin light 10.5% cream 1050 gram
7566411000001109,Toiletries cream
8339811000001102,Toiletries cream 5.9 gram
18667511000001105,Toiletries cream 12 gram
8402611000001109,Toiletries cream 14 gram
10329611000001100,Toiletries cream 25 ml
13580011000001107,Toiletries cream 30 ml
8421411000001107,Toiletries cream 30 gram
14753011000001108,Toiletries cream 40 ml
7560211000001108,Toiletries cream 50 ml
7548111000001108,Toiletries cream 50 gram
8421611000001105,Toiletries cream 56 gram
10662411000001105,Toiletries cream 60 gram
9890611000001100,Toiletries cream 75 ml
11764511000001104,Toiletries cream 75 gram
7551511000001106,Toiletries cream 100 ml
7548211000001102,Toiletries cream 100 gram
8518611000001104,Toiletries cream 106 gram
13580211000001102,Toiletries cream 114 ml
7558911000001108,Toiletries cream 125 gram
8790311000001105,Toiletries cream 200 ml
20135711000001103,Toiletries cream 250 ml
7557511000001100,Toiletries cream 250 gram
18656011000001105,Toiletries cream 300 ml
29012711000001108,Toiletries cream 400 ml
14930811000001100,Toiletries cream 500 ml
21712711000001104,Toiletries cream 600 ml
8098511000001104,Liquid paraffin light 82.8% bath additive
8093011000001100,Liquid paraffin light 82.8% bath additive 500 ml
