V2Codes,Description
m1...,VEHICLES AND DILUENTS
m11..,VEHICLES + DILUENTS : CREAMS
m111.,AQUEOUS cream
m112.,*BUFFERED cream
m113.,CETOMACROGOL FORMULA A cream
m114.,CETOMACROGOL FORMULA B cream
m115.,DIPROBASE cream 50g
m116.,LIPOBASE cream 50g
m117.,*LOCOBASE cream 100g
m118.,ULTRABASE cream 50g
m119.,*ULTRABASE cream 500g
m11a.,DIPROBASE dispenser cream 500g
m11b.,ULTRABASE cream 500g pump dispenser
m12..,VEHICLES+DILUENTS : OINTMENTS
m121.,CETOMACROGOL EMULSIFYING ointment
m122.,EMULSIFYING ointment
m123.,HYDROUS ointment
m124.,HYDROUS WOOL FAT
m125.,*HYDROUS WOOL FAT ointment
m126.,MACROGOL ointment
m127.,PARAFFIN WHITE SOFT jelly
m128.,PARAFFIN SOFT YELLOW jelly
m129.,PARAFFIN ointment
m12a.,SIMPLE ointment
m12b.,WOOL-ALCOHOLS ointment
m12c.,DIPROBASE ointment 50g
m12d.,*LOCOBASE ointment 100g
m12e.,UNGUENTUM cream 50g
m12f.,UNGUENTUM cream 100g
m12g.,UNGUENTUM cream 500g
m12h.,*UNGUENTUM MERCK cream 900g
m12i.,UNGUENTUM dispenser 200mL
m12j.,*WOOL FAT HYDROUS ointment
m12k.,LIQUID PARAFFIN+WHITE SOFT PARAFFIN 50%/50% ointment
m12l.,THE 50:50 ointment 500g
m12m.,DIPROBASE ointment 500g
m13..,VEHICLES + DILUENTS : LOTIONS - [no drugs here]
m14..,VEHICLES+DILUENTS:SHAKE LOTION - [no drugs here]
m15..,VEHICLES + DILUENTS : PASTES
m151.,ZINC-COMPOUND paste
m16..,VEHICLES+DILUENTS:APPLICATIONS - [no drugs here]
m17..,VEHICLES+DILUENTS:COLLODIONS
m171.,COLLODION FLEXIBLE
m18..,VEHICLES + DILUENTS: LINIMENTS - [no drugs here]
m19..,VEHICLES + DILUENTS : PAINTS - [no drugs here]
m2...,EMOLLIENTS + BARRIER PREPARATIONS
m21..,EMOLLIENTS/BARRIER CREAMS: A-E
