ProdCodeId,Description
1003041000033119,oilatum emollient (thornton & ross ltd)
10042341000033112,aproderm emollient cream (fontus health ltd)
100541000033113,e45 emollient bath oil (forum health products ltd)
1101741000033110,polytar emollient (glaxosmithkline consumer healthcare)
1207841000033113,savlon bath emollient
13333541000033110,myribase emollient shower gel (galen ltd)
1531141000033111,e45 emollient wash cream (forum health products ltd)
1601241000033115,dermol 200 shower emollient (dermal laboratories ltd)
1626441000033119,liquid paraffin light 63.4% bath additive
1626941000033112,liquid paraffin emollient (fragrance free) 63.4 %
1661041000033110,oilatum emollient (fragrance free) 63.4 %
1843441000033117,dermol 600 bath emollient (dermal laboratories ltd)
2160241000033111,dermalo bath emollient (dermal laboratories ltd)
2183841000033118,ashbourne emollient medicinal bath oil 250 ml
2183941000033114,ashbourne emollient medicinal bath oil 500 ml
2185741000033110,white soft paraffin 50% / liquid paraffin 50% ointment
2216341000033117,liquid paraffin emollient 63.4 %
2711141000033115,cetraben emollient cream (pump dispenser)
2750641000033112,cetraben emollient cream
2757841000033114,allergenics emollient cream (optima consumer health ltd)
2759341000033113,e45 emollient shower cream (reckitt benckiser healthcare (uk) ltd)
2990441000033113,liquid paraffin light 82.8% bath additive
2990541000033114,cetraben emollient 82.8% bath additive (genus pharmaceuticals ltd)
3232241000033112,white soft paraffin 13.2% / liquid paraffin light 10.5% cream
3232641000033110,liquid paraffin 65% / acetylated wool alcohols 5% bath oil
3232741000033118,liquid paraffin light 46% / isopropyl myristate 39% bath emollient
3232841000033111,isopropyl myristate 15% / liquid paraffin 15% gel
3257141000033115,liquid paraffin light 37.8% / isopropyl myristate 13% bath additive
4128341000033119,sensicare emollient cream (convatec ltd)
4149741000033112,liquid paraffin and isopropyl myristate emollient shower gel 15 % + 15 %
4150041000033118,doublebase emollient shower gel (dermal laboratories ltd)
4215441000033111,emollin emollient spray 240 ml
4431341000033110,liquid paraffin 65% bath additive
4431441000033116,doublebase emollient bath additive (dermal laboratories ltd)
443841000033113,diprobath bath emollient (merck sharp & dohme ltd)
4936241000033113,zerolatum emollient bath additive (thornton & ross ltd)
5077541000033114,doublebase emollient wash gel (dermal laboratories ltd)
513441000033110,emulsiderm emollient (dermal laboratories ltd)
5598941000033113,evolve plus emollient spray (intelligent therapeutics ltd)
6172041000033112,zeroaqs emollient cream (thornton & ross ltd)
6184541000033119,dermol wash cutaneous emulsion (dermal laboratories ltd)
740141000033116,hydromol bath & shower emollient (alliance pharmaceuticals ltd)
756241000033111,infaderm bath emollient
8027341000033111,clinisan emollient wash cream (vernacare ltd)
83341000033118,ashbourne emollient medicinal bath oil (ashbourne pharmaceuticals ltd)
8539641000033111,lpl 63.4 bath additive and emollient (huxley europe ltd)
9354741000033118,imuderm emollient (clinisupplies ltd)
