CTV3Codes,Description
dnb..,Sodium valproate
x01Bj,Oral sodium valproate
dnbv.,Sodium valproate 100mg crushable tablet
dnb1.,Epilim 100mg crushable tablet
dnbJ.,SODIUM VALPROATE 150mg m/r capsules
dnbF.,EPISENTA 150mg m/r capsules
dnb7.,Sodium valproate 200mg e/c tablet
dnb2.,Epilim 200mg e/c tablet
dnba.,Orlept 200mg e/c tablet
dnb9.,Orlept starter Pack 200mg e/c tablets x10
dnbw.,Sodium valproate 200mg crushable tablets
dnb8.,Sodium valproate 500mg e/c tablet
dnb3.,Epilim 500mg e/c tablet
dnbb.,Orlept 500mg e/c tablet
dnbx.,Sodium valproate 500mg tablets
dnbr.,Sodium valproate 200mg m/r tablet
dnbc.,Epilim Chrono 200 m/r tablet
dnbK.,SODIUM VALPROATE 300mg m/r capsules
dnbG.,EPISENTA 300mg m/r capsules
dnbs.,Sodium valproate 300mg m/r tablet
dnbd.,Epilim Chrono 300 m/r tablet
dnbB.,Epival CR 300mg m/r tablet
dnbt.,Sodium valproate 500mg m/r tablet
dnbe.,Epilim Chrono 500 m/r tablet
dnbC.,Epival CR 500mg m/r tablet
dnby.,Sodium valproate 200mg/5mL s/f oral liquid
dnb4.,Epilim 200mg/5mL s/f liquid
dnbA.,Orlept 200mg/5mL s/f liquid
dnbz.,Sodium valproate 200mg/5mL syrup
dnb5.,Epilim 200mg/5mL syrup
dnbL.,SODIUM VALPROATE 500mg/sachet m/r granules
dnbH.,EPISENTA 500mg/sachet m/r granules
dnbM.,SODIUM VALPROATE 1g/sachet m/r granules
dnbI.,EPISENTA 1g/sachet m/r granules
x01Bk,Parenteral sodium valproate
dnbE.,SODIUM VALPROATE 300mg/3mL solution for injection
dnbD.,EPICENTA 300mg/3mL solution for injection
dnbu.,Sodium valproate 400mg injection+diluent
dnb6.,Epilim Intravenous 400mg injection+diluent
dnbN.,SODIUM VALPROATE 1g/10mL solution for injection
dnbO.,EPISENTA 1g/10mL solution for injection
dnbP.,EPILIM CHRONOSPHERE 50mg/sachet m/r granules
dnbQ.,EPILIM CHRONOSPHERE 100mg/sachet m/r granules
dnbR.,EPILIM CHRONOSPHERE 250mg/sachet m/r granules
dnbS.,EPILIM CHRONOSPHERE 500mg/sachet m/r granules
dnbT.,EPILIM CHRONOSPHERE 750mg/sachet m/r granules
dnbU.,EPILIM CHRONOSPHERE 1g/sachet m/r granules
dnbn.,SODIUM VALPROATE 50mg/sachet m/r granules
dnbo.,SODIUM VALPROATE 100mg/sachet m/r granules
dnbp.,SODIUM VALPROATE 250mg/sachet m/r granules
dnbq.,SODIUM VALPROATE 750mg/sachet m/r granules
dnf..,Lamotrigine
dnf5.,Lamotrigine 25mg tablet
dnf6.,Lamictal 25mg tablet
dnfF.,Lamictal Monotherapy 25mg starter pack
dnfG.,Lamictal Valproate Add-On 25mg starter pack
dnf1.,Lamotrigine 50mg tablet
dnf3.,Lamictal 50mg tablet
dnfH.,Lamictal Non-Valproate Add-On 50mg starter pack
dnf2.,Lamotrigine 100mg tablet
dnf4.,Lamictal 100mg tablet
dnfE.,Lamotrigine 200mg tablet
dnfD.,Lamictal 200mg tablet
dnfz.,Lamotrigine 2mg dispersible tablet
dnfJ.,Lamictal 2mg dispersible tablet
dnfA.,Lamotrigine 5mg dispersible tablet
dnf7.,Lamictal 5mg dispersible tablet
dnfB.,Lamotrigine 25mg dispersible tablet
dnf8.,Lamictal 25mg dispersible tablet
dnfC.,Lamotrigine 100mg dispersible tablet
