V2Codes,Description
dnb..,SODIUM VALPROATE
dnb1.,EPILIM 100mg crushable tablets
dnb2.,EPILIM 200mg e/c tablets
dnb3.,EPILIM 500mg e/c tablets
dnb4.,EPILIM 200mg/5mL sugar free liquid
dnb5.,EPILIM 200mg/5mL syrup
dnb6.,EPILIM IV 400mg/4mL injection
dnb7.,SODIUM VALPROATE 200mg e/c tablets
dnb8.,SODIUM VALPROATE 500mg e/c tablets
dnb9.,ORLEPT STARTER PACK 200mg e/c tablets x10
dnbA.,ORLEPT 200mg/5mL sugar free liquid
dnbB.,EPIVAL CR 300mg m/r tablets
dnbC.,EPIVAL CR 500mg m/r tablets
dnbD.,EPISENTA 300mg/3mL solution for injection
dnbE.,SODIUM VALPROATE 300mg/3mL solution for injection
dnbF.,EPISENTA 150mg m/r capsules
dnbG.,EPISENTA 300mg m/r capsules
dnbH.,EPISENTA 500mg/sachet m/r granules
dnbI.,EPISENTA 1g/sachet m/r granules
dnbJ.,SODIUM VALPROATE 150mg m/r capsules
dnbK.,SODIUM VALPROATE 300mg m/r capsules
dnbL.,SODIUM VALPROATE 500mg/sachet m/r granules
dnbM.,SODIUM VALPROATE 1g/sachet m/r granules
dnbN.,SODIUM VALPROATE 1g/10mL solution for injection
dnbO.,EPISENTA 1g/10mL solution for injection
dnbP.,EPILIM CHRONOSPHERE 50mg/sachet m/r granules
dnbQ.,EPILIM CHRONOSPHERE 100mg/sachet m/r granules
dnbR.,EPILIM CHRONOSPHERE 250mg/sachet m/r granules
dnbS.,EPILIM CHRONOSPHERE 500mg/sachet m/r granules
dnbT.,EPILIM CHRONOSPHERE 750mg/sachet m/r granules
dnbU.,EPILIM CHRONOSPHERE 1g/sachet m/r granules
dnba.,*ORLEPT 200mg e/c tablets
dnbb.,*ORLEPT 500mg e/c tablets
dnbc.,EPILIM CHRONO 200 m/r tablets
dnbd.,EPILIM CHRONO 300 m/r tablets
dnbe.,EPILIM CHRONO 500 m/r tablets
dnbn.,SODIUM VALPROATE 50mg/sachet m/r granules
dnbo.,SODIUM VALPROATE 100mg/sachet m/r granules
dnbp.,SODIUM VALPROATE 250mg/sachet m/r granules
dnbq.,SODIUM VALPROATE 750mg/sachet m/r granules
dnbr.,SODIUM VALPROATE 200mg m/r tablets
dnbs.,SODIUM VALPROATE 300mg m/r tablets
dnbt.,SODIUM VALPROATE 500mg m/r tablets
dnbu.,SODIUM VALPROATE 400mg/4mL injection
dnbv.,SODIUM VALPROATE 100mg crushable tablets
dnbw.,SODIUM VALPROATE 200mg crushable tablets
dnbx.,SODIUM VALPROATE 500mg tablets
dnby.,SODIUM VALPROATE 200mg/5mL sugar free liquid
dnbz.,SODIUM VALPROATE 200mg/5mL syrup
dnf..,LAMOTRIGINE
dnf1.,LAMOTRIGINE 50mg tablets
dnf2.,LAMOTRIGINE 100mg tablets
dnf3.,LAMICTAL 50mg tablets
dnf4.,LAMICTAL 100mg tablets
dnf5.,LAMOTRIGINE 25mg tablets
dnf6.,LAMICTAL 25mg tablets
dnf7.,LAMICTAL 5mg dispersible tablets
dnf8.,LAMICTAL 25mg dispersible tablets
dnf9.,LAMICTAL 100mg dispersible tablets
dnfA.,LAMOTRIGINE 5mg dispersible tablets
dnfB.,LAMOTRIGINE 25mg dispersible tablets
dnfC.,LAMOTRIGINE 100mg dispersible tablets
dnfD.,LAMICTAL 200mg tablets
dnfE.,LAMOTRIGINE 200mg tablets
dnfF.,LAMICTAL MONOTHERAPY 25mg starter pack
dnfG.,LAMICTAL VALPROATE ADD-ON 25mg starter pack
dnfH.,LAMICTAL NON-VALPROATE ADD-ON 50mg starter pack
dnfJ.,LAMICTAL 2mg dispersible tablets
dnfz.,LAMOTRIGINE 2mg dispersible tablets
dno..,LEVETIRACETAM
dno1.,KEPPRA 250mg tablets
dno2.,KEPPRA 500mg tablets
dno4.,KEPPRA 750mg tablets
dno5.,KEPPRA 100mg/mL s/f oral solution
dno6.,KEPPRA 500mg/5mL solution for injection
dno7.,DESITREND 250mg/sachet granules
dno8.,DESITREND 500mg/sachet granules
dno9.,DESITREND 1g/sachet granules
dnoA.,DESITREND 100mg/mL oral solution
dnoB.,DESITREND 500mg/5mL concentrate for solution for infusion
dnor.,LEVETIRACETAM 1g/sachet granules
dnos.,LEVETIRACETAM 500mg/sachet granules
dnot.,LEVETIRACETAM 250mg/sachet granules
dnou.,LEVETIRACETAM 500mg/5mL solution for injection
dnov.,LEVETIRACETAM 100mg/mL s/f oral solution
dnow.,LEVETIRACETAM 750mg tablets
dnox.,LEVETIRACETAM 1g tablets
dnoy.,LEVETIRACETAM 500mg tablets
dnoz.,LEVETIRACETAM 250mg tablets
d26..,CLOBAZAM
d261.,*CLOBAZAM 10mg capsules
d262.,*FRISIUM 10mg capsules
d263.,CLOBAZAM 10mg tablets
d264.,FRISIUM 10mg tablets
d265.,TAPCLOB 5mg/5mL oral suspension
d266.,CLOBAZAM 5mg/5mL oral suspension
d267.,TAPCLOB 10mg/5mL oral suspension
d268.,CLOBAZAM 10mg/5mL oral suspension
d269.,PERIZAM 1mg/mL oral suspension
d26A.,PERIZAM 2mg/mL oral suspension
dnw..,PERAMPANEL
dnw1.,FYCOMPA 2mg tablets
dnw2.,FYCOMPA 4mg tablets
dnw3.,FYCOMPA 6mg tablets
dnw4.,FYCOMPA 8mg tablets
dnw5.,FYCOMPA 10mg tablets
dnw6.,FYCOMPA 12mg tablets
dnwu.,PERAMPANEL 12mg tablets
dnwv.,PERAMPANEL 10mg tablets
dnww.,PERAMPANEL 8mg tablets
dnwx.,PERAMPANEL 6mg tablets
dnwz.,PERAMPANEL 2mg tablets
dnk..,TOPIRAMATE
dnk1.,TOPIRAMATE 50mg tablets
dnk2.,TOPIRAMATE 100mg tablets
dnk3.,TOPIRAMATE 200mg tablets
dnk4.,TOPAMAX 50mg tablets
dnk5.,TOPAMAX 100mg tablets
dnk6.,TOPAMAX 200mg tablets
dnk7.,TOPIRAMATE 25mg tablets
dnk8.,TOPAMAX 25mg tablets
dnk9.,TOPIRAMATE 15mg beads in capsules
dnkA.,TOPIRAMATE 25mg beads in capsules
dnkB.,TOPAMAX SPRINKLE 15mg capsules
dnkC.,TOPAMAX SPRINKLE 25mg capsules
dnkD.,TOPIRAMATE 50mg beads in capsules
dnkE.,TOPAMAX SPRINKLE 50mg capsules
dnt..,LACOSAMIDE
dnt1.,VIMPAT 200mg/20mL solution for injection
dnt2.,VIMPAT 15mg/1mL sugar free liquid
dnt3.,VIMPAT 50mg tablets
dnt4.,VIMPAT 100mg tablets
dnt5.,VIMPAT 150mg tablets
dnt6.,VIMPAT 200mg tablets
dnt7.,LACOSAMIDE 200mg/20mL solution for injection
dnt8.,LACOSAMIDE 15mg/1mL sugar free liquid
dnt9.,LACOSAMIDE 50mg tablets
dntA.,LACOSAMIDE 100mg tablets
dntB.,LACOSAMIDE 150mg tablets
dntC.,LACOSAMIDE 200mg tablets
dntD.,VIMPAT 10mg/1mL syrup
dntE.,LACOSAMIDE 10mg/1mL sugar free liquid
dna..,PRIMIDONE
dna1.,*MYSOLINE 250mg tablets
dna2.,MYSOLINE 250mg/5mL oral suspension
dna3.,*MYSOLINE 50mg tablets
dnax.,PRIMIDONE 50mg tablets
dnay.,PRIMIDONE 250mg tablets
dnaz.,PRIMIDONE 250mg/5mL oral suspension
dn3..,CARBAMAZEPINE
dn31.,CARBAMAZEPINE 100mg tablets
dn32.,CARBAMAZEPINE 200mg tablets
dn33.,CARBAMAZEPINE 400mg tablets
dn34.,TEGRETOL 100mg tablets
dn35.,TEGRETOL 200mg tablets
dn36.,TEGRETOL 400mg tablets
dn37.,TEGRETOL 100mg/5mL sugar free liquid
dn38.,TEGRETOL RETARD 200mg m/r tabs
dn39.,TEGRETOL RETARD 400mg m/r tabs
dn3A.,*EPIMAZ 100mg tablets
dn3B.,*EPIMAZ 200mg tablets
dn3C.,*EPIMAZ 400mg tablets
dn3D.,TEGRETOL 125mg suppositories
dn3E.,TEGRETOL 250mg suppositories
dn3F.,TIMONIL RETARD 200mg m/r tablets
dn3G.,TIMONIL RETARD 400mg m/r tablets
dn3H.,*TERIL CR 200mg m/r tablets
