V2Codes,Description
gh7..,TADALAFIL
gh71.,TADALAFIL 10mg tablets
gh72.,TADALAFIL 20mg tablets
gh73.,TADALAFIL 2.5mg tablets
gh74.,TADALAFIL 5mg tablets
gh75.,ADCIRCA 20mg tablets
gh7x.,CIALIS 2.5mg tablets
gh7w.,CIALIS 5mg tablets
gh7y.,CIALIS 10mg tablets
gh7z.,CIALIS 20mg tablets
gh8..,VARDENAFIL
gh81.,VARDENAFIL 5mg tablets
gh82.,VARDENAFIL 10mg tablets
gh83.,VARDENAFIL 20mg tablets
gh84.,LEVITRA 5mg tablets
gh85.,LEVITRA 10mg tablets
gh86.,LEVITRA 20mg tablets
gh87.,LEVITRA 10mg orodispersible tablets
gh88.,VARDENAFIL 10mg orodispersible tablets
gh5..,SILDENAFIL
gh51.,SILDENAFIL 25mg tablets
gh52.,SILDENAFIL 50mg tablets
gh53.,SILDENAFIL 100mg tablets
gh54.,VIAGRA 25mg tablets
gh55.,VIAGRA 50mg tablets
gh56.,VIAGRA 100mg tablets
gh57.,REVATIO 20mg tablets
gh58.,REVATIO 40mg/50mL solution for injection
gh59.,REVATIO 10mg/12.5mL solution for injection
gh5A.,REVATIO 10mg/mL oral suspension
gh5B.,NIPATRA 100mg chewable tablets
gh5C.,NIPATRA 25mg chewable tablets
gh5D.,NIPATRA 50mg chewable tablets
gh5E.,VIZARSIN 25mg tablets
gh5F.,VIZARSIN 50mg tablets
gh5G.,VIZARSIN 100mg tablets
gh5t.,SILDENAFIL 50mg chewable tablets
gh5u.,SILDENAFIL 100mg chewable tablets
gh5v.,SILDENAFIL 25mg chewable tablets
gh5w.,SILDENAFIL 10mg/mL oral suspension
gh5x.,SILDENAFIL 10mg/12.5mL solution for injection
gh5y.,SILDENAFIL 40mg/50mL solution for injection
gh5z.,SILDENAFIL 20mg tablets
ghA..,AVANAFIL
ghA1.,SPEDRA 50mg tablets
ghA2.,AVANAFIL 50mg tablets
ghA3.,SPEDRA 100mg tablets
ghA4.,AVANAFIL 100mg tablets
ghA5.,SPEDRA 200mg tablets
ghA6.,AVANAFIL 200mg tablets
