CTV3Codes,Description
ghA..,AVANAFIL
ghA1.,SPEDRA 50mg tablets
ghA2.,AVANAFIL 50mg tablets
ghA3.,SPEDRA 100mg tablets
ghA4.,AVANAFIL 100mg tablets
ghA5.,SPEDRA 200mg tablets
ghA6.,AVANAFIL 200mg tablets
gh5..,Sildenafil
gh5z.,Sildenafil 20mg tablet
gh57.,Revatio 20mg tablet
gh51.,Sildenafil 25mg tablet
gh54.,Viagra 25mg tablet
gh52.,Sildenafil 50mg tablet
gh55.,Viagra 50mg tablet
gh53.,Sildenafil 100mg tablet
gh56.,Viagra 100mg tablet
gh58.,REVATIO 40mg/50mL solution for injection
gh59.,REVATIO 10mg/12.5mL solution for injection
gh5A.,REVATIO 10mg/mL oral suspension
gh5B.,NIPATRA 100mg chewable tablets
gh5C.,NIPATRA 25mg chewable tablets
gh5D.,NIPATRA 50mg chewable tablets
gh5E.,VIZARSIN 25mg tablets
gh5F.,VIZARSIN 50mg tablets
gh5G.,VIZARSIN 100mg tablets
gh5t.,SILDENAFIL 50mg chewable tablets
gh5u.,SILDENAFIL 100mg chewable tablets
gh5v.,SILDENAFIL 25mg chewable tablets
gh5w.,SILDENAFIL 10mg/mL oral suspension
gh5x.,SILDENAFIL 10mg/12.5mL solution for injection
gh5y.,SILDENAFIL 40mg/50mL solution for injection
gh8..,Vardenafil
gh81.,Vardenafil 5mg tablet
gh84.,Levitra 5mg tablet
gh82.,Vardenafil 10mg tablet
gh85.,Levitra 10mg tablet
gh83.,Vardenafil 20mg tablet
gh86.,Levitra 20mg tablet
gh87.,LEVITRA 10mg orodispersible tablets
gh88.,VARDENAFIL 10mg orodispersible tablets
gh7..,Tadalafil
gh71.,Tadalafil 10mg tablet
gh7y.,Cialis 10mg tablet
gh72.,Tadalafil 20mg tablet
gh7z.,Cialis 20mg tablet
gh73.,TADALAFIL 2.5mg tablets
gh74.,TADALAFIL 5mg tablets
gh75.,ADCIRCA 20mg tablets
gh7w.,CIALIS 5mg tablets
gh7x.,CIALIS 2.5mg tablets
