SNOMEDCTCodes,Description
24396611000001104,Spedra 100mg tablets (A. Menarini Farmaceutica Internazionale SRL)
24396711000001108,Spedra 100mg tablets (A. Menarini Farmaceutica Internazionale SRL) 4 tablet
24396811000001100,Spedra 100mg tablets (A. Menarini Farmaceutica Internazionale SRL) 8 tablet
24397111000001105,Spedra 200mg tablets (A. Menarini Farmaceutica Internazionale SRL)
24397211000001104,Spedra 200mg tablets (A. Menarini Farmaceutica Internazionale SRL) 4 tablet
24397311000001107,Spedra 200mg tablets (A. Menarini Farmaceutica Internazionale SRL) 8 tablet
24395911000001103,Spedra 50mg tablets (A. Menarini Farmaceutica Internazionale SRL)
24396111000001107,Spedra 50mg tablets (A. Menarini Farmaceutica Internazionale SRL) 4 tablet
24396311000001109,Spedra 50mg tablets (A. Menarini Farmaceutica Internazionale SRL) 8 tablet
703959000,Avanafil 100mg tablets
24422211000001103,Avanafil 100mg tablets
24396411000001102,Avanafil 100mg tablets 4 tablet
24396511000001103,Avanafil 100mg tablets 8 tablet
703960005,Avanafil 200mg tablets
24422311000001106,Avanafil 200mg tablets
24396911000001105,Avanafil 200mg tablets 4 tablet
24397011000001109,Avanafil 200mg tablets 8 tablet
703958008,Avanafil 50mg tablets
24422411000001104,Avanafil 50mg tablets
24395711000001100,Avanafil 50mg tablets 4 tablet
24395811000001108,Avanafil 50mg tablets 8 tablet
326715008,Sildenafil 100mg tablets
1118711000001105,Sildenafil 100mg tablets 4 tablet
949111000001107,Sildenafil 100mg tablets 8 tablet
24640311000001106,Sildenafil 100mg tablets 12 tablet
419015002,Sildenafil 20mg tablets
10156911000001105,Sildenafil 20mg tablets
10154411000001105,Sildenafil 20mg tablets 90 tablet
22099011000001107,Sildenafil 25mg pessaries
22089211000001103,Sildenafil 25mg pessaries 1 pessary
326713001,Sildenafil 25mg tablets
1127111000001100,Sildenafil 25mg tablets 4 tablet
1039111000001102,Sildenafil 25mg tablets 8 tablet
326714007,Sildenafil 50mg tablets
39179311000001103,Sildenafil 50mg tablets 2 tablet
1011811000001102,Sildenafil 50mg tablets 4 tablet
1088011000001104,Sildenafil 50mg tablets 8 tablet
15452411000001107,Sildenafil 10mg/5ml oral solution
15448311000001104,Sildenafil 10mg/5ml oral solution 1 ml
15452511000001106,Sildenafil 10mg/5ml oral suspension
15448611000001109,Sildenafil 10mg/5ml oral suspension 1 ml
22250711000001102,Sildenafil 10mg/5ml oral suspension 100 ml
15535611000001107,Sildenafil 12.5mg/5ml oral solution
15532211000001100,Sildenafil 12.5mg/5ml oral solution 1 ml
15535711000001103,Sildenafil 12.5mg/5ml oral suspension
15532611000001103,Sildenafil 12.5mg/5ml oral suspension 1 ml
21519711000001109,Sildenafil 12.5mg/5ml oral suspension 100 ml
21995211000001105,Sildenafil 12.5mg/5ml oral suspension 200 ml
13859611000001103,Sildenafil 2.5mg/5ml oral solution
13852811000001109,Sildenafil 2.5mg/5ml oral solution 1 ml
21705011000001109,Sildenafil 10mg/ml oral suspension sugar free
21700111000001102,Sildenafil 10mg/ml oral suspension sugar free 112 ml
40639811000001108,Sildenafil 10mg/ml oral suspension sugar free 122 ml
14160311000001103,Sildenafil 5mg/5ml oral suspension
14081011000001103,Sildenafil 5mg/5ml oral suspension 1 ml
33748911000001104,Sildenafil 5mg/5ml oral suspension 50 ml
21629511000001104,Sildenafil 5mg/5ml oral suspension 60 ml
14160211000001106,Sildenafil 5mg/5ml oral solution
14080511000001104,Sildenafil 5mg/5ml oral solution 1 ml
15650111000001104,Sildenafil 50mg/5ml oral suspension
15637511000001108,Sildenafil 50mg/5ml oral suspension 1 ml
15650211000001105,Sildenafil 50mg/5ml oral solution
15637011000001100,Sildenafil 50mg/5ml oral solution 1 ml
13859711000001107,Sildenafil 2.5mg/5ml oral suspension
13853111000001108,Sildenafil 2.5mg/5ml oral suspension 1 ml
35839511000001108,Sildenafil 20mg/5ml oral suspension
35834811000001107,Sildenafil 20mg/5ml oral suspension 1 ml
14058011000001104,Sildenafil 25mg/5ml oral solution
14031011000001106,Sildenafil 25mg/5ml oral solution 1 ml
14058111000001103,Sildenafil 25mg/5ml oral suspension
14031511000001103,Sildenafil 25mg/5ml oral suspension 1 ml
22250911000001100,Sildenafil 25mg/5ml oral suspension 100 ml
22648811000001107,Sildenafil 100mg chewable tablets sugar free
22521111000001104,Sildenafil 100mg chewable tablets sugar free 4 tablet
22521411000001109,Sildenafil 100mg chewable tablets sugar free 8 tablet
22648911000001102,Sildenafil 25mg chewable tablets sugar free
22522411000001104,Sildenafil 25mg chewable tablets sugar free 4 tablet
22518511000001106,Sildenafil 25mg chewable tablets sugar free 8 tablet
22649011000001106,Sildenafil 50mg chewable tablets sugar free
22519411000001104,Sildenafil 50mg chewable tablets sugar free 4 tablet
22520411000001100,Sildenafil 50mg chewable tablets sugar free 8 tablet
18759411000001103,Sildenafil 10mg/12.5ml solution for injection vials
18759611000001100,Sildenafil 10mg/12.5ml solution for injection vials 1 vial
16660911000001106,Sildenafil 40mg/50ml solution for injection vials
16661011000001103,Sildenafil 40mg/50ml solution for injection vials 1 vial
16661111000001102,Revatio 40mg/50ml solution for injection vials (Pfizer Ltd)
16661211000001108,Revatio 40mg/50ml solution for injection vials (Pfizer Ltd) 1 vial
21700211000001108,Revatio 10mg/ml oral suspension (Viatris UK Healthcare Ltd)
21700311000001100,Revatio 10mg/ml oral suspension (Viatris UK Healthcare Ltd) 112 ml
18759511000001104,Revatio 10mg/12.5ml solution for injection vials (Viatris UK Healthcare Ltd)
18759711000001109,Revatio 10mg/12.5ml solution for injection vials (Viatris UK Healthcare Ltd) 1 vial
22519511000001100,Nipatra 50mg chewable tablets (Advanz Pharma)
22519611000001101,Nipatra 50mg chewable tablets (Advanz Pharma) 4 tablet
22520511000001101,Nipatra 50mg chewable tablets (Advanz Pharma) 8 tablet 2 x 4 tablets
22519911000001107,Nipatra 25mg chewable tablets (Advanz Pharma)
22522511000001100,Nipatra 25mg chewable tablets (Advanz Pharma) 4 tablet
22520211000001104,Nipatra 25mg chewable tablets (Advanz Pharma) 8 tablet 2 x 4 tablets
22521211000001105,Nipatra 100mg chewable tablets (Advanz Pharma)
22521311000001102,Nipatra 100mg chewable tablets (Advanz Pharma) 4 tablet
22521511000001108,Nipatra 100mg chewable tablets (Advanz Pharma) 8 tablet 2 x 4 tablets
23592911000001105,Vizarsin 50mg tablets (Consilient Health Ltd)
23593011000001102,Vizarsin 50mg tablets (Consilient Health Ltd) 4 tablet
35585011000001105,Viagra Connect 50mg tablets (Viatris UK Healthcare Ltd)
39179411000001105,Viagra Connect 50mg tablets (Viatris UK Healthcare Ltd) 2 tablet
35585111000001106,Viagra Connect 50mg tablets (Viatris UK Healthcare Ltd) 4 tablet
35585211000001100,Viagra Connect 50mg tablets (Viatris UK Healthcare Ltd) 8 tablet
10486311000001100,Viagra 50mg tablets (Waymade Healthcare Plc)
10489311000001107,Viagra 50mg tablets (Waymade Healthcare Plc) 4 tablet
10486411000001107,Viagra 50mg tablets (Waymade Healthcare Plc) 8 tablet
808811000001107,Viagra 50mg tablets (Viatris UK Healthcare Ltd)
2152211000001105,Viagra 50mg tablets (Viatris UK Healthcare Ltd) 4 tablet
2152411000001109,Viagra 50mg tablets (Viatris UK Healthcare Ltd) 8 tablet 2 x 4 tablets
14757311000001104,Viagra 50mg tablets (Sigma Pharmaceuticals Plc)
14757611000001109,Viagra 50mg tablets (Sigma Pharmaceuticals Plc) 4 tablet
14757911000001103,Viagra 50mg tablets (Sigma Pharmaceuticals Plc) 8 tablet
18206611000001108,Viagra 50mg tablets (Necessity Supplies Ltd)
18206711000001104,Viagra 50mg tablets (Necessity Supplies Ltd) 4 tablet
18206811000001107,Viagra 50mg tablets (Necessity Supplies Ltd) 8 tablet
17472511000001108,Viagra 50mg tablets (Mawdsley-Brooks & Company Ltd)
17472711000001103,Viagra 50mg tablets (Mawdsley-Brooks & Company Ltd) 4 tablet
17472611000001107,Viagra 50mg tablets (Mawdsley-Brooks & Company Ltd) 8 tablet
10465711000001106,Viagra 50mg tablets (Dowelhurst Ltd)
13216411000001108,Viagra 50mg tablets (Dowelhurst Ltd) 4 tablet
10465811000001103,Viagra 50mg tablets (Dowelhurst Ltd) 8 tablet
13970111000001107,Viagra 50mg tablets (DE Pharmaceuticals)
13970311000001109,Viagra 50mg tablets (DE Pharmaceuticals) 4 tablet
37537111000001105,Viagra 50mg tablets (CST Pharma Ltd)
37537211000001104,Viagra 50mg tablets (CST Pharma Ltd) 4 tablet
39612211000001106,Liberize 50mg tablets (Teva UK Ltd)
39612311000001103,Liberize 50mg tablets (Teva UK Ltd) 4 tablet
39612611000001108,Liberize 50mg tablets (Teva UK Ltd) 8 tablet 2 x 4 tablets
38040411000001106,Aronix 50mg tablets (Dr Reddy's Laboratories (UK) Ltd)
38040611000001109,Aronix 50mg tablets (Dr Reddy's Laboratories (UK) Ltd) 4 tablet
38040711000001100,Aronix 50mg tablets (Dr Reddy's Laboratories (UK) Ltd) 8 tablet
23592711000001108,Vizarsin 25mg tablets (Consilient Health Ltd)
23592811000001100,Vizarsin 25mg tablets (Consilient Health Ltd) 4 tablet
10489811000001103,Viagra 25mg tablets (Waymade Healthcare Plc)
10489911000001108,Viagra 25mg tablets (Waymade Healthcare Plc) 4 tablet
10490111000001104,Viagra 25mg tablets (Waymade Healthcare Plc) 8 tablet
908711000001105,Viagra 25mg tablets (Viatris UK Healthcare Ltd)
2151311000001106,Viagra 25mg tablets (Viatris UK Healthcare Ltd) 4 tablet
2151411000001104,Viagra 25mg tablets (Viatris UK Healthcare Ltd) 8 tablet 2 x 4 tablets
14756911000001101,Viagra 25mg tablets (Sigma Pharmaceuticals Plc)
14757011000001102,Viagra 25mg tablets (Sigma Pharmaceuticals Plc) 4 tablet
14757111000001101,Viagra 25mg tablets (Sigma Pharmaceuticals Plc) 8 tablet
18206311000001103,Viagra 25mg tablets (Necessity Supplies Ltd)
18206411000001105,Viagra 25mg tablets (Necessity Supplies Ltd) 4 tablet
18206511000001109,Viagra 25mg tablets (Necessity Supplies Ltd) 8 tablet
17472311000001102,Viagra 25mg tablets (Mawdsley-Brooks & Company Ltd)
17472411000001109,Viagra 25mg tablets (Mawdsley-Brooks & Company Ltd) 8 tablet
13969711000001105,Viagra 25mg tablets (DE Pharmaceuticals)
13969811000001102,Viagra 25mg tablets (DE Pharmaceuticals) 4 tablet
10154511000001109,Revatio 20mg tablets (Viatris UK Healthcare Ltd)
10154611000001108,Revatio 20mg tablets (Viatris UK Healthcare Ltd) 90 tablet 6 x 15 tablets
22681711000001101,Sildenafil 100mg tablets (A A H Pharmaceuticals Ltd)
22681811000001109,Sildenafil 100mg tablets (A A H Pharmaceuticals Ltd) 4 tablet
22681911000001104,Sildenafil 100mg tablets (A A H Pharmaceuticals Ltd) 8 tablet
23494011000001105,Sildenafil 100mg tablets (Accord Healthcare Ltd)
23494111000001106,Sildenafil 100mg tablets (Accord Healthcare Ltd) 4 tablet
23494311000001108,Sildenafil 100mg tablets (Accord Healthcare Ltd) 8 tablet 2 x 4 tablets
22666511000001100,Sildenafil 100mg tablets (Actavis UK Ltd)
22666611000001101,Sildenafil 100mg tablets (Actavis UK Ltd) 4 tablet
22666711000001105,Sildenafil 100mg tablets (Actavis UK Ltd) 8 tablet 2 x 4 tablets
22675111000001106,Sildenafil 100mg tablets (Alliance Healthcare (Distribution) Ltd)
22675211000001100,Sildenafil 100mg tablets (Alliance Healthcare (Distribution) Ltd) 4 tablet
22675411000001101,Sildenafil 100mg tablets (Alliance Healthcare (Distribution) Ltd) 8 tablet 2 x 4 tablets
