ProdCodeId,Description
11242141000033114,benepali 50mg/1ml solution for injection pre-filled pens (biogen idec ltd)
11242241000033119,benepali 50mg/1ml solution for injection pre-filled syringes (biogen idec ltd)
12346841000033114,benepali 25mg/0.5ml solution for injection pre-filled syringes (biogen idec ltd)
12355441000033116,erelzi 25mg/0.5ml solution for injection pre-filled syringes (sandoz ltd)
12355541000033115,erelzi 50mg/1ml solution for injection pre-filled syringes (sandoz ltd)
12355641000033119,erelzi 50mg/1ml solution for injection pre-filled pens (sandoz ltd)
12410041000033119,etanercept 25mg/0.5ml solution for injection pre-filled disposable devices
12410141000033115,enbrel 25mg/0.5ml solution for injection pre-filled myclic pens (pfizer ltd)
2147041000033113,etanercept 25mg powder and solvent for solution for injection vials
2147141000033112,enbrel 25mg powder and solvent for solution for injection vials (pfizer ltd)
3290341000033114,etanercept 50mg powder and solvent for solution for injection vials
3290441000033115,enbrel 50mg powder and solvent for solution for injection vials (wyeth pharmaceuticals)
3995941000033115,etanercept 50mg/1ml solution for injection pre-filled syringes
3996041000033113,enbrel 50mg/1ml solution for injection pre-filled syringes (pfizer ltd)
3996141000033112,enbrel paediatric 25mg powder and solvent for solution for injection vials (pfizer ltd)
4012441000033113,etanercept 25mg/0.5ml solution for injection pre-filled syringes
4012541000033114,enbrel 25mg/0.5ml solution for injection pre-filled syringes (pfizer ltd)
5293341000033111,etanercept 50mg/1ml solution for injection pre-filled disposable devices
5293541000033116,enbrel 50mg/1ml solution for injection pre-filled myclic pens (pfizer ltd)
6515841000033111,etanercept 10mg powder and solvent for solution for injection vials
6515941000033115,enbrel paediatric 10mg powder and solvent for solution for injection vials (pfizer ltd)
