CTV3Codes,Description
h89..,Etanercept
h893.,ETANERCEPT 50mg solution for injection prefilled syringe
h894.,ETANERCEPT 25mg solution for injection prefilled syringe
h89v.,ENBREL 25mg solution for injection prefilled syringe
h892.,Etanercept 25mg injection (pdr for recon)+solvent
h89y.,Enbrel 25mg injection (pdr for recon)+solvent
h89w.,ENBREL 25mg paediatric powder+solvent for solution for injection
h891.,Etanercept 50mg powder+solvent for solution for injection
h89z.,Enbrel 50mg powder+solvent for solution for injection
h89x.,ENBREL 50mg solution for injection prefilled syringe
h895.,ETANERCEPT 50mg solution for injection prefilled pen
h896.,ETANERCEPT 10mg powder+solvent for solution for injection
h89t.,ENBREL 10mg powder+solvent for solution for injection
h89u.,ENBREL 50mg solution for injection prefilled pen
