SNOMEDCTCodes,Description
32227111000001100,Benepali 50mg/1ml solution for injection pre-filled syringes (Biogen Idec Ltd)
32227411000001105,Benepali 50mg/1ml solution for injection pre-filled syringes (Biogen Idec Ltd) 4 pre-filled disposable injection
32230111000001103,Benepali 50mg/1ml solution for injection pre-filled pens (Biogen Idec Ltd)
32230211000001109,Benepali 50mg/1ml solution for injection pre-filled pens (Biogen Idec Ltd) 4 pre-filled disposable injection
4156611000001102,Enbrel 25mg powder and solvent for solution for injection vials (Pfizer Ltd)
4156711000001106,Enbrel 25mg powder and solvent for solution for injection vials (Pfizer Ltd) 4 vial
34834011000001106,Enbrel 25mg/0.5ml solution for injection pre-filled MyClic pens (Pfizer Ltd)
34834111000001107,Enbrel 25mg/0.5ml solution for injection pre-filled MyClic pens (Pfizer Ltd) 4 pre-filled disposable injection
19921411000001107,Enbrel Paediatric 10mg powder and solvent for solution for injection vials (Pfizer Ltd)
19921511000001106,Enbrel Paediatric 10mg powder and solvent for solution for injection vials (Pfizer Ltd) 4 vial
11023211000001107,Enbrel Paediatric 25mg powder and solvent for solution for injection vials (Pfizer Ltd)
11023311000001104,Enbrel Paediatric 25mg powder and solvent for solution for injection vials (Pfizer Ltd) 4 vial
34634111000001100,Erelzi 50mg/1ml solution for injection pre-filled pens (Sandoz Ltd)
34634211000001106,Erelzi 50mg/1ml solution for injection pre-filled pens (Sandoz Ltd) 4 pre-filled disposable injection
11033511000001108,Enbrel 25mg/0.5ml solution for injection pre-filled syringes (Pfizer Ltd)
11033611000001107,Enbrel 25mg/0.5ml solution for injection pre-filled syringes (Pfizer Ltd) 4 pre-filled disposable injection
34633711000001101,Erelzi 25mg/0.5ml solution for injection pre-filled syringes (Sandoz Ltd)
34633811000001109,Erelzi 25mg/0.5ml solution for injection pre-filled syringes (Sandoz Ltd) 4 pre-filled disposable injection
10967711000001103,Enbrel 50mg/1ml solution for injection pre-filled syringes (Pfizer Ltd)
10967811000001106,Enbrel 50mg/1ml solution for injection pre-filled syringes (Pfizer Ltd) 4 pre-filled disposable injection
34609111000001108,Benepali 25mg/0.5ml solution for injection pre-filled syringes (Biogen Idec Ltd)
34609211000001102,Benepali 25mg/0.5ml solution for injection pre-filled syringes (Biogen Idec Ltd) 4 pre-filled disposable injection
34633911000001104,Erelzi 50mg/1ml solution for injection pre-filled syringes (Sandoz Ltd)
34634011000001101,Erelzi 50mg/1ml solution for injection pre-filled syringes (Sandoz Ltd) 4 pre-filled disposable injection
9309311000001101,Enbrel 50mg powder and solvent for solution for injection vials (Wyeth Pharmaceuticals)
9309411000001108,Enbrel 50mg powder and solvent for solution for injection vials (Wyeth Pharmaceuticals) 4 vial
15980311000001108,Enbrel 50mg/1ml solution for injection pre-filled MyClic pens (Pfizer Ltd)
15980411000001101,Enbrel 50mg/1ml solution for injection pre-filled MyClic pens (Pfizer Ltd) 4 pre-filled disposable injection
9316211000001103,Etanercept 50mg powder and solvent for solution for injection vials
420238002,Etanercept 50mg powder and solvent for solution for injection vials
36065711000001105,Etanercept 50mg powder and solvent for solution for injection vials
9309211000001109,Etanercept 50mg powder and solvent for solution for injection vials 4 vial
10970211000001102,Etanercept 50mg/1ml solution for injection pre-filled syringes
10967611000001107,Etanercept 50mg/1ml solution for injection pre-filled syringes 4 pre-filled disposable injection
11034511000001106,Etanercept 25mg/0.5ml solution for injection pre-filled syringes
11033411000001109,Etanercept 25mg/0.5ml solution for injection pre-filled syringes 4 pre-filled disposable injection
34840511000001108,Etanercept 25mg/0.5ml solution for injection pre-filled disposable devices
34833911000001108,Etanercept 25mg/0.5ml solution for injection pre-filled disposable devices 4 pre-filled disposable injection
19946811000001101,Etanercept 10mg powder and solvent for solution for injection vials
19921311000001100,Etanercept 10mg powder and solvent for solution for injection vials 4 vial
36065611000001101,Etanercept 25mg powder and solvent for solution for injection vials
359282000,Etanercept 25mg powder and solvent for solution for injection vials
4156511000001101,Etanercept 25mg powder and solvent for solution for injection vials 4 vial
15987111000001107,Etanercept 50mg/1ml solution for injection pre-filled disposable devices
15980211000001100,Etanercept 50mg/1ml solution for injection pre-filled disposable devices 4 pre-filled disposable injection
