V2Codes,Description
bxc6.,FENOFIBRATE 67mg capsules
bxc7.,LIPANTIL MICRO 67mg capsules
bxc8.,FENOFIBRATE 267mg capsules
bxc9.,LIPANTIL MICRO 267mg capsules
bxcA.,FENOFIBRATE 160mg m/r tablets
bxcB.,SUPRALIP 160mg m/r tablets
bxcC.,FENOFIBRATE MICRO 200mg capsules
bxcD.,*FENOGAL 200mg capsules
bxcE.,FENOFIBRATE 160mg tablets
bxc5.,LIPANTIL MICRO 200mg capsules
bxc4.,FENOFIBRATE 200mg capsules
bxc3.,*LIPANTIL 100mg capsules 84CP
bxc2.,*LIPANTIL 100mg capsules 21CP
bxc1.,*FENOFIBRATE 100mg capsules
bxc..,FENOFIBRATE
bx6z.,GEMFIBROZIL 300mg capsules
bx64.,*EMFIB 300mg capsules
bx63.,GEMFIBROZIL 600mg tablets
bx62.,LOPID 600mg tablets
bx61.,LOPID 300mg capsules
bx6..,GEMFIBROZIL
bx3z.,*CLOFIBRATE 500mg capsules
bx31.,*ATROMID-S 500mg capsules
bx3..,CLOFIBRATE
bx18.,FIBRAZATE XL 400mg m/r tablets
bx17.,ZIMBACOL XL 400mg m/r tablets
bx16.,*LIPAROL XL 400mg m/r tablets
bx15.,BEZAGEN XL 400mg m/r tablets
bx14.,BEZAFIBRATE 400mg m/r tablets
bx13.,BEZAFIBRATE 200mg tablets
bx12.,BEZALIP-MONO 400mg m/r tablets
bx11.,BEZALIP 200mg tablets
bx1..,BEZAFIBRATE
bxf..,CIPROFIBRATE
bxf1.,*MODALIM 100mg tablets
bxf2.,CIPROFIBRATE 100mg tablets
bxn..,LOMITAPIDE
bxn1.,LOJUXTA 5mg capsules
bxn2.,LOMITAPIDE 5mg capsules
bxn3.,LOJUXTA 10mg capsules
bxn4.,LOMITAPIDE 10mg capsules
bxn5.,LOJUXTA 20mg capsules
bxn6.,LOMITAPIDE 20mg capsules
