ProdCodeId,Description
11241741000033119,fenofibrate 145mg / simvastatin 20mg tablets
11241841000033112,fenofibrate 145mg / simvastatin 40mg tablets
11241941000033116,cholib 145mg/20mg tablets (mylan)
11242041000033110,cholib 145mg/40mg tablets (mylan)
144941000033118,bezalip 200mg tablets (teva uk ltd)
145041000033118,bezalip mono 400mg modified-release tablets (teva uk ltd)
145841000033113,bezafibrate 200mg tablets
145941000033117,bezafibrate 400mg modified-release tablets
1578041000033115,bezagen xl 400mg tablets (mylan)
1862541000033115,fenofibrate micronised 267mg capsules
1862641000033119,lipantil micro 267 capsules (mylan)
1862741000033111,lipantil micro 200 capsules (mylan)
2055241000033119,liparol 400 xl tablets (ashbourne pharmaceuticals ltd)
2192041000033117,zimbacol xl 400mg tablets (archimedes pharma uk ltd)
2214741000033113,fenofibrate micronised 160mg tablets
2214841000033115,supralip 160mg tablets (mylan)
258541000033118,ciprofibrate 100mg tablets
261941000033114,clofibrate capsules 500 mg
2801141000033116,fenogal 200mg capsules (genus pharmaceuticals ltd)
3188941000033114,fenofibrate micronised 200mg capsules
564541000033112,fenofibrate 200mg capsules
564641000033113,fenofibrate micronised 67mg capsules
565741000033115,fenofibrate capsules 100 mg
627841000033118,gemfibrozil 300mg capsules
634541000033110,gemfibrozil 600mg tablets
6453641000033112,fibrazate xl 400mg tablets (sandoz ltd)
827441000033114,lipantil micro capsules 200 mg
828041000033118,lipantil capsules 100 mg
836941000033116,lipantil micro 67 capsules (mylan)
838941000033115,lopid 300mg capsules (pfizer ltd)
851541000033119,lopid 600mg tablets (pfizer ltd)
88641000033115,atromid-s capsules 500 mg
936941000033113,modalim 100mg tablets (lexon (uk) ltd)
