SNOMEDCTCodes,Description
33087411000001104,Flixabi 100mg powder for concentrate for solution for infusion vials (Biogen Idec Ltd)
33087911000001107,Flixabi 100mg powder for concentrate for solution for infusion vials (Biogen Idec Ltd) 1 vial
4398011000001107,Remicade 100mg powder for concentrate for solution for infusion vials (Janssen-Cilag Ltd)
4398111000001108,Remicade 100mg powder for concentrate for solution for infusion vials (Janssen-Cilag Ltd) 1 vial
38004811000001109,Remsima 120mg/1ml solution for injection pre-filled pens (Celltrion Healthcare UK Ltd)
38004911000001104,Remsima 120mg/1ml solution for injection pre-filled pens (Celltrion Healthcare UK Ltd) 2 pre-filled disposable injection
28943211000001105,Inflectra 100mg powder for concentrate for solution for infusion vials (Pfizer Ltd)
28943311000001102,Inflectra 100mg powder for concentrate for solution for infusion vials (Pfizer Ltd) 1 vial
38004511000001106,Remsima 120mg/1ml solution for injection pre-filled syringes (Celltrion Healthcare UK Ltd)
38004611000001105,Remsima 120mg/1ml solution for injection pre-filled syringes (Celltrion Healthcare UK Ltd) 2 pre-filled disposable injection
39246711000001108,Remicade 100mg powder for concentrate for solution for infusion vials (Originalis B.V.)
39246811000001100,Remicade 100mg powder for concentrate for solution for infusion vials (Originalis B.V.) 1 vial
28803711000001103,Remsima 100mg powder for concentrate for solution for infusion vials (Celltrion Healthcare UK Ltd)
28803811000001106,Remsima 100mg powder for concentrate for solution for infusion vials (Celltrion Healthcare UK Ltd) 1 vial
36584011000001109,Zessly 100mg powder for concentrate for solution for infusion vials (Sandoz Ltd)
36584111000001105,Zessly 100mg powder for concentrate for solution for infusion vials (Sandoz Ltd) 1 vial
38196011000001104,Infliximab 120mg/1ml solution for injection pre-filled disposable devices
38004711000001101,Infliximab 120mg/1ml solution for injection pre-filled disposable devices 2 pre-filled disposable injection
41764711000001106,Infliximab 100mg powder for solution for infusion vials
400687000,Infliximab 100mg powder for solution for infusion vials
4427711000001109,Infliximab 100mg powder for solution for infusion vials
4397711000001108,Infliximab 100mg powder for solution for infusion vials 1 vial
38196111000001103,Infliximab 120mg/1ml solution for injection pre-filled syringes
38004411000001107,Infliximab 120mg/1ml solution for injection pre-filled syringes 2 pre-filled disposable injection
