ProdCodeId,Description
10213341000033118,remsima 100mg powder for concentrate for solution for infusion vials (celltrion healthcare uk ltd)
10229141000033111,inflectra 100mg powder for concentrate for solution for infusion vials (pfizer ltd)
11749341000033114,flixabi 100mg powder for concentrate for solution for infusion vials (biogen idec ltd)
12886741000033110,zessly 100mg powder for concentrate for solution for infusion vials (sandoz ltd)
13443641000033118,infliximab 120mg/1ml solution for injection pre-filled disposable devices
13443741000033110,infliximab 120mg/1ml solution for injection pre-filled syringes
13443841000033117,remsima 120mg/1ml solution for injection pre-filled pens (celltrion healthcare uk ltd)
13443941000033113,remsima 120mg/1ml solution for injection pre-filled syringes (celltrion healthcare uk ltd)
1916141000033115,infliximab 100mg powder for solution for infusion vials
1916241000033110,remicade 100mg powder for concentrate for solution for infusion vials (merck sharp & dohme ltd)
