ProdCodeId,Description
12568641000033117,dexamethasone (base) 3.3mg/1ml solution for injection ampoules
12568741000033114,dexamethasone (base) 3.8mg/1ml solution for injection vials
12568841000033116,dexamethasone (base) 6.6mg/2ml solution for injection ampoules
12568941000033112,dexamethasone (base) 6.6mg/2ml solution for injection vials
131541000033113,betamethasone 4mg/1ml solution for injection ampoules
1356341000033119,solu-cortef 100mg powder for solution for injection vials (pfizer ltd)
1357541000033112,solu-medrone 40mg powder and solvent for solution for injection vials (pfizer ltd)
1361441000033110,solu-medrone 1g powder and solvent for solution for injection vials (pfizer ltd)
1361541000033111,solu-medrone 125mg powder and solvent for solution for injection vials (pfizer ltd)
1361641000033112,solu-medrone 2g powder and solvent for solution for injection vials (pfizer ltd)
1361741000033115,solu-medrone 500mg powder and solvent for solution for injection vials (pfizer ltd)
1458741000033113,triamcinolone hexacetonide 20mg/1ml suspension for injection vials
1459041000033119,triamcinolone hexacetonide 100mg/5ml suspension for injection vials
1465341000033112,triamcinolone acetonide 40mg/1ml suspension for injection pre-filled syringes
1465441000033118,triamcinolone acetonide 80mg/2ml suspension for injection pre-filled syringes
3229241000033116,methylprednisolone 40mg/1ml / lidocaine 10mg/1ml (1%) suspension for injection vials
3229341000033114,methylprednisolone 80mg/2ml / lidocaine 20mg/2ml (1%) suspension for injection vials
3345441000033112,dexamethasone 8mg/2ml solution for injection vials
3345541000033113,dexamethasone 4mg/1ml solution for injection ampoules
3867241000033111,triamcinolone acetonide 10mg/1ml suspension for injection ampoules
3867341000033118,triamcinolone acetonide 50mg/5ml suspension for injection vials
3867441000033112,adcortyl intra-articular / intradermal 10mg/1ml suspension for injection ampoules (bristol-myers squibb pharmaceuticals ltd)
3867541000033113,adcortyl intra-articular / intradermal 50mg/5ml suspension for injection vials (bristol-myers squibb pharmaceuticals ltd)
3978341000033119,hydrocortisone sodium phosphate 100mg/1ml solution for injection ampoules
3978441000033113,hydrocortisone sodium phosphate 500mg/5ml solution for injection ampoules
3978541000033114,efcortesol 100mg/1ml solution for injection ampoules (advanz pharma)
3978641000033110,efcortesol 500mg/5ml solution for injection ampoules (advanz pharma)
420641000033117,depo-medrone 120mg/3ml suspension for injection vials (pfizer ltd)
420741000033114,depo-medrone 80mg/2ml suspension for injection vials (pfizer ltd)
421341000033117,depo-medrone with lidocaine suspension for injection 2ml vials (pfizer ltd)
423141000033116,depo-medrone 40mg/1ml suspension for injection vials (pfizer ltd)
423641000033114,depo-medrone with lidocaine suspension for injection 1ml vials (pfizer ltd)
5329741000033114,triamcinolone acetonide 40mg/1ml suspension for injection vials
5329841000033116,kenalog intra-articular / intramuscular 40mg/1ml suspension for injection vials (bristol-myers squibb pharmaceuticals ltd)
5505541000033114,solu-cortef powder and solution for injection 250 mg vial
5989241000033115,"dexamethasone solution for injection 3.3 mg/ml, 1 ml ampoule"
6062941000033110,dexamethasone solution for injection 6.6 mg/2 ml vial
734241000033119,hydrocortistab 25mg/1ml suspension for injection ampoules (advanz pharma)
735641000033117,hydrocortisone sodium succinate 100mg powder for solution for injection vials
735741000033114,hydrocortisone sodium succinate injection 500 mg/vial
799741000033115,kenalog injection 40 mg/ml
802441000033115,kenalog intramuscular 40mg/1ml suspension for injection pre-filled syringes (bristol-myers squibb pharmaceuticals ltd)
802541000033119,kenalog intramuscular 80mg/2ml suspension for injection pre-filled syringes (bristol-myers squibb pharmaceuticals ltd)
8195841000033113,hydrocortisone sodium succinate 100mg powder and solvent for solution for injection vials
8195941000033117,solu-cortef 100mg powder and solvent for solution for injection vials (pfizer ltd)
821641000033119,lederspan 100mg/5ml suspension for injection vials (wyeth pharmaceuticals)
823241000033116,lederspan 20mg/1ml suspension for injection vials (wyeth pharmaceuticals)
878641000033113,methylprednisolone acetate 40mg/1ml suspension for injection vials
880141000033114,methylprednisolone acetate 120mg/3ml suspension for injection vials
880241000033119,methylprednisolone acetate 80mg/2ml suspension for injection vials
889441000033114,methylprednisolone sodium succinate 1g powder and solvent for solution for injection vials
889541000033110,methylprednisolone sodium succinate 125mg powder and solvent for solution for injection vials
889641000033111,methylprednisolone sodium succinate 2g powder and solvent for solution for injection vials
889741000033119,methylprednisolone sodium succinate 40mg powder and solvent for solution for injection vials
889841000033112,methylprednisolone sodium succinate 500mg powder and solvent for solution for injection vials
9216541000033117,triamcinolone hexacetonide 20mg/1ml suspension for injection ampoules
9870741000033114,dexamethasone solution for injection 6.6 mg/2 ml ampoule
9872041000033112,dexamethasone solution for injection 3.8 mg/1 ml vial
