SNOMEDCTCodes,Description
30921211000001105,Betamethasone 4mg/1ml solution for injection ampoules (RPH Pharmaceuticals AB)
30921311000001102,Betamethasone 4mg/1ml solution for injection ampoules (RPH Pharmaceuticals AB) 5 ampoule
35910611000001103,Betamethasone 4mg/1ml solution for injection ampoules
325346002,Betamethasone 4mg/1ml solution for injection ampoules
3931711000001103,Betamethasone 4mg/1ml solution for injection ampoules 5 ampoule
9222411000001104,Dexamethasone 100mg/5ml solution for injection vials (A A H Pharmaceuticals Ltd)
9222511000001100,Dexamethasone 100mg/5ml solution for injection vials (A A H Pharmaceuticals Ltd) 1 vial
4044311000001109,Dexamethasone 4mg/1ml solution for injection ampoules (Aspen Pharma Trading Ltd)
4044711000001108,Dexamethasone 4mg/1ml solution for injection ampoules (Aspen Pharma Trading Ltd) 10 ampoule
4042711000001103,Dexamethasone 8mg/2ml solution for injection vials (A A H Pharmaceuticals Ltd)
4043011000001109,Dexamethasone 8mg/2ml solution for injection vials (A A H Pharmaceuticals Ltd) 10 vial
4047711000001101,Dexamethasone (base) 3.3mg/1ml solution for injection ampoules (Alliance Healthcare (Distribution) Ltd)
4047811000001109,Dexamethasone (base) 3.3mg/1ml solution for injection ampoules (Alliance Healthcare (Distribution) Ltd) 5 ampoule
28039711000001107,Dexamethasone (base) 3.3mg/1ml solution for injection ampoules (Alliance Healthcare (Distribution) Ltd) 10 ampoule
40762111000001107,Dexamethasone (base) 3.3mg/1ml solution for injection ampoules (Kent Pharma (UK) Ltd)
40762311000001109,Dexamethasone (base) 3.3mg/1ml solution for injection ampoules (Kent Pharma (UK) Ltd) 10 ampoule
40762911000001105,Dexamethasone (base) 6.6mg/2ml solution for injection ampoules (Kent Pharma (UK) Ltd)
40763111000001101,Dexamethasone (base) 6.6mg/2ml solution for injection ampoules (Kent Pharma (UK) Ltd) 10 ampoule
4047111000001102,Dexamethasone (base) 3.3mg/1ml solution for injection ampoules (A A H Pharmaceuticals Ltd)
4047311000001100,Dexamethasone (base) 3.3mg/1ml solution for injection ampoules (A A H Pharmaceuticals Ltd) 5 ampoule
17998311000001105,Dexamethasone (base) 3.3mg/1ml solution for injection ampoules (A A H Pharmaceuticals Ltd) 10 ampoule
44065211000001106,Dexamethasone (base) 3.3mg/1ml solution for injection ampoules (AS Kalceks)
44065311000001103,Dexamethasone (base) 3.3mg/1ml solution for injection ampoules (AS Kalceks) 10 ampoule
32167711000001108,Dexamethasone (base) 3.3mg/1ml solution for injection ampoules (Wockhardt UK Ltd)
32167811000001100,Dexamethasone (base) 3.3mg/1ml solution for injection ampoules (Wockhardt UK Ltd) 10 ampoule
28040011000001103,Dexamethasone (base) 3.8mg/1ml solution for injection vials (Alliance Healthcare (Distribution) Ltd)
28040111000001102,Dexamethasone (base) 3.8mg/1ml solution for injection vials (Alliance Healthcare (Distribution) Ltd) 10 vial
22127411000001109,Dexamethasone (base) 6.6mg/2ml solution for injection ampoules (A A H Pharmaceuticals Ltd)
22127611000001107,Dexamethasone (base) 6.6mg/2ml solution for injection ampoules (A A H Pharmaceuticals Ltd) 5 ampoule
33866511000001104,Dexamethasone (base) 6.6mg/2ml solution for injection ampoules (A A H Pharmaceuticals Ltd) 10 ampoule 2 x 5 x 2ml ampoules
41724711000001103,Dexamethasone (base) 6.6mg/2ml solution for injection ampoules (AS Kalceks)
41724811000001106,Dexamethasone (base) 6.6mg/2ml solution for injection ampoules (AS Kalceks) 10 ampoule
