V2Codes,Description
fe13.,BETNESOL 4mg/1mL injection
fe1z.,BETAMETHASONE 4mg/1mL injection
fe34.,*DECADRON 8mg/2mL injection
fe35.,DECADRON SHOCK-PAK 100mg/5mL injection
fe38.,*ORADEXON 5mg/1mL injection
fe39.,*ORADEXON 10mg/2mL injection
fe3D.,DEXAMETHASONE 3.8mg/1mL solution for injection
fe3p.,DEXAMETHASONE 6.6mg/2mL solution for injection
fe3q.,DEXAMETHASONE 3.3mg/1mL solution for injection
fe3w.,DEXAMETHASONE 8mg/2mL injection
fe3x.,DEXAMETHASONE 100mg/5mL injection
fe3z.,DEXAMETHASONE 4mg/1mL injection
fe46.,HYDROCORTISONE 100mg injection
fe47.,HYDROCORTISONE 500mg injection
fe48.,EFCORTELAN SOLUBLE 100mg injection
fe49.,EFCORTESOL 100mg/1mL injection
fe4a.,EFCORTESOL 500mg/5mL injection
fe4b.,SOLU-CORTEF+WATER 100mg injection
fe4c.,SOLU-CORTEF 100mg injection
fe4d.,HYDROCORTISONE 100mg/1mL injection
j421.,HYDROCORTISONE 25mg/1mL injection
j423.,HYDROCORTISTAB 25mg/1mL injection
j422.,HYDROCORTISTAB 125mg injection
fe54.,MIN-I-MIX METHYLPREDNIS. 500mg injection
fe55.,MIN-I-MIX METHYLPREDNISOLONE 1g injection
fe56.,SOLU-MEDRONE 40mg injection powder+diluent
fe57.,SOLU-MEDRONE 125mg injection powder+diluent
fe58.,SOLU-MEDRONE 500mg injection powder+diluent
fe59.,SOLU-MEDRONE 1g injection powder+diluent
fe5a.,SOLU-MEDRONE 2g injection
fe5b.,DEPO-MEDRONE 40mg/1mL injection
fe5c.,DEPO-MEDRONE 80mg/2mL injection
fe5d.,*DEPO-MEDRONE 80mg syringe
fe5e.,DEPO-MEDRONE 120mg/3mL injection
fe5g.,METHYLPREDNISOLONE 500mg injection (pdr for recon)
fe5h.,METHYLPREDNISOLONE 1g injection (pdr for recon)
fe5q.,METHYLPREDNISOLONE 500mg injection
fe5r.,METHYLPREDNISOLONE 1g injection
fe5s.,METHYLPREDNISOLONE 40mg injection powder+diluent
fe5t.,METHYLPREDNISOLONE 125mg injection powder+diluent
fe5u.,METHYLPREDNISOLONE 500mg injection powder+diluent
fe5v.,METHYLPREDNISOLONE 1g injection powder+diluent
fe5w.,METHYLPREDNISOLONE 2g injection powder+diluent
fe5x.,METHYLPREDNISOLONE 40mg/1mL injection
fe5y.,METHYLPREDNISOLONE 80mg/2mL injection
fe5z.,METHYLPREDNISOLONE 200mg/5mL injection
fe63.,*CODELSOL 32mg/2mL injection
fe6b.,DELTASTAB 25mg/1mL injection
fe6u.,PREDNISOLONE 32mg/2mL injection
fe6y.,PREDNISOLONE 125mg/5mL injection
fe83.,KENALOG 40mg/mL injection
fe84.,*KENALOG 40mg/1mL syringe
fe85.,*KENALOG 80mg/2mL injection
fe88.,KENALOG 80mg/2mL i-m prefilled syringe
fe8u.,TRIAMCINOLONE ACETONIDE 40mg/1mL intramuscular injection
fe8v.,TRIAMCINOLONE ACETONIDE 80mg/2mL i-m prefilled syringe
fe8w.,TRIAMCINOLONE ACETONIDE 40mg/1mL i-m prefilled syringe
fe8x.,TRIAMCINOLONE 40mg/1mL injection
fe8y.,TRIAMCINOLONE 80mg/2mL injection
j47..,TRIAMCINOLONE HEXACETONIDE
j471.,*LEDERSPAN 25mg/5mL injection
j472.,*LEDERSPAN 20mg/1mL injection
j473.,*LEDERSPAN 100mg/5mL injection
j47x.,TRIAMCINOLONE HEXACETONIDE 25mg/5mL injection
j47y.,TRIAMCINOLONE HEXACETONIDE 20mg/1mL injection
j47z.,TRIAMCINOLONE HEXACETONIDE 100mg/5mL injection
j46..,TRIAMCINOLONE ACETONIDE [MUSCULOSKELETAL USE]
j461.,ADCORTYL 10mg/1mL injection
j462.,ADCORTYL 50mg/5mL injection
j463.,KENALOG 40mg/mL injection
j46x.,TRIAMCINOLONE ACET 10mg/1mL injection
j46y.,TRIAMCINOLONE ACET 50mg/5mL injection
j46z.,TRIAMCINOLONE ACET 40mg/1mL injection
j41..,DEXAMETHASONE SODIUM PHOSPHATE [MUSCULOSKELETAL USE]
j411.,*DECADRON 8mg/2mL injection
j412.,*ORADEXON 5mg/1mL injection
j413.,*ORADEXON 8mg/2mL injection
j41y.,DEXAMETHASONE SOD PHOS 8mg/2mL injection
j41z.,DEXAMETHASONE SOD PHOS 5mg/1mL injection
j42..,HYDROCORTISONE ACETATE [MUSCULOSKELETAL USE]
