CTV3Codes,Description
XaBIk,Injection of intralesional steroid into larynx
fe85.,Kenalog 80mg/2mL injection
XaC06,Injection of triamcinolone into nail bed
XaC07,Injection of triamcinolone into keloid scar
7L190,Injection of triamcinolone for local action
j47y.,Triamcinolone hexacetonide 20mg/1mL injection
j47x.,Triamcinolone hexacetonide 25mg/5mL injection
j47z.,Triamcinolone hexacetonide 100mg/5mL injection
j462.,Adcortyl Intra-articular/Intradermal 50mg/5mL injection
j46x.,Triamcinolone acetonide 10mg/1mL intra-articular/intradermal injection
j461.,Adcortyl Intra-articular/Intradermal 10mg/1mL injection
j46z.,Triamcinolone acetonide 40mg/1mL intra-articular/intramuscular inj
j463.,Kenalog Intra-articular/Intramuscular 40mg/1mL injection
fe83.,Kenalog 40mg/mL injection
fe84.,Kenalog 40mg/1mL prefilled syringe
fe88.,Kenalog 80mg/2mL prefilled syringe
m4n..,Triamcinolone acetonide [skin]
fe13.,Betnesol 4mg/1mL injection
XaC0I,Subcutaneous injection of hydrocortisone acetate
XaC0N,Injection of hydrocortisone acetate into knee joint
Xaa1y,Injection of hydrocortisone acetate into elbow joint
XaC0M,Injection of hydrocortisone acetate into ankle joint
XaC0L,Injection of hydrocortisone acetate into shoulder joint
j433.,Depo-Medrone 80mg/2mL syringe
fe5d.,Depo-Medrone 80mg syringe
fe5b.,Depo-Medrone 40mg/1mL injection
fe5c.,Depo-Medrone 80mg/2mL injection
fe5e.,Depo-Medrone 120mg/3mL injection
j436.,Depo-Medrone+Lidocaine 40mg/10mg/1mL injection
j435.,Depo-Medrone+Lidocaine 80mg/20mg/2mL injection
