SNOMEDCTCodes,Description
28490511000001105,Triamcinolone hexacetonide 20mg/1ml suspension for injection ampoules (A A H Pharmaceuticals Ltd)
28490611000001109,Triamcinolone hexacetonide 20mg/1ml suspension for injection ampoules (A A H Pharmaceuticals Ltd) 10 ampoule
24564611000001107,Triamcinolone hexacetonide 20mg/1ml suspension for injection ampoules (Esteve Pharmaceuticals Ltd)
24564911000001101,Triamcinolone hexacetonide 20mg/1ml suspension for injection ampoules (Esteve Pharmaceuticals Ltd) 10 ampoule
306011000001103,Kenalog Intra-articular / Intramuscular 40mg/1ml suspension for injection vials (Bristol-Myers Squibb Pharmaceuticals Ltd)
2755911000001101,Kenalog Intra-articular / Intramuscular 40mg/1ml suspension for injection vials (Bristol-Myers Squibb Pharmaceuticals Ltd) 5 vial
89311000001109,Adcortyl Intra-articular / Intradermal 50mg/5ml suspension for injection vials (Bristol-Myers Squibb Pharmaceuticals Ltd)
2757111000001108,Adcortyl Intra-articular / Intradermal 50mg/5ml suspension for injection vials (Bristol-Myers Squibb Pharmaceuticals Ltd) 1 vial
911211000001105,Adcortyl Intra-articular / Intradermal 10mg/1ml suspension for injection ampoules (Bristol-Myers Squibb Pharmaceuticals Ltd)
2755211000001105,Adcortyl Intra-articular / Intradermal 10mg/1ml suspension for injection ampoules (Bristol-Myers Squibb Pharmaceuticals Ltd) 5 ampoule
35922011000001102,Triamcinolone hexacetonide 100mg/5ml suspension for injection vials
400577007,Triamcinolone hexacetonide 100mg/5ml suspension for injection vials
4562811000001102,Triamcinolone hexacetonide 100mg/5ml suspension for injection vials
4562911000001107,Triamcinolone hexacetonide 100mg/5ml suspension for injection vials 1 vial
24566011000001105,Triamcinolone hexacetonide 20mg/1ml suspension for injection ampoules
24564511000001108,Triamcinolone hexacetonide 20mg/1ml suspension for injection ampoules 10 ampoule
4562411000001104,Triamcinolone hexacetonide 20mg/1ml suspension for injection vials
4562511000001100,Triamcinolone hexacetonide 20mg/1ml suspension for injection vials 1 vial
3231811000001107,Depo-Medrone 120mg/3ml suspension for injection vials (Pfizer Ltd)
3232311000001107,Depo-Medrone 120mg/3ml suspension for injection vials (Pfizer Ltd) 1 vial
3233111000001104,Depo-Medrone 120mg/3ml suspension for injection vials (Pfizer Ltd) 10 vial
18572811000001105,Depo-Medrone 40mg/1ml suspension for injection vials (DE Pharmaceuticals)
18572911000001100,Depo-Medrone 40mg/1ml suspension for injection vials (DE Pharmaceuticals) 1 vial
38128111000001108,Depo-Medrone 40mg/1ml suspension for injection vials (DE Pharmaceuticals) 10 vial
11105011000001101,Depo-Medrone 80mg/2ml suspension for injection vials (Waymade Healthcare Plc)
11105111000001100,Depo-Medrone 80mg/2ml suspension for injection vials (Waymade Healthcare Plc) 1 vial
37595411000001104,Depo-Medrone 80mg/2ml suspension for injection vials (CST Pharma Ltd)
37595611000001101,Depo-Medrone 80mg/2ml suspension for injection vials (CST Pharma Ltd) 1 vial
37595811000001102,Depo-Medrone 80mg/2ml suspension for injection vials (CST Pharma Ltd) 10 vial
37412311000001109,Depo-Medrone 40mg/1ml suspension for injection vials (CST Pharma Ltd)
37412411000001102,Depo-Medrone 40mg/1ml suspension for injection vials (CST Pharma Ltd) 1 vial
37412611000001104,Depo-Medrone 40mg/1ml suspension for injection vials (CST Pharma Ltd) 10 vial
16157011000001103,Depo-Medrone 40mg/1ml suspension for injection vials (Lexon (UK) Ltd)
16157111000001102,Depo-Medrone 40mg/1ml suspension for injection vials (Lexon (UK) Ltd) 1 vial
16157311000001100,Depo-Medrone 40mg/1ml suspension for injection vials (Lexon (UK) Ltd) 3 vial
17341411000001106,Depo-Medrone 40mg/1ml suspension for injection vials (Mawdsley-Brooks & Company Ltd)
17341511000001105,Depo-Medrone 40mg/1ml suspension for injection vials (Mawdsley-Brooks & Company Ltd) 1 vial
623611000001104,Depo-Medrone 40mg/1ml suspension for injection vials (Pfizer Ltd)
2818411000001108,Depo-Medrone 40mg/1ml suspension for injection vials (Pfizer Ltd) 1 vial
2818311000001101,Depo-Medrone 40mg/1ml suspension for injection vials (Pfizer Ltd) 10 vial
11104811000001106,Depo-Medrone 40mg/1ml suspension for injection vials (Waymade Healthcare Plc)
11104911000001101,Depo-Medrone 40mg/1ml suspension for injection vials (Waymade Healthcare Plc) 1 vial
777311000001106,Depo-Medrone 80mg/2ml suspension for injection vials (Pfizer Ltd)
2818811000001105,Depo-Medrone 80mg/2ml suspension for injection vials (Pfizer Ltd) 1 vial
2818911000001100,Depo-Medrone 80mg/2ml suspension for injection vials (Pfizer Ltd) 10 vial
